G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Tennessee-Martin,OVC,W,84,68,,1,0,W 1
2,Wed Nov 14 2012,REG,@,Louisiana Tech,WAC,L,52,70,,1,1,L 1
3,Fri Nov 16 2012,REG,@,Mississippi,SEC,L,52,92,,1,2,L 2
4,Mon Nov 19 2012,REG,,Milwaukee,Horizon,W,59,43,,2,2,W 1
5,Wed Nov 21 2012,REG,,Jacksonville,A-Sun,W,78,56,,3,2,W 2
6,Sat Nov 24 2012,REG,N,Southern Methodist,CUSA,W,69,56,,4,2,W 3
7,Sun Nov 25 2012,REG,N,South Carolina,SEC,L,62,74,,4,3,L 1
8,Thu Nov 29 2012,REG,,Troy,Sun Belt,W,58,56,,5,3,W 1
9,Sat Dec 1 2012,REG,,Louisiana-Monroe,Sun Belt,W,83,58,,6,3,W 2
10,Tue Dec 4 2012,REG,,St. Gregory's,,W,91,30,,7,3,W 3
11,Thu Dec 6 2012,REG,@,Cincinnati,Big East,L,53,87,,7,4,L 1
12,Sat Dec 15 2012,REG,,Tulsa,CUSA,W,72,65,,8,4,W 1
13,Mon Dec 17 2012,REG,,Louisiana Tech,WAC,L,73,75,,8,5,L 1
14,Sat Dec 22 2012,REG,@,South Alabama,Sun Belt,L,62,77,,8,6,L 2
15,Sat Dec 29 2012,REG,@,Louisiana-Lafayette,Sun Belt,L,70,79,,8,7,L 3
16,Thu Jan 3 2013,REG,,Western Kentucky,Sun Belt,W,75,67,,9,7,W 1
17,Sat Jan 5 2013,REG,@,Troy,Sun Belt,L,64,67,,9,8,L 1
18,Thu Jan 10 2013,REG,,North Texas,Sun Belt,W,67,53,,10,8,W 1
19,Sat Jan 12 2013,REG,,Florida International,Sun Belt,W,88,76,,11,8,W 2
20,Thu Jan 17 2013,REG,@,Middle Tennessee,Sun Belt,L,50,82,,11,9,L 1
21,Sat Jan 19 2013,REG,@,Western Kentucky,Sun Belt,W,59,54,,12,9,W 1
22,Thu Jan 24 2013,REG,,Florida Atlantic,Sun Belt,W,65,62,,13,9,W 2
23,Sat Jan 26 2013,REG,@,North Texas,Sun Belt,W,62,57,,14,9,W 3
24,Sat Feb 2 2013,REG,,South Alabama,Sun Belt,L,66,70,,14,10,L 1
25,Thu Feb 7 2013,REG,@,Louisiana-Monroe,Sun Belt,W,70,60,,15,10,W 1
26,Thu Feb 14 2013,REG,@,Arkansas State,Sun Belt,L,62,86,,15,11,L 1
27,Sat Feb 16 2013,REG,,Middle Tennessee,Sun Belt,L,61,66,,15,12,L 2
28,Thu Feb 21 2013,REG,@,Florida International,Sun Belt,L,52,65,,15,13,L 3
29,Sat Feb 23 2013,REG,@,Florida Atlantic,Sun Belt,L,59,73,,15,14,L 4
30,Thu Feb 28 2013,REG,,Louisiana-Lafayette,Sun Belt,W,77,68,,16,14,W 1
31,Sat Mar 2 2013,REG,,Arkansas State,Sun Belt,W,78,71,,17,14,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,Florida International,Sun Belt,L,54,69,,17,15,L 1
