G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Sam Houston State,Southland,W,73,68,,1,0,W 1
2,Sun Nov 18 2012,REG,,Longwood,Big South,W,112,63,,2,0,W 2
3,Tue Nov 20 2012,REG,,Florida A&M,MEAC,W,89,60,,3,0,W 3
4,Fri Nov 23 2012,REG,N,Arizona State,Pac-12,L,68,83,,3,1,L 1
5,Sat Nov 24 2012,REG,N,Wisconsin,Big Ten,L,70,77,,3,2,L 2
6,Fri Nov 30 2012,REG,,Syracuse,Big East,L,82,91,,3,3,L 3
7,Tue Dec 4 2012,REG,,Oklahoma,Big 12,W,81,78,,4,3,W 1
8,Sat Dec 8 2012,REG,@,Michigan,Big Ten,L,67,80,,4,4,L 1
9,Sat Dec 15 2012,REG,,Alcorn State,SWAC,W,97,59,,5,4,W 1
10,Thu Dec 20 2012,REG,,Robert Morris,NEC,W,79,74,,6,4,W 2
11,Sat Dec 22 2012,REG,N,Alabama A&M,SWAC,W,95,68,,7,4,W 3
12,Sat Dec 29 2012,REG,,Northwestern State,Southland,W,79,61,,8,4,W 4
13,Sat Jan 5 2013,REG,,Delaware State,MEAC,W,86,51,,9,4,W 5
14,Wed Jan 9 2013,REG,@,Texas A&M,SEC,L,51,69,,9,5,L 1
15,Sat Jan 12 2013,REG,,Vanderbilt,SEC,W,56,33,,10,5,W 1
16,Wed Jan 16 2013,REG,,Auburn,SEC,W,88,80,2OT,11,5,W 2
17,Sat Jan 19 2013,REG,@,Mississippi,SEC,L,64,76,,11,6,L 1
18,Wed Jan 23 2013,REG,,Mississippi State,SEC,W,96,70,,12,6,W 1
19,Sat Jan 26 2013,REG,@,South Carolina,SEC,L,54,75,,12,7,L 1
20,Thu Jan 31 2013,REG,@,Alabama,SEC,L,56,59,,12,8,L 2
21,Sat Feb 2 2013,REG,,Tennessee,SEC,W,73,60,,13,8,W 1
22,Tue Feb 5 2013,REG,,Florida,SEC,W,80,69,,14,8,W 2
23,Sat Feb 9 2013,REG,@,Vanderbilt,SEC,L,49,67,,14,9,L 1
24,Wed Feb 13 2013,REG,@,Auburn,SEC,W,83,75,,15,9,W 1
25,Sat Feb 16 2013,REG,,Missouri,SEC,W,73,71,,16,9,W 2
26,Thu Feb 21 2013,REG,,Georgia,SEC,W,62,60,,17,9,W 3
27,Sat Feb 23 2013,REG,@,Florida,SEC,L,54,71,,17,10,L 1
28,Wed Feb 27 2013,REG,@,Louisiana State,SEC,L,60,65,,17,11,L 2
29,Sat Mar 2 2013,REG,,Kentucky,SEC,W,73,60,,18,11,W 1
30,Tue Mar 5 2013,REG,@,Missouri,SEC,L,63,93,,18,12,L 1
31,Sat Mar 9 2013,REG,,Texas A&M,SEC,W,73,62,,19,12,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Vanderbilt,SEC,L,72,75,,19,13,L 1
