G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,N,Air Force,MWC,L,65,76,,0,1,L 1
2,Sun Nov 11 2012,REG,N,Virginia Military Institute,Big South,W,80,74,,1,1,W 1
3,Fri Nov 16 2012,REG,,Binghamton,AEC,W,85,76,,2,1,W 2
4,Tue Nov 20 2012,REG,@,St. Francis (NY),NEC,W,67,59,,3,1,W 3
5,Sat Nov 24 2012,REG,@,Yale,Ivy,L,83,86,2OT,3,2,L 1
6,Sat Dec 1 2012,REG,@,Bryant,NEC,L,59,70,,3,3,L 2
7,Tue Dec 4 2012,REG,,Marist,MAAC,W,91,57,,4,3,W 1
8,Sat Dec 8 2012,REG,@,Penn State,Big Ten,L,70,78,,4,4,L 1
9,Tue Dec 11 2012,REG,@,NJIT,GWC,L,67,69,,4,5,L 2
10,Fri Dec 14 2012,REG,,Maine,AEC,W,96,67,,5,5,W 1
11,Sat Dec 22 2012,REG,,Rosemont,,W,90,48,,6,5,W 2
12,Sat Dec 29 2012,REG,@,Texas A&M,SEC,L,55,61,,6,6,L 1
13,Mon Dec 31 2012,REG,@,Houston Baptist,GWC,W,95,86,,7,6,W 1
14,Sat Jan 5 2013,REG,,Columbia,Ivy,L,52,64,,7,7,L 1
15,Tue Jan 8 2013,REG,@,Dartmouth,Ivy,L,58,75,,7,8,L 2
16,Sat Jan 12 2013,REG,@,Bucknell,Patriot,L,55,76,,7,9,L 3
17,Wed Jan 16 2013,REG,,Lafayette,Patriot,W,77,54,,8,9,W 1
18,Sun Jan 20 2013,REG,,Navy,Patriot,L,50,59,,8,10,L 1
19,Wed Jan 23 2013,REG,@,Colgate,Patriot,L,90,93,OT,8,11,L 2
20,Sat Jan 26 2013,REG,,American,Patriot,W,77,64,,9,11,W 1
21,Wed Jan 30 2013,REG,@,Holy Cross,Patriot,W,80,66,,10,11,W 2
22,Sun Feb 3 2013,REG,,Lehigh,Patriot,L,76,85,,10,12,L 1
23,Sat Feb 9 2013,REG,,Bucknell,Patriot,L,58,60,,10,13,L 2
24,Wed Feb 13 2013,REG,@,Lafayette,Patriot,W,85,68,,11,13,W 1
25,Sat Feb 16 2013,REG,@,Navy,Patriot,W,56,55,,12,13,W 2
26,Wed Feb 20 2013,REG,,Colgate,Patriot,W,77,63,,13,13,W 3
27,Sat Feb 23 2013,REG,@,American,Patriot,W,72,58,,14,13,W 4
28,Wed Feb 27 2013,REG,,Holy Cross,Patriot,W,69,62,,15,13,W 5
29,Sat Mar 2 2013,REG,@,Lehigh,Patriot,L,75,81,,15,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 6 2013,CTOURN,,American,Patriot,W,65,44,,16,14,W 1
31,Sat Mar 9 2013,CTOURN,@,Bucknell,Patriot,L,70,78,,16,15,L 1
