G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,IPFW,Summit,W,61,50,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Murray State,OVC,L,59,79,,1,1,L 1
3,Fri Nov 16 2012,REG,N,College of Charleston,Southern,W,55,51,,2,1,W 1
4,Sun Nov 18 2012,REG,N,Dayton,A-10,L,63,73,,2,2,L 1
5,Wed Nov 21 2012,REG,@,Boston College,ACC,L,49,50,,2,3,L 2
6,Sun Nov 25 2012,REG,,Rhode Island,A-10,L,72,78,2OT,2,4,L 3
7,Fri Nov 30 2012,REG,,DePaul,Big East,L,76,80,,2,5,L 4
8,Tue Dec 11 2012,REG,,Grambling,SWAC,W,92,42,,3,5,W 1
9,Sat Dec 15 2012,REG,,Furman,Southern,W,64,50,,4,5,W 2
10,Tue Dec 18 2012,REG,,Tennessee Tech,OVC,W,81,62,,5,5,W 3
11,Sat Dec 22 2012,REG,,Winthrop,Big South,L,67,74,,5,6,L 1
12,Sat Dec 29 2012,REG,N,Illinois,Big Ten,L,79,81,,5,7,L 2
13,Wed Jan 2 2013,REG,,Florida State,ACC,W,78,72,,6,7,W 1
14,Wed Jan 9 2013,REG,,Louisiana State,SEC,W,68,63,,7,7,W 2
15,Sat Jan 12 2013,REG,@,South Carolina,SEC,W,74,71,,8,7,W 3
16,Wed Jan 16 2013,REG,@,Arkansas,SEC,L,80,88,2OT,8,8,L 1
17,Sat Jan 19 2013,REG,,Kentucky,SEC,L,53,75,,8,9,L 2
18,Wed Jan 23 2013,REG,@,Vanderbilt,SEC,L,61,73,,8,10,L 3
19,Sat Jan 26 2013,REG,,Mississippi,SEC,L,61,63,,8,11,L 4
20,Wed Jan 30 2013,REG,@,Georgia,SEC,L,49,57,,8,12,L 5
21,Sat Feb 2 2013,REG,@,Missouri,SEC,L,77,91,,8,13,L 6
22,Wed Feb 6 2013,REG,,Alabama,SEC,W,49,37,,9,13,W 1
23,Sat Feb 9 2013,REG,@,Kentucky,SEC,L,62,72,,9,14,L 1
24,Wed Feb 13 2013,REG,,Arkansas,SEC,L,75,83,,9,15,L 2
25,Sat Feb 16 2013,REG,,Florida,SEC,L,52,83,,9,16,L 3
26,Wed Feb 20 2013,REG,,Texas A&M,SEC,L,56,65,,9,17,L 4
27,Sat Feb 23 2013,REG,@,Mississippi,SEC,L,55,88,,9,18,L 5
28,Tue Feb 26 2013,REG,@,Alabama,SEC,L,43,61,,9,19,L 6
29,Sat Mar 2 2013,REG,,Vanderbilt,SEC,L,55,62,,9,20,L 7
30,Wed Mar 6 2013,REG,,Tennessee,SEC,L,75,82,,9,21,L 8
31,Sat Mar 9 2013,REG,@,Mississippi State,SEC,L,71,74,OT,9,22,L 9
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Texas A&M,SEC,L,62,71,,9,23,L 10
