Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,1971,2014,4,106,49,57,.462,-19.59,-4.11,0,0,0,0,0,0
2,Air Force Falcons,1958,2014,56,1512,663,849,.438,-1.95,2.27,0,1,0,4,0,0
3,Akron Zips,1902,2014,63,1391,813,578,.584,-0.75,-1.62,0,8,4,4,0,0
4,Alabama A&M Bulldogs,2000,2014,15,430,194,236,.451,-15.81,-12.05,0,1,1,1,0,0
5,Alabama Crimson Tide,1913,2014,101,2554,1583,970,.620,11.56,6.99,15,10,7,20,0,0
6,Alabama State Hornets,1983,2014,32,943,471,472,.499,-12.51,-10.15,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,1980,2014,35,1118,698,420,.624,7.21,3.28,2,6,4,14,0,0
8,Albany (NY) Great Danes,2000,2014,15,461,209,252,.453,-8.27,-6.15,0,1,3,4,0,0
9,Alcorn State Braves,1978,2014,37,1088,477,611,.438,-13.79,-8.86,0,10,6,6,0,0
10,Allegheny Gators,1896,1916,21,234,191,41,.823,,,0,0,0,,,
11,Alliant International Gulls,1982,1991,10,279,69,210,.247,-18.06,-5.34,0,0,0,0,0,0
12,American Eagles,1967,2014,48,1349,681,668,.505,-4.74,-3.39,0,7,3,3,0,0
13,Amherst Lord Jeffs,1901,1902,2,12,12,0,1.000,,,0,0,0,,,
14,Appalachian State Mountaineers,1974,2014,41,1197,601,596,.502,-5.50,-3.60,0,10,2,2,0,0
15,Arizona State Sun Devils,1912,2014,99,2374,1257,1117,.529,7.89,6.69,7,8,0,14,0,0
16,Arizona Wildcats,1905,2014,107,2546,1652,893,.649,15.95,8.28,22,21,4,31,4,1
17,Arkansas Razorbacks,1924,2014,91,2470,1578,892,.639,12.57,5.72,15,26,7,29,6,1
18,Arkansas State Red Wolves,1971,2014,44,1264,661,603,.523,-1.96,-2.10,0,7,1,1,0,0
19,Arkansas-Little Rock Trojans,1979,2014,36,1069,601,468,.562,-2.88,-3.53,0,11,4,4,0,0
20,Arkansas-Pine Bluff Golden Lions,1999,2014,16,473,141,332,.298,-20.08,-8.70,0,0,1,1,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
21,Armstrong Pirates,1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
22,Army Black Knights,1903,2014,112,2329,1162,1167,.499,-13.61,-5.90,0,0,0,0,0,0
23,Auburn Tigers,1906,2014,108,2396,1264,1131,.528,7.71,6.55,5,3,1,8,0,0
24,Augusta State Jaguars,1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0
25,Augustana (IL) Vikings,1902,1917,12,116,81,35,.698,,,0,0,0,,,
26,Austin Peay Governors,1964,2014,51,1444,725,719,.502,-4.96,-3.31,1,8,4,6,0,0
27,Baker University Wildcats,1903,1908,6,90,62,28,.689,,,0,0,0,,,
