G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Texas Southern,SWAC,W,81,63,,1,0,W 1
2,Tue Nov 13 2012,REG,,Oakland,Summit,W,88,80,,2,0,W 2
3,Sun Nov 18 2012,REG,,Louisiana-Lafayette,Sun Belt,W,63,57,,3,0,W 3
4,Tue Nov 20 2012,REG,@,Michigan State,Big Ten,L,70,74,,3,1,L 1
5,Sat Nov 24 2012,REG,,California-Santa Barbara,Big West,W,72,56,,4,1,W 1
6,Wed Nov 28 2012,REG,@,Creighton,MVC,W,83,70,,5,1,W 2
7,Sun Dec 2 2012,REG,@,Seattle,WAC,W,87,64,,6,1,W 3
8,Wed Dec 5 2012,REG,@,Utah,Pac-12,L,55,76,,6,2,L 1
9,Fri Dec 14 2012,REG,,Louisiana State,SEC,W,89,70,,7,2,W 1
10,Thu Dec 20 2012,REG,N,Idaho,WAC,W,78,68,,8,2,W 2
11,Sun Dec 23 2012,REG,N,New Orleans,Ind,W,67,51,,9,2,W 3
12,Sun Dec 30 2012,REG,,Corban,,W,105,49,,10,2,W 4
13,Wed Jan 2 2013,REG,@,Texas-Arlington,WAC,W,64,46,,11,2,W 5
14,Sat Jan 5 2013,REG,,Walla Walla,,W,106,39,,12,2,W 6
15,Wed Jan 9 2013,REG,@,Wyoming,MWC,W,63,61,,13,2,W 7
16,Wed Jan 16 2013,REG,,New Mexico,MWC,L,74,79,OT,13,3,L 1
17,Sat Jan 19 2013,REG,@,Air Force,MWC,L,80,91,,13,4,L 2
18,Wed Jan 23 2013,REG,,Fresno State,MWC,W,74,67,,14,4,W 1
19,Sat Jan 26 2013,REG,@,Nevada,MWC,L,59,75,,14,5,L 1
20,Wed Jan 30 2013,REG,@,Colorado State,MWC,L,57,77,,14,6,L 2
21,Sat Feb 2 2013,REG,,Nevada-Las Vegas,MWC,W,77,72,,15,6,W 1
22,Wed Feb 6 2013,REG,@,San Diego State,MWC,L,62,63,,15,7,L 1
23,Sat Feb 9 2013,REG,,Wyoming,MWC,W,68,61,,16,7,W 1
24,Sat Feb 16 2013,REG,@,New Mexico,MWC,L,50,60,,16,8,L 1
25,Wed Feb 20 2013,REG,,Air Force,MWC,W,77,65,,17,8,W 1
26,Sat Feb 23 2013,REG,@,Fresno State,MWC,W,72,63,,18,8,W 2
27,Wed Feb 27 2013,REG,,Nevada,MWC,W,73,47,,19,8,W 3
28,Sat Mar 2 2013,REG,,Colorado State,MWC,W,78,65,,20,8,W 4
29,Tue Mar 5 2013,REG,@,Nevada-Las Vegas,MWC,L,64,68,,20,9,L 1
30,Sat Mar 9 2013,REG,,San Diego State,MWC,W,69,65,,21,9,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,San Diego State,MWC,L,67,73,,21,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 20 2013,NCAA,N,La Salle,A-10,L,71,80,,21,11,L 2
