G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Florida International,Sun Belt,W,84,70,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Baylor,Big 12,L,74,84,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Dayton,A-10,L,71,87,,1,2,L 2
4,Sun Nov 18 2012,REG,N,College of Charleston,Southern,L,67,71,,1,3,L 3
5,Wed Nov 21 2012,REG,,Auburn,SEC,W,50,49,,2,3,W 1
6,Sun Nov 25 2012,REG,,Bryant,NEC,L,54,56,,2,4,L 1
7,Wed Nov 28 2012,REG,@,Penn State,Big Ten,W,73,61,,3,4,W 1
8,Tue Dec 4 2012,REG,,Harvard,Ivy,L,63,79,,3,5,L 1
9,Sat Dec 8 2012,REG,,St. Francis (NY),NEC,W,72,64,,4,5,W 1
10,Sun Dec 16 2012,REG,,New Hampshire,AEC,W,61,59,OT,5,5,W 2
11,Sat Dec 22 2012,REG,,Providence,Big East,W,71,68,,6,5,W 3
12,Sat Dec 29 2012,REG,,Holy Cross,Patriot,W,70,60,,7,5,W 4
13,Mon Dec 31 2012,REG,,Dartmouth,Ivy,W,79,58,,8,5,W 5
14,Sat Jan 5 2013,REG,,North Carolina State,ACC,L,73,78,,8,6,L 1
15,Wed Jan 9 2013,REG,@,Virginia Tech,ACC,W,86,75,,9,6,W 1
16,Sat Jan 12 2013,REG,@,Wake Forest,ACC,L,72,75,,9,7,L 1
17,Wed Jan 16 2013,REG,,Miami (FL),ACC,L,59,60,,9,8,L 2
18,Tue Jan 22 2013,REG,@,Maryland,ACC,L,59,64,,9,9,L 3
19,Sat Jan 26 2013,REG,@,Virginia,ACC,L,51,65,,9,10,L 4
20,Tue Jan 29 2013,REG,,North Carolina,ACC,L,70,82,,9,11,L 5
21,Sat Feb 2 2013,REG,,Clemson,ACC,W,75,68,,10,11,W 1
22,Tue Feb 5 2013,REG,@,Miami (FL),ACC,L,50,72,,10,12,L 1
23,Sun Feb 10 2013,REG,,Duke,ACC,L,61,62,,10,13,L 2
24,Wed Feb 13 2013,REG,,Wake Forest,ACC,W,66,63,,11,13,W 1
25,Sat Feb 16 2013,REG,@,Florida State,ACC,L,66,69,,11,14,L 1
26,Tue Feb 19 2013,REG,,Maryland,ACC,W,69,58,,12,14,W 1
27,Sun Feb 24 2013,REG,@,Duke,ACC,L,68,89,,12,15,L 1
28,Wed Feb 27 2013,REG,@,North Carolina State,ACC,L,64,82,,12,16,L 2
29,Sun Mar 3 2013,REG,,Virginia,ACC,W,53,52,,13,16,W 1
30,Tue Mar 5 2013,REG,@,Clemson,ACC,W,68,61,,14,16,W 2
31,Sat Mar 9 2013,REG,,Georgia Tech,ACC,W,74,72,,15,16,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Georgia Tech,ACC,W,84,64,,16,16,W 4
33,Fri Mar 15 2013,CTOURN,N,Miami (FL),ACC,L,58,69,,16,17,L 1
