G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Lake Erie,,W,63,53,,1,0,W 1
2,Mon Nov 12 2012,REG,N,Cleveland State,Horizon,L,73,79,OT,1,1,L 1
3,Tue Nov 13 2012,REG,N,IUPUI,Summit,L,66,80,,1,2,L 2
4,Mon Nov 19 2012,REG,@,Robert Morris,NEC,L,60,71,,1,3,L 3
5,Tue Nov 20 2012,REG,N,Alabama-Huntsville,,W,68,54,,2,3,W 1
6,Tue Nov 27 2012,REG,,Detroit Mercy,Horizon,W,70,65,,3,3,W 2
7,Sat Dec 1 2012,REG,,Youngstown State,Horizon,L,49,58,,3,4,L 1
8,Mon Dec 3 2012,REG,,Wright State,Horizon,W,54,41,,4,4,W 1
9,Sat Dec 8 2012,REG,,Samford,Southern,W,57,42,,5,4,W 2
10,Tue Dec 18 2012,REG,,Michigan State,Big Ten,L,53,64,,5,5,L 1
11,Fri Dec 21 2012,REG,@,South Florida,Big East,L,84,87,3OT,5,6,L 2
12,Fri Dec 28 2012,REG,@,North Dakota,Big Sky,L,53,56,,5,7,L 3
13,Mon Dec 31 2012,REG,@,Temple,A-10,L,57,75,,5,8,L 4
14,Wed Jan 9 2013,REG,@,Central Michigan,MAC,L,67,73,,5,9,L 5
15,Sat Jan 12 2013,REG,,Eastern Michigan,MAC,W,46,44,,6,9,W 1
16,Wed Jan 16 2013,REG,@,Miami (OH),MAC,L,60,63,,6,10,L 1
17,Sat Jan 19 2013,REG,@,Buffalo,MAC,L,65,68,,6,11,L 2
18,Wed Jan 23 2013,REG,,Kent State,MAC,W,70,55,,7,11,W 1
19,Sat Jan 26 2013,REG,@,Toledo,MAC,L,62,75,,7,12,L 1
20,Wed Jan 30 2013,REG,,Akron,MAC,L,55,68,,7,13,L 2
21,Sat Feb 2 2013,REG,,Ball State,MAC,W,70,59,,8,13,W 1
22,Wed Feb 6 2013,REG,@,Northern Illinois,MAC,W,57,41,,9,13,W 2
23,Sat Feb 9 2013,REG,@,Ohio,MAC,L,63,72,,9,14,L 1
24,Wed Feb 13 2013,REG,,Western Michigan,MAC,W,70,60,,10,14,W 1
25,Sat Feb 16 2013,REG,@,Akron,MAC,L,50,67,,10,15,L 1
26,Thu Feb 21 2013,REG,,New Orleans,Ind,W,87,56,,11,15,W 1
27,Sat Feb 23 2013,REG,@,IPFW,Summit,L,75,88,,11,16,L 1
28,Wed Feb 27 2013,REG,,Miami (OH),MAC,W,52,44,,12,16,W 1
29,Sat Mar 2 2013,REG,,Ohio,MAC,L,65,78,,12,17,L 1
30,Tue Mar 5 2013,REG,@,Kent State,MAC,L,61,69,,12,18,L 2
31,Fri Mar 8 2013,REG,,Buffalo,MAC,W,76,65,,13,18,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Mon Mar 11 2013,CTOURN,,Miami (OH),MAC,L,52,63,,13,19,L 1
