G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Eastern Illinois,OVC,W,76,53,,1,0,W 1
2,Mon Nov 12 2012,REG,,Texas-Pan American,GWC,W,78,61,,2,0,W 2
3,Sat Nov 17 2012,REG,@,IUPUI,Summit,W,79,72,,3,0,W 3
4,Tue Nov 20 2012,REG,@,South Florida,Big East,L,63,82,,3,1,L 1
5,Sat Nov 24 2012,REG,,Tennessee-Martin,OVC,W,80,57,,4,1,W 1
6,Wed Nov 28 2012,REG,@,Central Michigan,MAC,W,82,65,,5,1,W 2
7,Sat Dec 1 2012,REG,,Michigan,Big Ten,L,66,74,,5,2,L 1
8,Tue Dec 4 2012,REG,,George Washington,A-10,W,72,68,,6,2,W 1
9,Mon Dec 17 2012,REG,,Georgia Southern,Southern,W,62,43,,7,2,W 2
10,Wed Dec 19 2012,REG,,Mississippi Valley State,SWAC,W,77,42,,8,2,W 3
11,Sat Dec 22 2012,REG,N,Virginia Tech,ACC,L,65,66,OT,8,3,L 1
12,Sun Dec 23 2012,REG,N,Portland,WCC,L,55,57,,8,4,L 2
13,Sat Dec 29 2012,REG,,Drake,MVC,W,67,57,,9,4,W 1
14,Wed Jan 2 2013,REG,@,Southern Illinois,MVC,W,66,60,,10,4,W 2
15,Sun Jan 6 2013,REG,,Wichita State,MVC,L,63,69,,10,5,L 1
16,Wed Jan 9 2013,REG,@,Indiana State,MVC,L,53,68,,10,6,L 2
17,Sat Jan 12 2013,REG,@,Northern Iowa,MVC,L,53,84,,10,7,L 3
18,Tue Jan 15 2013,REG,,Southern Illinois,MVC,W,69,66,,11,7,W 1
19,Sat Jan 19 2013,REG,,Missouri State,MVC,W,69,66,,12,7,W 2
20,Wed Jan 23 2013,REG,@,Evansville,MVC,L,56,66,,12,8,L 1
21,Sat Jan 26 2013,REG,@,Wichita State,MVC,L,39,73,,12,9,L 2
22,Tue Jan 29 2013,REG,,Illinois State,MVC,W,83,77,,13,9,W 1
23,Sat Feb 2 2013,REG,@,Creighton,MVC,L,58,75,,13,10,L 1
24,Tue Feb 5 2013,REG,,Evansville,MVC,W,76,70,,14,10,W 1
25,Sun Feb 10 2013,REG,,Northern Iowa,MVC,L,65,68,,14,11,L 1
26,Wed Feb 13 2013,REG,@,Illinois State,MVC,L,59,79,,14,12,L 2
27,Sat Feb 16 2013,REG,,Indiana State,MVC,W,80,68,,15,12,W 1
28,Wed Feb 20 2013,REG,@,Drake,MVC,L,84,92,OT,15,13,L 1
29,Sat Feb 23 2013,REG,@,Illinois-Chicago,Horizon,W,63,62,,16,13,W 1
30,Wed Feb 27 2013,REG,,Creighton,MVC,L,62,80,,16,14,L 1
31,Sat Mar 2 2013,REG,@,Missouri State,MVC,L,56,64,,16,15,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 7 2013,CTOURN,N,Drake,MVC,L,66,81,,16,16,L 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CIT,,Green Bay,Horizon,W,75,69,,17,16,W 1
34,Sat Mar 23 2013,CIT,,Tulane,CUSA,W,77,72,,18,16,W 2
35,Tue Mar 26 2013,CIT,@,Northern Iowa,MVC,L,77,90,,18,17,L 1
