G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Tennessee State,OVC,W,81,66,,1,0,W 1
2,Tue Nov 13 2012,REG,,Georgia State,CAA,W,80,62,,2,0,W 2
3,Fri Nov 16 2012,REG,N,Florida State,ACC,L,70,88,,2,1,L 1
4,Sat Nov 17 2012,REG,N,Notre Dame,Big East,L,68,78,,2,2,L 2
5,Wed Nov 21 2012,REG,,Texas-San Antonio,WAC,W,81,62,,3,2,W 1
6,Sat Nov 24 2012,REG,,Cal State Northridge,Big West,W,87,75,,4,2,W 2
7,Wed Nov 28 2012,REG,N,Montana,Big Sky,W,85,60,,5,2,W 3
8,Sat Dec 1 2012,REG,@,Iowa State,Big 12,L,62,83,,5,3,L 1
9,Sat Dec 8 2012,REG,,Utah,Pac-12,W,61,58,,6,3,W 1
10,Sat Dec 15 2012,REG,@,Weber State,Big Sky,W,78,68,,7,3,W 2
11,Tue Dec 18 2012,REG,,Eastern New Mexico,,W,95,62,,8,3,W 3
12,Fri Dec 21 2012,REG,@,Baylor,Big 12,L,64,79,,8,4,L 1
13,Thu Dec 27 2012,REG,,Northern Arizona,Big Sky,W,84,54,,9,4,W 1
14,Sat Dec 29 2012,REG,N,Virginia Tech,ACC,W,97,71,,10,4,W 2
15,Thu Jan 3 2013,REG,,Loyola Marymount,WCC,W,92,51,,11,4,W 3
16,Sat Jan 5 2013,REG,@,San Francisco,WCC,W,80,76,,12,4,W 4
17,Thu Jan 10 2013,REG,,Pepperdine,WCC,W,76,51,,13,4,W 5
18,Sat Jan 12 2013,REG,@,Santa Clara,WCC,W,82,64,,14,4,W 6
19,Wed Jan 16 2013,REG,,Saint Mary's (CA),WCC,L,69,70,,14,5,L 1
20,Sat Jan 19 2013,REG,,San Diego,WCC,W,74,57,,15,5,W 1
21,Thu Jan 24 2013,REG,@,Gonzaga,WCC,L,63,83,,15,6,L 1
22,Sat Jan 26 2013,REG,@,Portland,WCC,W,85,67,,16,6,W 1
23,Thu Jan 31 2013,REG,@,Pepperdine,WCC,W,63,61,,17,6,W 2
24,Sat Feb 2 2013,REG,,Santa Clara,WCC,W,96,79,,18,6,W 3
25,Thu Feb 7 2013,REG,@,San Diego,WCC,L,68,74,,18,7,L 1
26,Sat Feb 9 2013,REG,,San Francisco,WCC,L,87,99,,18,8,L 2
27,Sat Feb 16 2013,REG,,Portland,WCC,W,86,72,,19,8,W 1
28,Tue Feb 19 2013,REG,,Utah State,WAC,W,70,68,,20,8,W 2
29,Thu Feb 21 2013,REG,@,Saint Mary's (CA),WCC,L,57,64,,20,9,L 1
30,Thu Feb 28 2013,REG,,Gonzaga,WCC,L,65,70,,20,10,L 2
31,Sat Mar 2 2013,REG,@,Loyola Marymount,WCC,W,73,70,,21,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,San Diego,WCC,L,69,72,,21,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,NIT,,Washington,Pac-12,W,90,79,,22,11,W 1
34,Mon Mar 25 2013,NIT,,Mercer,A-Sun,W,90,71,,23,11,W 2
35,Wed Mar 27 2013,NIT,@,Southern Mississippi,CUSA,W,79,62,,24,11,W 3
36,Tue Apr 2 2013,NIT,N,Baylor,Big 12,L,70,76,,24,12,L 1
