G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Indiana,Big Ten,L,54,97,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Providence,Big East,L,49,81,,0,2,L 2
3,Sat Nov 17 2012,REG,,New Hampshire,AEC,W,76,64,,1,2,W 1
4,Wed Nov 21 2012,REG,@,Brown,Ivy,W,68,61,,2,2,W 2
5,Sun Nov 25 2012,REG,@,Boston College,ACC,W,56,54,,3,2,W 3
6,Sat Dec 1 2012,REG,,Army,Patriot,W,70,59,,4,2,W 4
7,Wed Dec 5 2012,REG,,Yale,Ivy,L,62,64,,4,3,L 1
8,Sat Dec 8 2012,REG,,Binghamton,AEC,W,78,56,,5,3,W 1
9,Mon Dec 10 2012,REG,@,Navy,Patriot,L,59,69,,5,4,L 1
10,Sat Dec 22 2012,REG,,Dartmouth,Ivy,W,79,66,,6,4,W 1
11,Sat Dec 29 2012,REG,@,Lehigh,Patriot,W,80,79,,7,4,W 2
12,Thu Jan 3 2013,REG,@,Robert Morris,NEC,W,84,77,,8,4,W 3
13,Sat Jan 5 2013,REG,@,Saint Francis (PA),NEC,W,78,58,,9,4,W 4
14,Thu Jan 10 2013,REG,,Quinnipiac,NEC,W,103,95,,10,4,W 5
15,Sat Jan 12 2013,REG,@,Central Connecticut State,NEC,W,69,62,,11,4,W 6
16,Thu Jan 17 2013,REG,,Mount St. Mary's,NEC,W,79,78,OT,12,4,W 7
17,Sat Jan 19 2013,REG,,Wagner,NEC,W,82,59,,13,4,W 8
18,Thu Jan 24 2013,REG,@,Sacred Heart,NEC,L,76,87,,13,5,L 1
19,Sat Jan 26 2013,REG,,Long Island University,NEC,L,78,79,,13,6,L 2
20,Thu Jan 31 2013,REG,@,Fairleigh Dickinson,NEC,W,78,63,,14,6,W 1
21,Sat Feb 2 2013,REG,@,Monmouth,NEC,W,77,62,,15,6,W 2
22,Thu Feb 7 2013,REG,,St. Francis (NY),NEC,W,84,77,,16,6,W 3
23,Thu Feb 14 2013,REG,@,Mount St. Mary's,NEC,L,70,84,,16,7,L 1
24,Sat Feb 16 2013,REG,@,Wagner,NEC,L,75,89,,16,8,L 2
25,Thu Feb 21 2013,REG,,Central Connecticut State,NEC,W,88,67,,17,8,W 1
26,Sat Feb 23 2013,REG,@,Quinnipiac,NEC,L,58,69,,17,9,L 1
27,Mon Feb 25 2013,REG,,Sacred Heart,NEC,W,84,68,,18,9,W 1
28,Thu Feb 28 2013,REG,,Robert Morris,NEC,L,75,77,,18,10,L 1
29,Sat Mar 2 2013,REG,,Saint Francis (PA),NEC,W,85,60,,19,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 6 2013,CTOURN,,Mount St. Mary's,NEC,L,69,75,,19,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 20 2013,CBI,,Richmond,A-10,L,71,76,,19,12,L 2
