G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Purdue,Big Ten,W,70,65,,1,0,W 1
2,Tue Nov 13 2012,REG,,George Mason,CAA,W,61,56,,2,0,W 2
3,Fri Nov 16 2012,REG,@,Niagara,MAAC,W,88,71,,3,0,W 3
4,Sat Nov 17 2012,REG,N,New Mexico State,WAC,W,62,49,,4,0,W 4
5,Sun Nov 18 2012,REG,N,West Alabama,,W,69,52,,5,0,W 5
6,Fri Nov 23 2012,REG,@,Penn State,Big Ten,L,57,60,,5,1,L 1
7,Tue Nov 27 2012,REG,,Dartmouth,Ivy,W,62,49,,6,1,W 1
8,Sat Dec 1 2012,REG,@,Columbia,Ivy,W,65,57,,7,1,W 2
9,Tue Dec 4 2012,REG,,Kent State,MAC,W,76,60,,8,1,W 3
10,Sat Dec 15 2012,REG,,La Salle,A-10,W,74,66,,9,1,W 4
11,Mon Dec 17 2012,REG,@,Saint Francis (PA),NEC,W,76,49,,10,1,W 5
12,Wed Dec 19 2012,REG,,Marist,MAAC,W,71,65,,11,1,W 6
13,Sat Dec 22 2012,REG,@,Princeton,Ivy,L,67,79,,11,2,L 1
14,Fri Dec 28 2012,REG,@,Loyola (MD),MAAC,W,66,46,,12,2,W 1
15,Wed Jan 2 2013,REG,@,Cornell,Ivy,W,72,56,,13,2,W 2
16,Sat Jan 5 2013,REG,@,Missouri,SEC,L,64,66,,13,3,L 1
17,Sat Jan 12 2013,REG,,Army,Patriot,W,76,55,,14,3,W 1
18,Wed Jan 16 2013,REG,@,Colgate,Patriot,W,73,59,,15,3,W 2
19,Sat Jan 19 2013,REG,,Lafayette,Patriot,W,66,51,,16,3,W 3
20,Wed Jan 23 2013,REG,,Lehigh,Patriot,L,62,65,,16,4,L 1
21,Sat Jan 26 2013,REG,@,Holy Cross,Patriot,W,65,58,,17,4,W 1
22,Wed Jan 30 2013,REG,@,American,Patriot,W,56,55,,18,4,W 2
23,Sat Feb 2 2013,REG,,Navy,Patriot,W,69,54,,19,4,W 3
24,Sat Feb 9 2013,REG,@,Army,Patriot,W,60,58,,20,4,W 4
25,Wed Feb 13 2013,REG,,Colgate,Patriot,W,69,61,,21,4,W 5
26,Sat Feb 16 2013,REG,@,Lafayette,Patriot,L,62,63,,21,5,L 1
27,Mon Feb 18 2013,REG,@,Lehigh,Patriot,W,61,55,,22,5,W 1
28,Sun Feb 24 2013,REG,,Holy Cross,Patriot,W,74,57,,23,5,W 2
29,Wed Feb 27 2013,REG,,American,Patriot,W,66,47,,24,5,W 3
30,Sat Mar 2 2013,REG,@,Navy,Patriot,W,62,46,,25,5,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 6 2013,CTOURN,,Navy,Patriot,W,58,42,,26,5,W 5
32,Sat Mar 9 2013,CTOURN,,Army,Patriot,W,78,70,,27,5,W 6
33,Wed Mar 13 2013,CTOURN,,Lafayette,Patriot,W,64,56,,28,5,W 7
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Thu Mar 21 2013,NCAA,N,Butler,A-10,L,56,68,,28,6,L 1
