G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Princeton,Ivy,L,53,57,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Florida State,ACC,L,68,95,,0,2,L 2
3,Thu Nov 15 2012,REG,@,Evansville,MVC,W,56,50,,1,2,W 1
4,Fri Nov 16 2012,REG,N,Western Illinois,Summit,L,58,67,,1,3,L 1
5,Sat Nov 17 2012,REG,N,Yale,Ivy,L,59,63,,1,4,L 2
6,Tue Nov 20 2012,REG,@,Canisius,MAAC,L,64,71,,1,5,L 3
7,Sat Nov 24 2012,REG,,Mansfield,,W,76,57,,2,5,W 1
8,Wed Nov 28 2012,REG,,Temple,A-10,L,39,54,,2,6,L 1
9,Sat Dec 1 2012,REG,@,St. Bonaventure,A-10,L,79,82,,2,7,L 2
10,Wed Dec 5 2012,REG,@,Milwaukee,Horizon,W,72,52,,3,7,W 1
11,Sat Dec 8 2012,REG,,Niagara,MAAC,W,77,67,,4,7,W 2
12,Fri Dec 21 2012,REG,N,Washington State,Pac-12,L,54,65,,4,8,L 1
13,Fri Dec 28 2012,REG,,Notre Dame (OH),,W,84,64,,5,8,W 1
14,Wed Jan 2 2013,REG,@,Tulsa,CUSA,L,57,63,,5,9,L 1
15,Wed Jan 9 2013,REG,@,Ohio,MAC,L,68,86,,5,10,L 2
16,Sat Jan 12 2013,REG,,Miami (OH),MAC,L,57,58,,5,11,L 3
17,Wed Jan 16 2013,REG,,Kent State,MAC,L,68,80,,5,12,L 4
18,Sat Jan 19 2013,REG,,Bowling Green State,MAC,W,68,65,,6,12,W 1
19,Wed Jan 23 2013,REG,@,Ball State,MAC,W,66,63,,7,12,W 2
20,Sat Jan 26 2013,REG,@,Akron,MAC,L,64,68,,7,13,L 1
21,Wed Jan 30 2013,REG,,Central Michigan,MAC,W,91,73,,8,13,W 1
22,Sat Feb 2 2013,REG,@,Western Michigan,MAC,L,60,71,,8,14,L 1
23,Wed Feb 6 2013,REG,@,Eastern Michigan,MAC,L,46,65,,8,15,L 2
24,Sat Feb 9 2013,REG,,Northern Illinois,MAC,W,59,54,,9,15,W 1
25,Wed Feb 13 2013,REG,,Toledo,MAC,W,75,60,,10,15,W 2
26,Sat Feb 16 2013,REG,@,Miami (OH),MAC,W,79,71,,11,15,W 3
27,Sat Feb 23 2013,REG,,Manhattan,MAAC,L,64,65,,11,16,L 1
28,Wed Feb 27 2013,REG,@,Kent State,MAC,L,81,83,OT,11,17,L 2
29,Sat Mar 2 2013,REG,,Akron,MAC,W,81,67,,12,17,W 1
30,Tue Mar 5 2013,REG,,Ohio,MAC,L,69,72,,12,18,L 1
31,Fri Mar 8 2013,REG,@,Bowling Green State,MAC,L,65,76,,12,19,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Mon Mar 11 2013,CTOURN,,Central Michigan,MAC,W,74,72,OT,13,19,W 1
33,Wed Mar 13 2013,CTOURN,N,Ball State,MAC,W,76,61,,14,19,W 2
34,Thu Mar 14 2013,CTOURN,N,Kent State,MAC,L,68,70,,14,20,L 1
