G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Elon,Southern,W,74,59,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Xavier,A-10,L,47,62,,1,1,L 1
3,Mon Nov 19 2012,REG,N,Marquette,Big East,W,72,71,,2,1,W 1
4,Tue Nov 20 2012,REG,N,North Carolina,ACC,W,82,71,,3,1,W 2
5,Wed Nov 21 2012,REG,N,Illinois,Big Ten,L,61,78,,3,2,L 1
6,Tue Nov 27 2012,REG,,Hanover,,W,97,73,,4,2,W 1
7,Sat Dec 1 2012,REG,,Ball State,MAC,W,67,53,,5,2,W 2
8,Wed Dec 5 2012,REG,,IUPUI,Summit,W,87,55,,6,2,W 3
9,Sat Dec 8 2012,REG,@,Northwestern,Big Ten,W,74,65,,7,2,W 4
10,Sat Dec 15 2012,REG,N,Indiana,Big Ten,W,88,86,OT,8,2,W 5
11,Sat Dec 22 2012,REG,,Evansville,MVC,W,75,67,,9,2,W 6
12,Sat Dec 29 2012,REG,@,Vanderbilt,SEC,W,68,49,,10,2,W 7
13,Wed Jan 2 2013,REG,,Pennsylvania,Ivy,W,70,57,,11,2,W 8
14,Sat Jan 5 2013,REG,,New Orleans,Ind,W,57,44,,12,2,W 9
15,Wed Jan 9 2013,REG,@,Saint Joseph's,A-10,W,72,66,,13,2,W 10
16,Sat Jan 12 2013,REG,@,Dayton,A-10,W,79,73,,14,2,W 11
17,Wed Jan 16 2013,REG,,Richmond,A-10,W,62,47,,15,2,W 12
18,Sat Jan 19 2013,REG,,Gonzaga,WCC,W,64,63,,16,2,W 13
19,Wed Jan 23 2013,REG,@,La Salle,A-10,L,53,54,,16,3,L 1
20,Sat Jan 26 2013,REG,,Temple,A-10,W,83,71,,17,3,W 1
21,Thu Jan 31 2013,REG,@,Saint Louis,A-10,L,58,75,,17,4,L 1
22,Sat Feb 2 2013,REG,,Rhode Island,A-10,W,75,68,,18,4,W 1
23,Wed Feb 6 2013,REG,,St. Bonaventure,A-10,W,77,58,,19,4,W 2
24,Sat Feb 9 2013,REG,@,George Washington,A-10,W,59,56,,20,4,W 3
25,Wed Feb 13 2013,REG,,Charlotte,A-10,L,67,71,,20,5,L 1
26,Sat Feb 16 2013,REG,@,Fordham,A-10,W,68,63,,21,5,W 1
27,Tue Feb 19 2013,REG,,Duquesne,A-10,W,68,49,,22,5,W 2
28,Fri Feb 22 2013,REG,,Saint Louis,A-10,L,61,65,,22,6,L 1
29,Sat Mar 2 2013,REG,@,Virginia Commonwealth,A-10,L,52,84,,22,7,L 2
30,Thu Mar 7 2013,REG,@,Massachusetts,A-10,W,73,62,,23,7,W 1
31,Sat Mar 9 2013,REG,,Xavier,A-10,W,67,62,,24,7,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Dayton,A-10,W,73,67,,25,7,W 3
33,Fri Mar 15 2013,CTOURN,N,La Salle,A-10,W,69,58,,26,7,W 4
34,Sat Mar 16 2013,CTOURN,N,Saint Louis,A-10,L,56,67,,26,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Thu Mar 21 2013,NCAA,N,Bucknell,Patriot,W,68,56,,27,8,W 1
36,Sat Mar 23 2013,NCAA,N,Marquette,Big East,L,72,74,,27,9,L 1
