G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Texas-Arlington,WAC,L,60,62,,0,1,L 1
2,Sun Nov 11 2012,REG,@,California,Pac-12,L,65,78,,0,2,L 2
3,Wed Nov 14 2012,REG,@,Sacramento State,Big Sky,L,67,85,,0,3,L 3
4,Sat Nov 17 2012,REG,,Loyola Marymount,WCC,L,73,76,,0,4,L 4
5,Tue Nov 20 2012,REG,,Westmont,,W,77,74,,1,4,W 1
6,Sat Nov 24 2012,REG,@,Wyoming,MWC,L,49,63,,1,5,L 1
7,Sat Dec 1 2012,REG,,Texas-San Antonio,WAC,W,85,52,,2,5,W 1
8,Thu Dec 6 2012,REG,@,Cal State Fullerton,Big West,W,72,70,,3,5,W 2
9,Sun Dec 9 2012,REG,@,South Dakota State,Summit,L,63,69,,3,6,L 1
10,Sat Dec 15 2012,REG,,La Verne,,W,69,49,,4,6,W 1
11,Mon Dec 17 2012,REG,@,Portland,WCC,L,51,69,,4,7,L 1
12,Wed Dec 19 2012,REG,@,Colorado State,MWC,L,58,78,,4,8,L 2
13,Sat Dec 22 2012,REG,N,North Florida,A-Sun,L,70,80,,4,9,L 3
14,Sun Dec 23 2012,REG,N,Mississippi Valley State,SWAC,W,69,64,,5,9,W 1
15,Sat Dec 29 2012,REG,@,Loyola Marymount,WCC,L,66,73,,5,10,L 1
16,Sun Dec 30 2012,REG,,North Carolina A&T,MEAC,W,60,52,,6,10,W 1
17,Wed Jan 2 2013,REG,@,San Diego State,MWC,L,57,72,,6,11,L 1
18,Sat Jan 5 2013,REG,@,Nevada-Las Vegas,MWC,L,63,84,,6,12,L 2
19,Wed Jan 9 2013,REG,,Cal State Fullerton,Big West,L,62,74,,6,13,L 3
20,Sat Jan 19 2013,REG,,Nebraska-Omaha,Summit,W,84,79,,7,13,W 1
21,Wed Jan 23 2013,REG,@,Santa Clara,WCC,L,36,66,,7,14,L 1
22,Sat Feb 2 2013,REG,,Utah Valley,GWC,W,75,62,,8,14,W 1
23,Wed Feb 6 2013,REG,,Wyoming,MWC,L,53,61,,8,15,L 1
24,Sat Feb 9 2013,REG,,Cal State San Marcos,,W,82,71,,9,15,W 1
25,Tue Feb 12 2013,REG,@,Texas-San Antonio,WAC,W,61,52,,10,15,W 2
26,Thu Feb 14 2013,REG,@,Texas-Pan American,GWC,L,73,79,OT,10,16,L 1
27,Wed Feb 20 2013,REG,,South Dakota State,Summit,W,79,78,2OT,11,16,W 1
28,Sat Feb 23 2013,REG,,Pacifica,,W,114,66,,12,16,W 2
29,Wed Mar 6 2013,REG,N,Seattle,WAC,W,75,74,OT,13,16,W 3
30,Sat Mar 9 2013,REG,@,Utah Valley,GWC,W,73,58,,14,16,W 4
