G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Mon Nov 12 2012,REG,@,Stanford,Pac-12,L,68,81,,0,1,L 1
2,Fri Nov 16 2012,REG,@,Nevada,MWC,L,77,80,,0,2,L 2
3,Sat Nov 17 2012,REG,N,Southern Utah,Big Sky,W,112,69,,1,2,W 1
4,Sun Nov 18 2012,REG,N,Green Bay,Horizon,W,93,82,,2,2,W 2
5,Fri Nov 23 2012,REG,,San Diego Christian,,W,106,60,,3,2,W 3
6,Fri Nov 30 2012,REG,@,Eastern Washington,Big Sky,L,75,79,,3,3,L 1
7,Sun Dec 2 2012,REG,@,Washington,Pac-12,L,72,74,,3,4,L 2
8,Thu Dec 6 2012,REG,,Cal State Bakersfield,Ind,L,70,72,,3,5,L 3
9,Thu Dec 13 2012,REG,,Idaho State,Big Sky,W,66,53,,4,5,W 1
10,Sun Dec 16 2012,REG,@,Texas Southern,SWAC,W,93,86,,5,5,W 2
11,Sat Dec 22 2012,REG,,Hope International,,W,87,65,,6,5,W 3
12,Sat Dec 29 2012,REG,,California-Santa Barbara,Big West,W,86,79,,7,5,W 4
13,Thu Jan 3 2013,REG,@,Hawaii,Big West,L,88,90,,7,6,L 1
14,Sat Jan 5 2013,REG,@,Cal State Northridge,Big West,W,105,86,,8,6,W 1
15,Wed Jan 9 2013,REG,@,Cal State Bakersfield,Ind,W,74,62,,9,6,W 2
16,Sat Jan 12 2013,REG,,California-Riverside,Big West,W,71,69,,10,6,W 3
17,Thu Jan 17 2013,REG,,California-Irvine,Big West,L,65,92,,10,7,L 1
18,Sat Jan 19 2013,REG,,Long Beach State,Big West,L,71,81,,10,8,L 2
19,Thu Jan 24 2013,REG,@,California-Davis,Big West,W,95,88,,11,8,W 1
20,Sat Jan 26 2013,REG,@,Pacific,Big West,L,67,71,,11,9,L 1
21,Thu Jan 31 2013,REG,,Cal State Northridge,Big West,L,86,92,,11,10,L 2
22,Sat Feb 2 2013,REG,,Hawaii,Big West,L,75,77,,11,11,L 3
23,Sat Feb 9 2013,REG,@,California-Riverside,Big West,W,79,67,,12,11,W 1
24,Wed Feb 13 2013,REG,@,Long Beach State,Big West,L,65,85,,12,12,L 1
25,Sat Feb 16 2013,REG,@,California-Irvine,Big West,L,66,86,,12,13,L 2
26,Wed Feb 20 2013,REG,,Cal Poly,Big West,W,77,60,,13,13,W 1
27,Sat Feb 23 2013,REG,@,Texas A&M-Corpus Christi,Southland,W,63,57,,14,13,W 2
28,Thu Feb 28 2013,REG,,Pacific,Big West,L,55,64,,14,14,L 1
29,Sat Mar 2 2013,REG,,California-Davis,Big West,L,68,71,,14,15,L 2
30,Thu Mar 7 2013,REG,@,California-Santa Barbara,Big West,L,50,66,,14,16,L 3
31,Sat Mar 9 2013,REG,@,Cal Poly,Big West,L,60,62,,14,17,L 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Long Beach State,Big West,L,66,75,,14,18,L 5
