G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Pepperdine,WCC,W,81,75,,1,0,W 1
2,Mon Nov 12 2012,REG,,Eastern Washington,Big Sky,W,96,79,,2,0,W 2
3,Thu Nov 15 2012,REG,@,San Diego,WCC,W,74,71,,3,0,W 3
4,Fri Nov 16 2012,REG,N,Siena,MAAC,W,68,64,,4,0,W 4
5,Sat Nov 17 2012,REG,N,Tulsa,CUSA,W,92,76,,5,0,W 5
6,Sun Nov 18 2012,REG,N,Northern Kentucky,A-Sun,W,69,58,,6,0,W 6
7,Sat Nov 24 2012,REG,@,Brigham Young,WCC,L,75,87,,6,1,L 1
8,Wed Nov 28 2012,REG,@,UCLA,Pac-12,L,56,82,,6,2,L 2
9,Wed Dec 5 2012,REG,,Vanguard,,W,120,69,,7,2,W 1
10,Sat Dec 8 2012,REG,@,Arizona State,Pac-12,L,76,87,,7,3,L 1
11,Tue Dec 18 2012,REG,,San Diego Christian,,W,93,63,,8,3,W 1
12,Fri Dec 21 2012,REG,@,Utah,Pac-12,W,76,71,,9,3,W 2
13,Sun Dec 30 2012,REG,@,Hawaii,Big West,L,71,74,,9,4,L 1
14,Thu Jan 3 2013,REG,,California-Riverside,Big West,L,64,65,,9,5,L 2
15,Sat Jan 5 2013,REG,,Cal State Fullerton,Big West,L,86,105,,9,6,L 3
16,Wed Jan 9 2013,REG,@,Long Beach State,Big West,L,69,78,,9,7,L 4
17,Sat Jan 12 2013,REG,@,California-Irvine,Big West,L,69,79,,9,8,L 5
18,Thu Jan 17 2013,REG,,California-Davis,Big West,L,71,74,,9,9,L 6
19,Sat Jan 19 2013,REG,,Pacific,Big West,L,62,74,,9,10,L 7
20,Thu Jan 24 2013,REG,@,California-Santa Barbara,Big West,W,75,69,,10,10,W 1
21,Sat Jan 26 2013,REG,@,Cal Poly,Big West,L,64,75,,10,11,L 1
22,Thu Jan 31 2013,REG,@,Cal State Fullerton,Big West,W,92,86,,11,11,W 1
23,Sat Feb 2 2013,REG,@,California-Riverside,Big West,W,69,53,,12,11,W 2
24,Thu Feb 7 2013,REG,,California-Irvine,Big West,W,70,61,,13,11,W 3
25,Sat Feb 9 2013,REG,,Long Beach State,Big West,L,80,83,,13,12,L 1
26,Thu Feb 14 2013,REG,@,Pacific,Big West,L,59,66,,13,13,L 2
27,Sat Feb 16 2013,REG,@,California-Davis,Big West,L,61,73,,13,14,L 3
28,Sat Feb 23 2013,REG,@,Southern Utah,Big Sky,L,72,73,,13,15,L 4
29,Thu Feb 28 2013,REG,,Cal Poly,Big West,L,61,81,,13,16,L 5
30,Sat Mar 2 2013,REG,,California-Santa Barbara,Big West,L,74,83,,13,17,L 6
31,Thu Mar 7 2013,REG,,Hawaii,Big West,W,88,75,,14,17,W 1
