G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Oklahoma State,Big 12,L,65,73,,0,1,L 1
2,Sun Nov 18 2012,REG,,Northern Arizona,Big Sky,L,82,85,,0,2,L 2
3,Tue Nov 20 2012,REG,@,Sacramento State,Big Sky,W,87,76,,1,2,W 1
4,Wed Nov 28 2012,REG,@,Nevada,MWC,L,83,84,,1,3,L 1
5,Sat Dec 1 2012,REG,@,Idaho,WAC,L,66,73,,1,4,L 2
6,Wed Dec 5 2012,REG,,San Jose State,WAC,L,64,73,,1,5,L 3
7,Sat Dec 15 2012,REG,@,Stanford,Pac-12,L,52,75,,1,6,L 4
8,Mon Dec 17 2012,REG,,Eastern Washington,Big Sky,W,87,65,,2,6,W 1
9,Thu Dec 20 2012,REG,N,Southern Illinois,MVC,W,78,70,,3,6,W 2
10,Fri Dec 21 2012,REG,@,Utah State,WAC,L,61,73,,3,7,L 1
11,Sat Dec 22 2012,REG,N,Nicholls State,Southland,W,82,71,,4,7,W 1
12,Sat Dec 29 2012,REG,@,California-Irvine,Big West,L,58,69,OT,4,8,L 1
13,Sat Jan 5 2013,REG,,Pacific,Big West,L,64,74,,4,9,L 2
14,Thu Jan 10 2013,REG,,Cal Poly,Big West,W,69,67,,5,9,W 1
15,Sat Jan 12 2013,REG,,California-Santa Barbara,Big West,L,59,66,,5,10,L 1
16,Thu Jan 17 2013,REG,@,Cal State Northridge,Big West,W,74,71,,6,10,W 1
17,Sat Jan 19 2013,REG,@,Hawaii,Big West,W,93,82,,7,10,W 2
18,Thu Jan 24 2013,REG,,Cal State Fullerton,Big West,L,88,95,,7,11,L 1
19,Sat Jan 26 2013,REG,,California-Riverside,Big West,W,79,72,,8,11,W 1
20,Sat Feb 2 2013,REG,@,Pacific,Big West,L,64,77,,8,12,L 1
21,Thu Feb 7 2013,REG,@,California-Santa Barbara,Big West,W,64,56,,9,12,W 1
22,Sat Feb 9 2013,REG,@,Cal Poly,Big West,L,53,68,,9,13,L 1
23,Thu Feb 14 2013,REG,,Hawaii,Big West,W,89,65,,10,13,W 1
24,Sat Feb 16 2013,REG,,Cal State Northridge,Big West,W,73,61,,11,13,W 2
25,Wed Feb 20 2013,REG,@,Long Beach State,Big West,L,65,71,,11,14,L 1
26,Sat Feb 23 2013,REG,,Northern Colorado,Big Sky,W,79,78,,12,14,W 1
27,Thu Feb 28 2013,REG,@,California-Riverside,Big West,W,59,52,,13,14,W 2
28,Sat Mar 2 2013,REG,@,Cal State Fullerton,Big West,W,71,68,,14,14,W 3
29,Thu Mar 7 2013,REG,,Long Beach State,Big West,L,76,77,,14,15,L 1
30,Sat Mar 9 2013,REG,,California-Irvine,Big West,L,85,88,,14,16,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Cal Poly,Big West,L,41,64,,14,17,L 3
