G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Nevada,MWC,W,78,64,,1,0,W 1
2,Tue Nov 13 2012,REG,@,UCLA,Pac-12,L,79,80,OT,1,1,L 1
3,Thu Nov 15 2012,REG,,Pacifica,,W,116,47,,2,1,W 1
4,Mon Nov 19 2012,REG,N,Liberty,Big South,W,64,46,,3,1,W 2
5,Tue Nov 20 2012,REG,N,Southern Mississippi,CUSA,L,65,69,,3,2,L 1
6,Wed Nov 21 2012,REG,@,Sam Houston State,Southland,L,63,65,OT,3,3,L 2
7,Sat Nov 24 2012,REG,@,Pepperdine,WCC,L,62,72,,3,4,L 3
8,Wed Nov 28 2012,REG,@,Nevada-Las Vegas,MWC,L,57,85,,3,5,L 4
9,Tue Dec 4 2012,REG,,San Diego Christian,,W,94,52,,4,5,W 1
10,Sat Dec 8 2012,REG,@,Weber State,Big Sky,L,51,65,,4,6,L 1
11,Sat Dec 15 2012,REG,@,Fresno State,MWC,W,58,51,,5,6,W 1
12,Tue Dec 18 2012,REG,,Louisiana State,SEC,L,60,66,,5,7,L 1
13,Thu Dec 20 2012,REG,@,Southern California,Pac-12,W,61,54,,6,7,W 1
14,Sat Dec 29 2012,REG,,California-Davis,Big West,W,69,58,OT,7,7,W 2
15,Thu Jan 3 2013,REG,@,California-Santa Barbara,Big West,L,71,74,,7,8,L 1
16,Sat Jan 5 2013,REG,@,Cal Poly,Big West,L,67,72,,7,9,L 2
17,Wed Jan 9 2013,REG,,Hawaii,Big West,W,68,64,,8,9,W 1
18,Sat Jan 12 2013,REG,,Cal State Northridge,Big West,W,79,69,,9,9,W 2
19,Thu Jan 17 2013,REG,@,Cal State Fullerton,Big West,W,92,65,,10,9,W 3
20,Sat Jan 19 2013,REG,@,California-Riverside,Big West,L,58,68,,10,10,L 1
21,Sat Jan 26 2013,REG,@,Long Beach State,Big West,L,59,81,,10,11,L 2
22,Wed Jan 30 2013,REG,,Cal Poly,Big West,W,52,45,,11,11,W 1
23,Sat Feb 2 2013,REG,,California-Santa Barbara,Big West,W,62,60,,12,11,W 2
24,Thu Feb 7 2013,REG,@,Cal State Northridge,Big West,L,61,70,,12,12,L 1
25,Sat Feb 9 2013,REG,@,Hawaii,Big West,L,72,78,,12,13,L 2
26,Wed Feb 13 2013,REG,,California-Riverside,Big West,W,52,48,,13,13,W 1
27,Sat Feb 16 2013,REG,,Cal State Fullerton,Big West,W,86,66,,14,13,W 2
28,Wed Feb 20 2013,REG,,Pacific,Big West,W,68,59,,15,13,W 3
29,Sat Feb 23 2013,REG,@,Texas-Arlington,WAC,W,77,70,,16,13,W 4
30,Sat Mar 2 2013,REG,,Long Beach State,Big West,W,72,69,,17,13,W 5
31,Thu Mar 7 2013,REG,@,Pacific,Big West,L,62,70,,17,14,L 1
32,Sat Mar 9 2013,REG,@,California-Davis,Big West,W,88,85,,18,14,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Thu Mar 14 2013,CTOURN,N,Hawaii,Big West,W,71,60,,19,14,W 2
34,Fri Mar 15 2013,CTOURN,N,Long Beach State,Big West,W,67,60,,20,14,W 3
35,Sat Mar 16 2013,CTOURN,N,Pacific,Big West,L,55,64,,20,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
36,Wed Mar 20 2013,CIT,,High Point,Big South,W,80,71,,21,15,W 1
37,Mon Mar 25 2013,CIT,@,Oral Roberts,Southland,L,62,76,,21,16,L 1
