G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,DePaul,Big East,L,59,91,,0,1,L 1
2,Sun Nov 11 2012,REG,@,Illinois-Chicago,Horizon,L,52,59,,0,2,L 2
3,Wed Nov 14 2012,REG,,Fresno State,MWC,L,30,39,,0,3,L 3
4,Sat Nov 17 2012,REG,,Whitman,,W,89,76,,1,3,W 1
5,Wed Nov 21 2012,REG,N,Northeastern,CAA,L,52,61,,1,4,L 1
6,Fri Nov 23 2012,REG,@,Alaska-Anchorage,,L,65,66,,1,5,L 2
7,Sat Nov 24 2012,REG,N,Texas State,WAC,L,69,81,,1,6,L 3
8,Sat Dec 1 2012,REG,,Northern Colorado,Big Sky,W,69,63,,2,6,W 1
9,Wed Dec 5 2012,REG,@,Pepperdine,WCC,L,40,62,,2,7,L 1
10,Sat Dec 15 2012,REG,@,Southern California,Pac-12,L,26,70,,2,8,L 2
11,Tue Dec 18 2012,REG,,Whittier,,W,91,62,,3,8,W 1
12,Sat Dec 22 2012,REG,,Air Force,MWC,L,53,61,,3,9,L 1
13,Sat Dec 29 2012,REG,,Cal Poly,Big West,L,48,58,,3,10,L 2
14,Thu Jan 3 2013,REG,@,Cal State Northridge,Big West,W,65,64,,4,10,W 1
15,Sat Jan 5 2013,REG,@,Hawaii,Big West,L,61,76,,4,11,L 1
16,Sat Jan 12 2013,REG,@,Cal State Fullerton,Big West,L,69,71,,4,12,L 2
17,Thu Jan 17 2013,REG,,Long Beach State,Big West,L,82,91,OT,4,13,L 3
18,Sat Jan 19 2013,REG,,California-Irvine,Big West,W,68,58,,5,13,W 1
19,Thu Jan 24 2013,REG,@,Pacific,Big West,L,58,63,,5,14,L 1
20,Sat Jan 26 2013,REG,@,California-Davis,Big West,L,72,79,,5,15,L 2
21,Thu Jan 31 2013,REG,,Hawaii,Big West,L,68,72,,5,16,L 3
22,Sat Feb 2 2013,REG,,Cal State Northridge,Big West,L,53,69,,5,17,L 4
23,Sat Feb 9 2013,REG,,Cal State Fullerton,Big West,L,67,79,,5,18,L 5
24,Wed Feb 13 2013,REG,@,California-Irvine,Big West,L,48,52,,5,19,L 6
25,Sat Feb 16 2013,REG,@,Long Beach State,Big West,L,35,75,,5,20,L 7
26,Wed Feb 20 2013,REG,,California-Santa Barbara,Big West,W,54,45,,6,20,W 1
27,Sat Feb 23 2013,REG,@,Portland State,Big Sky,L,58,66,,6,21,L 1
28,Thu Feb 28 2013,REG,,California-Davis,Big West,L,52,59,,6,22,L 2
29,Sat Mar 2 2013,REG,,Pacific,Big West,L,68,70,,6,23,L 3
30,Thu Mar 7 2013,REG,@,Cal Poly,Big West,L,62,68,,6,24,L 4
31,Sat Mar 9 2013,REG,@,California-Santa Barbara,Big West,L,46,56,,6,25,L 5
