G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Louisiana State,SEC,L,63,77,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Illinois State,MVC,L,72,100,,0,2,L 2
3,Sat Nov 17 2012,REG,,Master's,,W,80,60,,1,2,W 1
4,Wed Nov 21 2012,REG,,San Diego,WCC,W,57,39,,2,2,W 2
5,Sat Nov 24 2012,REG,@,Boise State,MWC,L,56,72,,2,3,L 1
6,Wed Nov 28 2012,REG,,Wyoming,MWC,L,40,68,,2,4,L 2
7,Sat Dec 1 2012,REG,@,Santa Clara,WCC,W,83,80,OT,3,4,W 1
8,Thu Dec 6 2012,REG,@,San Diego State,MWC,L,70,84,,3,5,L 1
9,Sat Dec 15 2012,REG,,San Diego Christian,,W,87,60,,4,5,W 1
10,Tue Dec 18 2012,REG,@,California,Pac-12,L,59,68,,4,6,L 1
11,Fri Dec 21 2012,REG,@,Wyoming,MWC,L,40,56,,4,7,L 2
12,Sat Dec 29 2012,REG,@,Cal State Fullerton,Big West,L,79,86,,4,8,L 3
13,Thu Jan 3 2013,REG,,California-Irvine,Big West,W,74,71,,5,8,W 1
14,Sat Jan 5 2013,REG,,Long Beach State,Big West,L,70,77,,5,9,L 1
15,Thu Jan 10 2013,REG,@,Pacific,Big West,L,62,80,,5,10,L 2
16,Sat Jan 12 2013,REG,@,California-Davis,Big West,W,66,59,,6,10,W 1
17,Sat Jan 19 2013,REG,,Cal Poly,Big West,W,83,81,2OT,7,10,W 2
18,Thu Jan 24 2013,REG,,Cal State Northridge,Big West,L,69,75,,7,11,L 1
19,Sat Jan 26 2013,REG,,Hawaii,Big West,L,73,78,,7,12,L 2
20,Wed Jan 30 2013,REG,@,Long Beach State,Big West,L,55,57,,7,13,L 3
21,Sat Feb 2 2013,REG,@,California-Irvine,Big West,L,60,62,,7,14,L 4
22,Thu Feb 7 2013,REG,,California-Davis,Big West,L,56,64,,7,15,L 5
23,Sat Feb 9 2013,REG,,Pacific,Big West,W,66,53,,8,15,W 1
24,Sat Feb 16 2013,REG,@,Cal Poly,Big West,L,49,67,,8,16,L 1
25,Wed Feb 20 2013,REG,@,California-Riverside,Big West,L,45,54,,8,17,L 2
26,Sat Feb 23 2013,REG,,Sacramento State,Big Sky,L,50,51,,8,18,L 3
27,Thu Feb 28 2013,REG,@,Hawaii,Big West,L,66,70,,8,19,L 4
28,Sat Mar 2 2013,REG,@,Cal State Northridge,Big West,W,83,74,,9,19,W 1
29,Thu Mar 7 2013,REG,,Cal State Fullerton,Big West,W,66,50,,10,19,W 2
30,Sat Mar 9 2013,REG,,California-Riverside,Big West,W,56,46,,11,19,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Pacific,Big West,L,68,71,,11,20,L 1
