G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Cal State Bakersfield,Ind,W,78,65,,1,0,W 1
2,Tue Nov 13 2012,REG,,Pepperdine,WCC,W,79,62,,2,0,W 2
3,Fri Nov 16 2012,REG,@,Denver,WAC,W,72,61,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Drake,MVC,W,73,70,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Georgia Tech,ACC,W,68,57,,5,0,W 5
6,Sun Nov 25 2012,REG,N,Pacific,Big West,W,78,58,,6,0,W 6
7,Sun Dec 2 2012,REG,@,Wisconsin,Big Ten,L,56,81,,6,1,L 1
8,Sun Dec 9 2012,REG,,Nevada-Las Vegas,MWC,L,75,76,,6,2,L 2
9,Sat Dec 15 2012,REG,,Creighton,MVC,L,64,74,,6,3,L 3
10,Tue Dec 18 2012,REG,,California-Santa Barbara,Big West,W,68,59,,7,3,W 1
11,Sat Dec 22 2012,REG,,Prairie View,SWAC,W,85,53,,8,3,W 2
12,Sat Dec 29 2012,REG,,Harvard,Ivy,L,62,67,,8,4,L 1
13,Thu Jan 3 2013,REG,@,UCLA,Pac-12,L,65,79,,8,5,L 2
14,Sat Jan 5 2013,REG,@,Southern California,Pac-12,W,72,64,,9,5,W 1
15,Wed Jan 9 2013,REG,,Washington,Pac-12,L,47,62,,9,6,L 1
16,Sat Jan 12 2013,REG,,Washington State,Pac-12,W,67,54,,10,6,W 1
17,Sat Jan 19 2013,REG,@,Stanford,Pac-12,L,59,69,,10,7,L 1
18,Thu Jan 24 2013,REG,@,Utah,Pac-12,W,62,57,,11,7,W 1
19,Sun Jan 27 2013,REG,@,Colorado,Pac-12,L,71,81,,11,8,L 1
20,Thu Jan 31 2013,REG,,Oregon State,Pac-12,W,71,68,,12,8,W 1
21,Sat Feb 2 2013,REG,,Oregon,Pac-12,W,58,54,,13,8,W 2
22,Thu Feb 7 2013,REG,@,Arizona State,Pac-12,L,62,66,,13,9,L 1
23,Sun Feb 10 2013,REG,@,Arizona,Pac-12,W,77,69,,14,9,W 1
24,Thu Feb 14 2013,REG,,UCLA,Pac-12,W,76,63,,15,9,W 2
25,Sun Feb 17 2013,REG,,Southern California,Pac-12,W,76,68,,16,9,W 3
26,Thu Feb 21 2013,REG,@,Oregon,Pac-12,W,48,46,,17,9,W 4
27,Sat Feb 23 2013,REG,@,Oregon State,Pac-12,W,60,59,,18,9,W 5
28,Thu Feb 28 2013,REG,,Utah,Pac-12,W,64,46,,19,9,W 6
29,Sat Mar 2 2013,REG,,Colorado,Pac-12,W,62,46,,20,9,W 7
30,Wed Mar 6 2013,REG,,Stanford,Pac-12,L,70,83,,20,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Utah,Pac-12,L,69,79,OT,20,11,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 21 2013,NCAA,N,Nevada-Las Vegas,MWC,W,64,61,,21,11,W 1
33,Sat Mar 23 2013,NCAA,N,Syracuse,Big East,L,60,66,,21,12,L 1
