G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Averett,,W,74,55,,1,0,W 1
2,Mon Nov 12 2012,REG,,Northwestern State,Southland,L,67,71,,1,1,L 1
3,Fri Nov 16 2012,REG,,Appalachian State,Southern,W,101,82,,2,1,W 1
4,Sun Nov 18 2012,REG,@,Iowa State,Big 12,L,68,88,,2,2,L 1
5,Tue Nov 20 2012,REG,@,Cincinnati,Big East,L,72,91,,2,3,L 2
6,Fri Nov 23 2012,REG,N,North Carolina A&T,MEAC,L,60,85,,2,4,L 3
7,Sat Nov 24 2012,REG,N,Northern Arizona,Big Sky,L,62,70,,2,5,L 4
8,Thu Nov 29 2012,REG,,Newberry,,W,91,78,,3,5,W 1
9,Tue Dec 4 2012,REG,,Robert Morris,NEC,L,58,61,,3,6,L 1
10,Wed Dec 12 2012,REG,,Rio Grande,,L,65,67,,3,7,L 2
11,Wed Dec 19 2012,REG,@,Gonzaga,WCC,L,52,74,,3,8,L 3
12,Sat Dec 22 2012,REG,@,Seattle,WAC,L,49,72,,3,9,L 4
13,Sat Dec 29 2012,REG,,North Carolina-Wilmington,CAA,W,72,60,,4,9,W 1
14,Wed Jan 2 2013,REG,@,East Carolina,CUSA,W,86,81,OT,5,9,W 2
15,Sat Jan 5 2013,REG,,Gardner-Webb,Big South,W,93,81,3OT,6,9,W 3
16,Wed Jan 9 2013,REG,@,Longwood,Big South,W,83,73,,7,9,W 4
17,Sat Jan 12 2013,REG,@,Presbyterian,Big South,W,62,46,,8,9,W 5
18,Wed Jan 16 2013,REG,@,Virginia Military Institute,Big South,L,57,76,,8,10,L 1
19,Sat Jan 19 2013,REG,,Winthrop,Big South,W,63,59,,9,10,W 1
20,Wed Jan 23 2013,REG,,Radford,Big South,W,69,60,,10,10,W 2
21,Sat Jan 26 2013,REG,@,Coastal Carolina,Big South,L,59,73,,10,11,L 1
22,Tue Jan 29 2013,REG,@,Liberty,Big South,L,72,89,,10,12,L 2
23,Sat Feb 2 2013,REG,,North Carolina-Asheville,Big South,L,61,78,,10,13,L 3
24,Wed Feb 6 2013,REG,,High Point,Big South,L,52,58,,10,14,L 4
25,Sat Feb 9 2013,REG,@,Charleston Southern,Big South,L,68,86,,10,15,L 5
26,Wed Feb 13 2013,REG,,Liberty,Big South,L,80,82,,10,16,L 6
27,Sat Feb 16 2013,REG,,Virginia Military Institute,Big South,W,87,78,,11,16,W 1
28,Tue Feb 19 2013,REG,@,Radford,Big South,W,72,66,OT,12,16,W 2
29,Sat Feb 23 2013,REG,,Savannah State,MEAC,L,63,69,,12,17,L 1
30,Wed Feb 27 2013,REG,,Longwood,Big South,L,66,79,,12,18,L 2
31,Sat Mar 2 2013,REG,@,High Point,Big South,L,62,63,,12,19,L 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 5 2013,CTOURN,N,Presbyterian,Big South,W,81,73,OT,13,19,W 1
33,Thu Mar 7 2013,CTOURN,N,Gardner-Webb,Big South,L,57,71,,13,20,L 1
