G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,N,Fairfield,MAAC,L,63,64,OT,0,1,L 1
2,Mon Nov 12 2012,REG,@,Saint Peter's,MAAC,L,61,64,,0,2,L 2
3,Thu Nov 15 2012,REG,,Brown,Ivy,W,86,71,,1,2,W 1
4,Sun Nov 18 2012,REG,@,La Salle,A-10,W,81,74,,2,2,W 2
5,Tue Nov 20 2012,REG,@,Maryland-Baltimore County,AEC,W,83,82,OT,3,2,W 3
6,Sat Nov 24 2012,REG,@,Hartford,AEC,L,77,80,,3,3,L 1
7,Wed Dec 5 2012,REG,@,New Hampshire,AEC,W,87,84,,4,3,W 1
8,Sat Dec 8 2012,REG,@,Indiana,Big Ten,L,69,100,,4,4,L 1
9,Fri Dec 21 2012,REG,,Northeastern,CAA,L,63,82,,4,5,L 2
10,Sat Dec 29 2012,REG,,Saint Peter's,MAAC,L,69,71,,4,6,L 3
11,Mon Dec 31 2012,REG,@,Syracuse,Big East,L,62,96,,4,7,L 4
12,Thu Jan 3 2013,REG,@,Saint Francis (PA),NEC,L,60,67,,4,8,L 5
13,Sat Jan 5 2013,REG,@,Robert Morris,NEC,W,77,70,,5,8,W 1
14,Thu Jan 10 2013,REG,,Sacred Heart,NEC,W,84,78,,6,8,W 2
15,Sat Jan 12 2013,REG,,Bryant,NEC,L,62,69,,6,9,L 1
16,Thu Jan 17 2013,REG,,Wagner,NEC,W,73,66,,7,9,W 1
17,Sat Jan 19 2013,REG,,Mount St. Mary's,NEC,L,75,80,,7,10,L 1
18,Thu Jan 24 2013,REG,@,Quinnipiac,NEC,L,78,85,,7,11,L 2
19,Sat Jan 26 2013,REG,,St. Francis (NY),NEC,W,72,70,,8,11,W 1
20,Thu Jan 31 2013,REG,@,Monmouth,NEC,W,78,58,,9,11,W 2
21,Sat Feb 2 2013,REG,@,Fairleigh Dickinson,NEC,W,80,71,,10,11,W 3
22,Thu Feb 7 2013,REG,,Long Island University,NEC,L,75,81,,10,12,L 1
23,Thu Feb 14 2013,REG,@,Wagner,NEC,L,82,101,,10,13,L 2
24,Sat Feb 16 2013,REG,@,Mount St. Mary's,NEC,L,80,89,,10,14,L 3
25,Thu Feb 21 2013,REG,@,Bryant,NEC,L,67,88,,10,15,L 4
26,Sat Feb 23 2013,REG,@,Sacred Heart,NEC,W,80,72,,11,15,W 1
27,Mon Feb 25 2013,REG,,Quinnipiac,NEC,W,67,65,,12,15,W 2
28,Thu Feb 28 2013,REG,,Saint Francis (PA),NEC,W,84,81,2OT,13,15,W 3
29,Sat Mar 2 2013,REG,,Robert Morris,NEC,L,61,81,,13,16,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 6 2013,CTOURN,@,Wagner,NEC,L,50,72,,13,17,L 2
