G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,South Florida,Big East,W,74,56,,1,0,W 1
2,Tue Nov 13 2012,REG,,Alabama State,SWAC,W,85,56,,2,0,W 2
3,Sun Nov 18 2012,REG,,Savannah State,MEAC,W,53,50,,3,0,W 3
4,Tue Nov 20 2012,REG,,Middle Tennessee,Sun Belt,L,61,75,,3,1,L 1
5,Fri Nov 23 2012,REG,@,Florida,SEC,L,66,79,,3,2,L 2
6,Sat Dec 1 2012,REG,,Florida Tech,,W,90,62,,4,2,W 1
7,Wed Dec 12 2012,REG,,Bethune-Cookman,MEAC,W,72,62,,5,2,W 2
8,Fri Dec 14 2012,REG,@,Old Dominion,CAA,W,75,71,,6,2,W 3
9,Tue Dec 18 2012,REG,,Miami (FL),ACC,L,50,72,,6,3,L 1
10,Thu Dec 20 2012,REG,,Stetson,A-Sun,W,83,66,,7,3,W 1
11,Fri Dec 28 2012,REG,,Howard,MEAC,W,62,45,,8,3,W 2
12,Sat Dec 29 2012,REG,N,Belmont,OVC,W,66,63,,9,3,W 3
13,Wed Jan 2 2013,REG,,South Florida,Big East,L,56,65,,9,4,L 1
14,Sat Jan 5 2013,REG,,Florida A&M,MEAC,W,99,69,,10,4,W 1
15,Wed Jan 9 2013,REG,,Alabama-Birmingham,CUSA,W,64,48,,11,4,W 2
16,Sat Jan 12 2013,REG,@,East Carolina,CUSA,L,85,88,OT,11,5,L 1
17,Sat Jan 19 2013,REG,@,Houston,CUSA,W,79,75,OT,12,5,W 1
18,Wed Jan 23 2013,REG,,Rice,CUSA,W,78,67,,13,5,W 2
19,Sat Jan 26 2013,REG,,Southern Methodist,CUSA,W,74,65,,14,5,W 3
20,Wed Jan 30 2013,REG,@,Tulane,CUSA,W,58,50,,15,5,W 4
21,Sat Feb 2 2013,REG,@,Marshall,CUSA,L,71,75,,15,6,L 1
22,Wed Feb 6 2013,REG,,Southern Mississippi,CUSA,W,60,58,,16,6,W 1
23,Sat Feb 9 2013,REG,,East Carolina,CUSA,W,83,73,,17,6,W 2
24,Wed Feb 13 2013,REG,@,Memphis,CUSA,L,71,93,,17,7,L 1
25,Sat Feb 16 2013,REG,@,Texas-El Paso,CUSA,L,58,73,,17,8,L 2
26,Wed Feb 20 2013,REG,,Marshall,CUSA,L,70,82,,17,9,L 3
27,Sat Feb 23 2013,REG,,Tulsa,CUSA,W,83,75,,18,9,W 1
28,Tue Feb 26 2013,REG,,Georgia Southwestern,,W,65,50,,19,9,W 2
29,Sat Mar 2 2013,REG,,Memphis,CUSA,L,67,76,,19,10,L 1
30,Wed Mar 6 2013,REG,@,Alabama-Birmingham,CUSA,W,74,70,,20,10,W 1
31,Sat Mar 9 2013,REG,@,Southern Mississippi,CUSA,L,62,70,,20,11,L 1
