G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Charleston Southern,Big South,W,68,58,,1,0,W 1
2,Tue Nov 13 2012,REG,,Georgia Southern,Southern,W,66,53,,2,0,W 2
3,Sat Nov 17 2012,REG,,Lamar,Southland,W,70,49,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Texas State,WAC,W,73,64,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Oral Roberts,Southland,W,72,58,,5,0,W 5
6,Sun Nov 25 2012,REG,N,Northeastern,CAA,W,67,59,,6,0,W 6
7,Sat Dec 1 2012,REG,,East Carolina,CUSA,W,76,64,,7,0,W 7
8,Wed Dec 5 2012,REG,@,Davidson,Southern,W,73,69,,8,0,W 8
9,Sat Dec 8 2012,REG,,Central Michigan,MAC,W,78,66,,9,0,W 9
10,Fri Dec 14 2012,REG,@,Miami (FL),ACC,L,46,77,,9,1,L 1
11,Sun Dec 16 2012,REG,@,Kennesaw State,A-Sun,W,66,52,,10,1,W 1
12,Wed Dec 19 2012,REG,,Radford,Big South,W,68,52,,11,1,W 2
13,Sat Dec 22 2012,REG,N,Florida State,ACC,L,76,79,,11,2,L 1
14,Wed Jan 2 2013,REG,,North Carolina-Asheville,Big South,W,71,63,OT,12,2,W 1
15,Wed Jan 9 2013,REG,,La Salle,A-10,W,74,65,,13,2,W 2
16,Sat Jan 12 2013,REG,@,Rhode Island,A-10,W,58,50,,14,2,W 3
17,Wed Jan 16 2013,REG,,Fordham,A-10,W,74,68,,15,2,W 4
18,Sat Jan 19 2013,REG,@,Richmond,A-10,L,61,81,,15,3,L 1
19,Wed Jan 23 2013,REG,,Xavier,A-10,W,63,57,,16,3,W 1
20,Sat Jan 26 2013,REG,@,George Washington,A-10,L,54,82,,16,4,L 1
21,Sat Feb 2 2013,REG,,Massachusetts,A-10,W,66,65,,17,4,W 1
22,Wed Feb 6 2013,REG,@,Temple,A-10,L,88,89,,17,5,L 1
23,Sat Feb 9 2013,REG,,Virginia Commonwealth,A-10,L,61,68,,17,6,L 2
24,Wed Feb 13 2013,REG,@,Butler,A-10,W,71,67,,18,6,W 1
25,Sat Feb 16 2013,REG,@,Saint Louis,A-10,L,58,76,,18,7,L 1
26,Sun Feb 24 2013,REG,,Temple,A-10,L,51,71,,18,8,L 2
27,Wed Feb 27 2013,REG,,Dayton,A-10,L,67,88,,18,9,L 3
28,Sat Mar 2 2013,REG,@,St. Bonaventure,A-10,L,83,104,,18,10,L 4
29,Wed Mar 6 2013,REG,@,Duquesne,A-10,W,89,87,OT,19,10,W 1
30,Sat Mar 9 2013,REG,,Saint Joseph's,A-10,W,52,40,,20,10,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Richmond,A-10,W,68,63,,21,10,W 3
32,Fri Mar 15 2013,CTOURN,N,Saint Louis,A-10,L,55,72,,21,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,NIT,@,Providence,Big East,L,66,75,,21,12,L 2
