G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Green Bay,Horizon,L,67,72,,0,1,L 1
2,Tue Nov 13 2012,REG,,Concordia (IL),,W,81,65,,1,1,W 1
3,Fri Nov 16 2012,REG,@,Kent State,MAC,L,63,92,,1,2,L 1
4,Sun Nov 18 2012,REG,@,Tulane,CUSA,L,51,79,,1,3,L 2
5,Fri Nov 23 2012,REG,@,Valparaiso,Horizon,L,46,67,,1,4,L 3
6,Sat Nov 24 2012,REG,N,Nebraska-Omaha,Summit,L,66,68,,1,5,L 4
7,Mon Nov 26 2012,REG,@,Notre Dame,Big East,L,65,92,,1,6,L 5
8,Thu Nov 29 2012,REG,,Trinity Christian,,W,87,61,,2,6,W 1
9,Sat Dec 1 2012,REG,@,Southern Illinois-Edwardsville,OVC,L,57,71,,2,7,L 1
10,Wed Dec 5 2012,REG,,DePaul,Big East,L,64,74,,2,8,L 2
11,Sat Dec 8 2012,REG,,Alabama State,SWAC,W,67,54,,3,8,W 1
12,Sun Dec 16 2012,REG,@,Oregon State,Pac-12,L,77,87,,3,9,L 1
13,Wed Dec 19 2012,REG,@,Rice,CUSA,L,60,63,OT,3,10,L 2
14,Sat Dec 22 2012,REG,@,Houston,CUSA,L,57,79,,3,11,L 3
15,Sat Dec 29 2012,REG,@,Ohio State,Big Ten,L,44,87,,3,12,L 4
16,Mon Dec 31 2012,REG,@,Toledo,MAC,W,58,53,,4,12,W 1
17,Thu Jan 3 2013,REG,@,Nevada-Las Vegas,MWC,L,52,74,,4,13,L 1
18,Sat Jan 12 2013,REG,@,NJIT,GWC,L,78,83,3OT,4,14,L 2
19,Mon Jan 14 2013,REG,,Benedictine-Springfield,,W,77,53,,5,14,W 1
20,Sat Jan 19 2013,REG,,Houston Baptist,GWC,W,81,56,,6,14,W 2
21,Sun Jan 20 2013,REG,,Loyola (IL),Horizon,L,63,66,OT,6,15,L 1
22,Sat Jan 26 2013,REG,,Utah Valley,GWC,W,62,54,,7,15,W 1
23,Sat Feb 2 2013,REG,@,Texas-Pan American,GWC,L,65,68,,7,16,L 1
24,Sat Feb 9 2013,REG,,NJIT,GWC,L,58,63,,7,17,L 2
25,Sat Feb 16 2013,REG,,Urbana,,W,82,74,,8,17,W 1
26,Tue Feb 19 2013,REG,@,Nebraska-Omaha,Summit,L,75,79,,8,18,L 1
27,Sat Feb 23 2013,REG,,Texas-Pan American,GWC,L,51,55,,8,19,L 2
28,Tue Feb 26 2013,REG,,Eastern Illinois,OVC,L,50,58,,8,20,L 3
29,Sat Mar 2 2013,REG,@,Utah Valley,GWC,L,69,76,,8,21,L 4
30,Sat Mar 9 2013,REG,@,Houston Baptist,GWC,W,71,58,,9,21,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Fri Mar 15 2013,CTOURN,N,Texas-Pan American,GWC,W,63,55,,10,21,W 2
32,Sat Mar 16 2013,CTOURN,,Houston Baptist,GWC,W,75,60,,11,21,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,CIT,@,Illinois-Chicago,Horizon,L,69,80,,11,22,L 1
