G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Tennessee-Martin,OVC,W,80,57,,1,0,W 1
2,Tue Nov 13 2012,REG,,Mississippi Valley State,SWAC,W,102,60,,2,0,W 2
3,Sun Nov 18 2012,REG,,North Carolina A&T,MEAC,W,93,39,,3,0,W 3
4,Tue Nov 20 2012,REG,,Campbell,Big South,W,91,72,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Iowa State,Big 12,W,78,70,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Oregon,Pac-12,W,77,66,,6,0,W 6
7,Sat Dec 1 2012,REG,,Alabama,SEC,W,58,56,,7,0,W 7
8,Thu Dec 6 2012,REG,,Arkansas-Little Rock,Sun Belt,W,87,53,,8,0,W 8
9,Sat Dec 8 2012,REG,,Maryland-Eastern Shore,MEAC,W,92,60,,9,0,W 9
10,Sat Dec 15 2012,REG,N,Marshall,CUSA,W,72,56,,10,0,W 10
11,Wed Dec 19 2012,REG,N,Xavier,A-10,W,60,45,,11,0,W 11
12,Sat Dec 22 2012,REG,,Wright State,Horizon,W,68,58,,12,0,W 12
13,Thu Dec 27 2012,REG,,New Mexico,MWC,L,54,55,,12,1,L 1
14,Mon Dec 31 2012,REG,@,Pittsburgh,Big East,W,70,61,,13,1,W 1
15,Sat Jan 5 2013,REG,,St. John's (NY),Big East,L,52,53,,13,2,L 1
16,Mon Jan 7 2013,REG,,Notre Dame,Big East,L,60,66,,13,3,L 2
17,Sat Jan 12 2013,REG,@,Rutgers,Big East,W,68,58,,14,3,W 1
18,Tue Jan 15 2013,REG,@,DePaul,Big East,W,75,70,,15,3,W 2
19,Sat Jan 19 2013,REG,,Marquette,Big East,W,71,69,OT,16,3,W 3
20,Mon Jan 21 2013,REG,@,Syracuse,Big East,L,55,57,,16,4,L 1
21,Wed Jan 30 2013,REG,,Rutgers,Big East,W,62,54,,17,4,W 1
22,Sat Feb 2 2013,REG,@,Seton Hall,Big East,W,65,59,,18,4,W 2
23,Wed Feb 6 2013,REG,@,Providence,Big East,L,50,54,,18,5,L 1
24,Sat Feb 9 2013,REG,,Pittsburgh,Big East,L,52,62,,18,6,L 2
25,Tue Feb 12 2013,REG,,Villanova,Big East,W,68,50,,19,6,W 1
26,Fri Feb 15 2013,REG,,Georgetown,Big East,L,55,62,,19,7,L 1
27,Thu Feb 21 2013,REG,@,Connecticut,Big East,L,66,73,OT,19,8,L 2
28,Sun Feb 24 2013,REG,@,Notre Dame,Big East,L,41,62,,19,9,L 3
29,Sat Mar 2 2013,REG,,Connecticut,Big East,W,61,56,,20,9,W 1
30,Mon Mar 4 2013,REG,@,Louisville,Big East,L,51,67,,20,10,L 1
31,Sat Mar 9 2013,REG,,South Florida,Big East,W,61,53,OT,21,10,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Providence,Big East,W,61,44,,22,10,W 2
33,Thu Mar 14 2013,CTOURN,N,Georgetown,Big East,L,43,62,,22,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Fri Mar 22 2013,NCAA,N,Creighton,MVC,L,63,67,,22,12,L 2
