G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Virginia Military Institute,Big South,W,84,76,,1,0,W 1
2,Sun Nov 11 2012,REG,N,Air Force,MWC,L,70,77,,1,1,L 1
3,Wed Nov 14 2012,REG,,Montreat,,W,62,45,,2,1,W 1
4,Sat Nov 17 2012,REG,,Union (KY),,W,92,50,,3,1,W 2
5,Sat Nov 24 2012,REG,,Radford,Big South,L,61,74,,3,2,L 1
6,Sat Dec 1 2012,REG,@,North Carolina-Greensboro,Southern,L,54,84,,3,3,L 2
7,Tue Dec 4 2012,REG,@,Charleston Southern,Big South,L,73,101,,3,4,L 3
8,Sat Dec 15 2012,REG,@,Gardner-Webb,Big South,L,58,71,,3,5,L 4
9,Wed Dec 19 2012,REG,@,St. Bonaventure,A-10,L,57,97,,3,6,L 5
10,Sat Dec 22 2012,REG,@,Georgia Tech,ACC,L,41,73,,3,7,L 6
11,Tue Jan 1 2013,REG,@,Clemson,ACC,L,51,92,,3,8,L 7
12,Sat Jan 5 2013,REG,,Western Carolina,Southern,L,55,72,,3,9,L 8
13,Thu Jan 10 2013,REG,,Chattanooga,Southern,L,65,70,,3,10,L 9
14,Sat Jan 12 2013,REG,,Samford,Southern,L,65,69,,3,11,L 10
15,Mon Jan 14 2013,REG,,College of Charleston,Southern,L,69,73,,3,12,L 11
16,Thu Jan 17 2013,REG,@,Davidson,Southern,L,38,70,,3,13,L 12
17,Sat Jan 19 2013,REG,@,Georgia Southern,Southern,W,70,55,,4,13,W 1
18,Thu Jan 24 2013,REG,@,College of Charleston,Southern,L,54,69,,4,14,L 1
19,Sat Jan 26 2013,REG,,Elon,Southern,L,66,70,,4,15,L 2
20,Thu Jan 31 2013,REG,,Wofford,Southern,W,69,63,,5,15,W 1
21,Sat Feb 2 2013,REG,@,Furman,Southern,W,84,79,,6,15,W 2
22,Thu Feb 7 2013,REG,@,Chattanooga,Southern,L,76,89,,6,16,L 1
23,Sat Feb 9 2013,REG,@,Samford,Southern,L,67,79,,6,17,L 2
24,Thu Feb 14 2013,REG,,Georgia Southern,Southern,L,57,78,,6,18,L 3
25,Sat Feb 16 2013,REG,,Davidson,Southern,L,57,72,,6,19,L 4
26,Wed Feb 20 2013,REG,@,Appalachian State,Southern,W,80,77,OT,7,19,W 1
27,Sat Feb 23 2013,REG,@,Presbyterian,Big South,L,65,68,,7,20,L 1
28,Thu Feb 28 2013,REG,,Furman,Southern,W,68,57,,8,20,W 1
29,Sat Mar 2 2013,REG,@,Wofford,Southern,L,62,69,,8,21,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Fri Mar 8 2013,CTOURN,N,Western Carolina,Southern,L,61,76,,8,22,L 2
