G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Grambling,SWAC,W,92,49,,1,0,W 1
2,Mon Nov 12 2012,REG,N,Bowling Green State,MAC,W,79,73,OT,2,0,W 2
3,Tue Nov 13 2012,REG,@,Michigan,Big Ten,L,47,77,,2,1,L 1
4,Sat Nov 17 2012,REG,,Old Dominion,CAA,W,67,55,,3,1,W 1
5,Mon Nov 19 2012,REG,N,Alabama-Huntsville,,W,71,69,,4,1,W 2
6,Tue Nov 20 2012,REG,@,Robert Morris,NEC,L,62,71,,4,2,L 1
7,Wed Nov 28 2012,REG,@,Ball State,MAC,W,69,63,,5,2,W 1
8,Sat Dec 1 2012,REG,,Toledo,MAC,W,78,73,,6,2,W 2
9,Sat Dec 8 2012,REG,@,North Carolina State,ACC,L,63,80,,6,3,L 1
10,Sat Dec 15 2012,REG,@,St. Bonaventure,A-10,L,53,87,,6,4,L 2
11,Wed Dec 19 2012,REG,,Notre Dame (OH),,W,77,66,,7,4,W 1
12,Sun Dec 23 2012,REG,@,Akron,MAC,L,57,87,,7,5,L 1
13,Fri Dec 28 2012,REG,,Rio Grande,,W,79,59,,8,5,W 1
14,Wed Jan 2 2013,REG,,Kent State,MAC,L,55,72,,8,6,L 1
15,Fri Jan 4 2013,REG,@,Valparaiso,Horizon,L,50,74,,8,7,L 2
16,Mon Jan 7 2013,REG,,Illinois-Chicago,Horizon,W,60,50,,9,7,W 1
17,Wed Jan 9 2013,REG,@,Wright State,Horizon,L,53,69,,9,8,L 1
18,Sat Jan 12 2013,REG,,Detroit Mercy,Horizon,W,74,62,,10,8,W 1
19,Thu Jan 17 2013,REG,@,Milwaukee,Horizon,L,57,69,,10,9,L 1
20,Sat Jan 19 2013,REG,@,Green Bay,Horizon,L,50,77,,10,10,L 2
21,Wed Jan 23 2013,REG,,Loyola (IL),Horizon,L,55,67,,10,11,L 3
22,Sat Jan 26 2013,REG,@,Youngstown State,Horizon,L,59,73,,10,12,L 4
23,Sat Feb 2 2013,REG,@,Illinois-Chicago,Horizon,W,77,66,,11,12,W 1
24,Tue Feb 5 2013,REG,,Youngstown State,Horizon,W,66,60,,12,12,W 2
25,Sat Feb 9 2013,REG,,Valparaiso,Horizon,L,72,80,,12,13,L 1
26,Tue Feb 12 2013,REG,@,Detroit Mercy,Horizon,L,62,92,,12,14,L 2
27,Fri Feb 15 2013,REG,,Green Bay,Horizon,L,59,66,,12,15,L 3
28,Sun Feb 17 2013,REG,,Milwaukee,Horizon,W,88,67,,13,15,W 1
29,Wed Feb 20 2013,REG,,Wright State,Horizon,L,41,50,,13,16,L 1
30,Sat Feb 23 2013,REG,@,Western Illinois,Summit,W,60,54,,14,16,W 1
31,Sat Mar 2 2013,REG,@,Loyola (IL),Horizon,L,60,87,,14,17,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 5 2013,CTOURN,@,Illinois-Chicago,Horizon,L,59,82,,14,18,L 2
