G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Illinois,Big Ten,L,55,75,,0,1,L 1
2,Sun Nov 11 2012,REG,@,Marquette,Big East,L,63,84,,0,2,L 2
3,Wed Nov 14 2012,REG,,Marist,MAAC,W,74,60,,1,2,W 1
4,Sat Nov 17 2012,REG,@,Elon,Southern,L,72,81,,1,3,L 1
5,Sun Nov 18 2012,REG,N,Coppin State,MEAC,W,88,84,,2,3,W 1
6,Wed Nov 21 2012,REG,@,Saint Francis (PA),NEC,W,85,76,,3,3,W 2
7,Sun Nov 25 2012,REG,@,Syracuse,Big East,L,51,87,,3,4,L 1
8,Sat Dec 1 2012,REG,@,Cornell,Ivy,L,63,70,,3,5,L 2
9,Wed Dec 5 2012,REG,@,Quinnipiac,NEC,L,56,67,,3,6,L 3
10,Sat Dec 8 2012,REG,,Albany (NY),AEC,L,61,67,,3,7,L 4
11,Tue Dec 18 2012,REG,@,Providence,Big East,L,45,79,,3,8,L 5
12,Sat Dec 22 2012,REG,@,St. Francis (NY),NEC,L,61,73,,3,9,L 6
13,Fri Dec 28 2012,REG,,Binghamton,AEC,W,74,47,,4,9,W 1
14,Sun Dec 30 2012,REG,,New Hampshire,AEC,W,65,63,,5,9,W 2
15,Wed Jan 2 2013,REG,@,Columbia,Ivy,L,59,66,,5,10,L 1
16,Sat Jan 5 2013,REG,@,Dartmouth,Ivy,W,78,62,,6,10,W 1
17,Sat Jan 12 2013,REG,,American,Patriot,L,63,72,,6,11,L 1
18,Wed Jan 16 2013,REG,,Bucknell,Patriot,L,59,73,,6,12,L 2
19,Sat Jan 19 2013,REG,@,Lehigh,Patriot,L,45,60,,6,13,L 3
20,Wed Jan 23 2013,REG,,Army,Patriot,W,93,90,OT,7,13,W 1
21,Sat Jan 26 2013,REG,@,Navy,Patriot,W,70,56,,8,13,W 2
22,Wed Jan 30 2013,REG,@,Lafayette,Patriot,L,40,69,,8,14,L 1
23,Sat Feb 2 2013,REG,,Holy Cross,Patriot,W,63,45,,9,14,W 1
24,Wed Feb 6 2013,REG,,NJIT,GWC,L,58,77,,9,15,L 1
25,Sat Feb 9 2013,REG,@,American,Patriot,L,55,70,,9,16,L 2
26,Wed Feb 13 2013,REG,@,Bucknell,Patriot,L,61,69,,9,17,L 3
27,Sat Feb 16 2013,REG,,Lehigh,Patriot,W,64,60,,10,17,W 1
28,Wed Feb 20 2013,REG,@,Army,Patriot,L,63,77,,10,18,L 1
29,Sun Feb 24 2013,REG,,Navy,Patriot,W,59,46,,11,18,W 1
30,Wed Feb 27 2013,REG,,Lafayette,Patriot,L,67,80,,11,19,L 1
31,Sat Mar 2 2013,REG,@,Holy Cross,Patriot,L,59,74,,11,20,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 6 2013,CTOURN,@,Lehigh,Patriot,L,64,71,,11,21,L 3
