G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Towson,CAA,W,75,58,,1,0,W 1
2,Thu Nov 15 2012,REG,,St. John's (NY),Big East,L,53,64,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Auburn,SEC,L,51,55,,1,2,L 2
4,Sun Nov 18 2012,REG,N,Boston College,ACC,W,71,67,,2,2,W 1
5,Sat Nov 24 2012,REG,@,Baylor,Big 12,W,63,59,,3,2,W 2
6,Wed Nov 28 2012,REG,@,Charleston Southern,Big South,W,72,67,,4,2,W 3
7,Sat Dec 1 2012,REG,@,Elon,Southern,W,56,54,,5,2,W 4
8,Tue Dec 4 2012,REG,,Louisville,Big East,L,38,80,,5,3,L 1
9,Thu Dec 13 2012,REG,,Anderson (SC),,L,49,65,,5,4,L 2
10,Tue Dec 18 2012,REG,,Old Dominion,CAA,W,76,65,,6,4,W 1
11,Sat Dec 22 2012,REG,,Coastal Carolina,Big South,W,60,51,,7,4,W 2
12,Sat Dec 29 2012,REG,@,Vermont,AEC,W,62,50,,8,4,W 3
13,Mon Dec 31 2012,REG,@,Marist,MAAC,W,85,75,,9,4,W 4
14,Sat Jan 5 2013,REG,,Furman,Southern,W,60,56,,10,4,W 5
15,Thu Jan 10 2013,REG,,Samford,Southern,L,57,62,,10,5,L 1
16,Sat Jan 12 2013,REG,,Chattanooga,Southern,W,86,59,,11,5,W 1
17,Mon Jan 14 2013,REG,@,Citadel,Southern,W,73,69,,12,5,W 2
18,Thu Jan 17 2013,REG,@,Georgia Southern,Southern,L,47,51,,12,6,L 1
19,Sat Jan 19 2013,REG,@,Davidson,Southern,L,68,77,,12,7,L 2
20,Thu Jan 24 2013,REG,,Citadel,Southern,W,69,54,,13,7,W 1
21,Sat Jan 26 2013,REG,@,Wofford,Southern,W,79,50,,14,7,W 2
22,Wed Jan 30 2013,REG,,Appalachian State,Southern,W,72,59,,15,7,W 3
23,Sat Feb 2 2013,REG,,North Carolina-Greensboro,Southern,W,81,59,,16,7,W 4
24,Thu Feb 7 2013,REG,@,Samford,Southern,W,69,65,,17,7,W 5
25,Sat Feb 9 2013,REG,@,Chattanooga,Southern,W,71,68,,18,7,W 6
26,Thu Feb 14 2013,REG,,Davidson,Southern,L,59,75,,18,8,L 1
27,Sat Feb 16 2013,REG,,Georgia Southern,Southern,W,69,60,,19,8,W 1
28,Wed Feb 20 2013,REG,@,Western Carolina,Southern,W,67,65,,20,8,W 2
29,Sat Feb 23 2013,REG,,Gardner-Webb,Big South,L,52,55,,20,9,L 1
30,Thu Feb 28 2013,REG,,Wofford,Southern,W,55,50,,21,9,W 1
31,Sat Mar 2 2013,REG,@,Furman,Southern,W,74,50,,22,9,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,Western Carolina,Southern,W,78,70,,23,9,W 3
33,Sun Mar 10 2013,CTOURN,N,Elon,Southern,W,68,60,,24,9,W 4
34,Mon Mar 11 2013,CTOURN,N,Davidson,Southern,L,55,74,,24,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Tue Mar 19 2013,CBI,,George Mason,CAA,L,77,78,,24,11,L 2
