G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Montana,Big Sky,W,72,65,,1,0,W 1
2,Thu Nov 15 2012,REG,,Chadron State,,W,93,50,,2,0,W 2
3,Wed Nov 21 2012,REG,@,Denver,WAC,W,60,53,,3,0,W 3
4,Sat Nov 24 2012,REG,@,Washington,Pac-12,W,73,55,,4,0,W 4
5,Mon Nov 26 2012,REG,,Northern Colorado,Big Sky,W,85,69,,5,0,W 5
6,Sat Dec 1 2012,REG,,Evansville,MVC,W,79,72,,6,0,W 6
7,Wed Dec 5 2012,REG,@,Colorado,Pac-12,L,61,70,,6,1,L 1
8,Sat Dec 8 2012,REG,@,Illinois-Chicago,Horizon,L,55,64,,6,2,L 2
9,Mon Dec 17 2012,REG,,North Florida,A-Sun,W,83,55,,7,2,W 1
10,Wed Dec 19 2012,REG,,Cal State Bakersfield,Ind,W,78,58,,8,2,W 2
11,Sat Dec 22 2012,REG,N,Portland,WCC,W,70,53,,9,2,W 3
12,Sun Dec 23 2012,REG,N,Virginia Tech,ACC,W,88,52,,10,2,W 4
13,Sat Dec 29 2012,REG,,Adams State,,W,80,55,,11,2,W 5
14,Wed Jan 2 2013,REG,,Texas-El Paso,CUSA,W,62,58,,12,2,W 6
15,Sat Jan 5 2013,REG,,St. Bonaventure,A-10,W,85,64,,13,2,W 7
16,Sat Jan 12 2013,REG,@,San Diego State,MWC,L,72,79,OT,13,3,L 1
17,Wed Jan 16 2013,REG,,Air Force,MWC,W,79,40,,14,3,W 1
18,Sat Jan 19 2013,REG,,Nevada-Las Vegas,MWC,W,66,61,,15,3,W 2
19,Wed Jan 23 2013,REG,@,New Mexico,MWC,L,61,66,,15,4,L 1
20,Sat Jan 26 2013,REG,@,Fresno State,MWC,W,74,63,,16,4,W 1
21,Wed Jan 30 2013,REG,,Boise State,MWC,W,77,57,,17,4,W 2
22,Sat Feb 2 2013,REG,,Wyoming,MWC,W,65,46,,18,4,W 3
23,Wed Feb 6 2013,REG,@,Nevada,MWC,W,73,69,,19,4,W 4
24,Wed Feb 13 2013,REG,,San Diego State,MWC,W,66,60,,20,4,W 5
25,Sat Feb 16 2013,REG,@,Air Force,MWC,W,89,86,,21,4,W 6
26,Wed Feb 20 2013,REG,@,Nevada-Las Vegas,MWC,L,59,61,,21,5,L 1
27,Sat Feb 23 2013,REG,,New Mexico,MWC,L,82,91,,21,6,L 2
28,Wed Feb 27 2013,REG,,Fresno State,MWC,W,74,67,,22,6,W 1
29,Sat Mar 2 2013,REG,@,Boise State,MWC,L,65,78,,22,7,L 1
30,Wed Mar 6 2013,REG,@,Wyoming,MWC,W,78,56,,23,7,W 1
31,Sat Mar 9 2013,REG,,Nevada,MWC,W,77,66,,24,7,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 13 2013,CTOURN,N,Fresno State,MWC,W,67,61,,25,7,W 3
33,Fri Mar 15 2013,CTOURN,N,Nevada-Las Vegas,MWC,L,65,75,,25,8,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Thu Mar 21 2013,NCAA,N,Missouri,SEC,W,84,72,,26,8,W 1
35,Sat Mar 23 2013,NCAA,N,Louisville,Big East,L,56,82,,26,9,L 1
