G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Wofford,Southern,W,74,59,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Dayton,A-10,W,67,57,,2,0,W 2
3,Fri Nov 16 2012,REG,N,Baylor,Big 12,W,60,58,,3,0,W 3
4,Sun Nov 18 2012,REG,N,Murray State,OVC,W,81,74,,4,0,W 4
5,Sun Nov 25 2012,REG,,Air Force,MWC,W,89,74,,5,0,W 5
6,Tue Nov 27 2012,REG,,Texas Southern,SWAC,W,85,80,2OT,6,0,W 6
7,Sat Dec 1 2012,REG,@,Wyoming,MWC,L,69,76,,6,1,L 1
8,Wed Dec 5 2012,REG,,Colorado State,MWC,W,70,61,,7,1,W 1
9,Sat Dec 8 2012,REG,@,Kansas,Big 12,L,54,90,,7,2,L 1
10,Wed Dec 12 2012,REG,@,Fresno State,MWC,W,50,43,,8,2,W 1
11,Fri Dec 21 2012,REG,,Northern Arizona,Big Sky,W,98,51,,9,2,W 2
12,Sat Dec 29 2012,REG,,Hartford,AEC,W,80,52,,10,2,W 3
13,Thu Jan 3 2013,REG,@,Arizona,Pac-12,L,83,92,OT,10,3,L 1
14,Sun Jan 6 2013,REG,@,Arizona State,Pac-12,L,56,65,,10,4,L 2
15,Thu Jan 10 2013,REG,,Southern California,Pac-12,W,66,60,,11,4,W 1
16,Sat Jan 12 2013,REG,,UCLA,Pac-12,L,75,78,,11,5,L 1
17,Wed Jan 16 2013,REG,@,Washington,Pac-12,L,54,64,,11,6,L 2
18,Sat Jan 19 2013,REG,@,Washington State,Pac-12,W,58,49,,12,6,W 1
19,Thu Jan 24 2013,REG,,Stanford,Pac-12,W,75,54,,13,6,W 2
20,Sun Jan 27 2013,REG,,California,Pac-12,W,81,71,,14,6,W 3
21,Sat Feb 2 2013,REG,@,Utah,Pac-12,L,55,58,,14,7,L 1
22,Thu Feb 7 2013,REG,@,Oregon,Pac-12,W,48,47,,15,7,W 1
23,Sun Feb 10 2013,REG,@,Oregon State,Pac-12,W,72,68,,16,7,W 2
24,Thu Feb 14 2013,REG,,Arizona,Pac-12,W,71,58,,17,7,W 3
25,Sat Feb 16 2013,REG,,Arizona State,Pac-12,L,62,63,OT,17,8,L 1
26,Thu Feb 21 2013,REG,,Utah,Pac-12,W,60,50,,18,8,W 1
27,Wed Feb 27 2013,REG,@,Stanford,Pac-12,W,65,63,,19,8,W 2
28,Sat Mar 2 2013,REG,@,California,Pac-12,L,46,62,,19,9,L 1
29,Thu Mar 7 2013,REG,,Oregon,Pac-12,W,76,53,,20,9,W 1
30,Sat Mar 9 2013,REG,,Oregon State,Pac-12,L,58,64,,20,10,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Wed Mar 13 2013,CTOURN,N,Oregon State,Pac-12,W,74,68,,21,10,W 1
32,Thu Mar 14 2013,CTOURN,N,Arizona,Pac-12,L,69,79,,21,11,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Fri Mar 22 2013,NCAA,N,Illinois,Big Ten,L,49,57,,21,12,L 2
