G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Furman,Southern,W,68,47,,1,0,W 1
2,Tue Nov 13 2012,REG,,Haverford,,W,74,40,,2,0,W 2
3,Sat Nov 17 2012,REG,,Marist,MAAC,L,62,67,,2,1,L 1
4,Tue Nov 20 2012,REG,@,Villanova,Big East,W,75,57,,3,1,W 1
5,Fri Nov 23 2012,REG,N,Wayland Baptist,,W,75,63,,4,1,W 2
6,Sat Nov 24 2012,REG,@,San Francisco,WCC,L,59,79,,4,2,L 1
7,Wed Nov 28 2012,REG,@,Long Island University,NEC,L,61,70,,4,3,L 2
8,Sat Dec 1 2012,REG,,Bucknell,Patriot,L,57,65,,4,4,L 3
9,Sun Dec 9 2012,REG,@,American,Patriot,W,54,42,,5,4,W 1
10,Sat Dec 22 2012,REG,,Elon,Southern,L,69,70,,5,5,L 1
11,Sat Dec 29 2012,REG,,Manhattan,MAAC,W,69,58,,6,5,W 1
12,Wed Jan 2 2013,REG,,Colgate,Patriot,W,66,59,,7,5,W 2
13,Sat Jan 5 2013,REG,@,Army,Patriot,W,64,52,,8,5,W 3
14,Tue Jan 8 2013,REG,@,Holy Cross,Patriot,L,69,78,,8,6,L 1
15,Sat Jan 19 2013,REG,@,Cornell,Ivy,W,67,58,,9,6,W 1
16,Sat Jan 26 2013,REG,,Cornell,Ivy,L,63,66,,9,7,L 1
17,Fri Feb 1 2013,REG,@,Pennsylvania,Ivy,L,58,62,,9,8,L 2
18,Sat Feb 2 2013,REG,@,Princeton,Ivy,L,66,72,,9,9,L 3
19,Fri Feb 8 2013,REG,,Dartmouth,Ivy,L,57,60,,9,10,L 4
20,Sun Feb 10 2013,REG,,Harvard,Ivy,W,78,63,,10,10,W 1
21,Fri Feb 15 2013,REG,@,Brown,Ivy,L,55,58,,10,11,L 1
22,Sat Feb 16 2013,REG,@,Yale,Ivy,L,56,75,,10,12,L 2
23,Fri Feb 22 2013,REG,,Princeton,Ivy,L,40,65,,10,13,L 3
24,Sat Feb 23 2013,REG,,Pennsylvania,Ivy,W,58,41,,11,13,W 1
25,Fri Mar 1 2013,REG,,Yale,Ivy,W,59,46,,12,13,W 2
26,Sat Mar 2 2013,REG,,Brown,Ivy,L,58,61,,12,14,L 1
27,Fri Mar 8 2013,REG,@,Harvard,Ivy,L,51,56,,12,15,L 2
28,Sat Mar 9 2013,REG,@,Dartmouth,Ivy,L,58,64,,12,16,L 3
