G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,N,Michigan State,Big Ten,W,66,62,,1,0,W 1
2,Tue Nov 13 2012,REG,,Vermont,AEC,W,67,49,,2,0,W 2
3,Fri Nov 16 2012,REG,N,Wake Forest,ACC,W,77,71,,3,0,W 3
4,Sun Nov 18 2012,REG,N,Quinnipiac,NEC,W,89,83,2OT,4,0,W 4
5,Mon Nov 19 2012,REG,N,New Mexico,MWC,L,60,66,,4,1,L 1
6,Sun Nov 25 2012,REG,,Stony Brook,AEC,W,73,62,,5,1,W 1
7,Thu Nov 29 2012,REG,,New Hampshire,AEC,W,61,53,,6,1,W 2
8,Tue Dec 4 2012,REG,N,North Carolina State,ACC,L,65,69,,6,2,L 1
9,Fri Dec 7 2012,REG,,Harvard,Ivy,W,57,49,,7,2,W 1
10,Mon Dec 17 2012,REG,,Maryland-Eastern Shore,MEAC,W,84,50,,8,2,W 2
11,Fri Dec 21 2012,REG,,Fordham,A-10,W,88,73,,9,2,W 3
12,Sat Dec 29 2012,REG,,Washington,Pac-12,W,61,53,,10,2,W 4
13,Tue Jan 1 2013,REG,@,Marquette,Big East,L,76,82,OT,10,3,L 1
14,Tue Jan 8 2013,REG,,DePaul,Big East,W,99,78,,11,3,W 1
15,Sat Jan 12 2013,REG,@,Notre Dame,Big East,W,65,58,,12,3,W 2
16,Mon Jan 14 2013,REG,,Louisville,Big East,L,58,73,,12,4,L 1
17,Sat Jan 19 2013,REG,@,Pittsburgh,Big East,L,61,69,,12,5,L 2
18,Sun Jan 27 2013,REG,,Rutgers,Big East,W,66,54,,13,5,W 1
19,Thu Jan 31 2013,REG,@,Providence,Big East,W,82,79,OT,14,5,W 2
20,Sun Feb 3 2013,REG,,South Florida,Big East,W,69,64,OT,15,5,W 3
21,Wed Feb 6 2013,REG,@,St. John's (NY),Big East,L,65,71,,15,6,L 1
22,Sun Feb 10 2013,REG,@,Seton Hall,Big East,W,78,67,,16,6,W 1
23,Wed Feb 13 2013,REG,,Syracuse,Big East,W,66,58,,17,6,W 2
24,Sat Feb 16 2013,REG,,Villanova,Big East,L,61,70,,17,7,L 1
25,Thu Feb 21 2013,REG,,Cincinnati,Big East,W,73,66,OT,18,7,W 1
26,Sat Feb 23 2013,REG,@,DePaul,Big East,W,81,69,,19,7,W 2
27,Wed Feb 27 2013,REG,,Georgetown,Big East,L,78,79,2OT,19,8,L 1
28,Sat Mar 2 2013,REG,@,Cincinnati,Big East,L,56,61,,19,9,L 2
29,Wed Mar 6 2013,REG,@,South Florida,Big East,L,51,65,,19,10,L 3
30,Sat Mar 9 2013,REG,,Providence,Big East,W,63,59,OT,20,10,W 1
