G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Southern California,Pac-12,L,73,87,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Texas,Big 12,L,46,69,,0,2,L 2
3,Sat Nov 17 2012,REG,@,Florida Atlantic,Sun Belt,L,61,64,,0,3,L 3
4,Sun Nov 18 2012,REG,N,Colgate,Patriot,L,84,88,,0,4,L 4
5,Sat Nov 24 2012,REG,,Cheyney,,W,98,78,,1,4,W 1
6,Wed Nov 28 2012,REG,,Loyola (MD),MAAC,L,51,67,,1,5,L 1
7,Sat Dec 1 2012,REG,@,Indiana,Big Ten,L,51,87,,1,6,L 2
8,Tue Dec 4 2012,REG,,Saint Joseph's,A-10,L,55,67,,1,7,L 3
9,Sat Dec 8 2012,REG,@,Marshall,CUSA,L,63,69,,1,8,L 4
10,Wed Dec 12 2012,REG,@,Maryland-Baltimore County,AEC,W,80,61,,2,8,W 1
11,Sat Dec 15 2012,REG,@,Wagner,NEC,L,65,77,OT,2,9,L 1
12,Wed Dec 19 2012,REG,@,Towson,CAA,W,64,61,,3,9,W 1
13,Sat Dec 22 2012,REG,@,Iowa,Big Ten,L,50,80,,3,10,L 1
14,Sat Dec 29 2012,REG,@,Arizona State,Pac-12,L,52,68,,3,11,L 2
15,Wed Jan 2 2013,REG,@,Akron,MAC,L,63,91,,3,12,L 3
16,Sat Jan 5 2013,REG,,Howard,MEAC,L,60,70,,3,13,L 4
17,Sat Jan 12 2013,REG,,Savannah State,MEAC,L,48,56,,3,14,L 5
18,Mon Jan 14 2013,REG,,South Carolina State,MEAC,W,79,58,,4,14,W 1
19,Sat Jan 19 2013,REG,@,Norfolk State,MEAC,L,68,75,,4,15,L 1
20,Mon Jan 21 2013,REG,@,Hampton,MEAC,W,67,65,OT,5,15,W 1
21,Sat Jan 26 2013,REG,@,North Carolina Central,MEAC,L,75,84,,5,16,L 1
22,Mon Jan 28 2013,REG,@,North Carolina A&T,MEAC,L,62,63,,5,17,L 2
23,Sat Feb 2 2013,REG,,Norfolk State,MEAC,L,70,80,,5,18,L 3
24,Mon Feb 4 2013,REG,,Hampton,MEAC,L,53,59,,5,19,L 4
25,Sat Feb 9 2013,REG,,Morgan State,MEAC,L,51,80,,5,20,L 5
26,Sat Feb 16 2013,REG,@,Delaware State,MEAC,L,43,57,,5,21,L 6
27,Mon Feb 18 2013,REG,@,Maryland-Eastern Shore,MEAC,L,62,64,2OT,5,22,L 7
28,Sat Feb 23 2013,REG,@,Howard,MEAC,W,63,56,,6,22,W 1
29,Wed Feb 27 2013,REG,@,Morgan State,MEAC,L,68,86,,6,23,L 1
30,Mon Mar 4 2013,REG,,Maryland-Eastern Shore,MEAC,W,63,60,,7,23,W 1
31,Thu Mar 7 2013,REG,,Bethune-Cookman,MEAC,W,69,61,,8,23,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Tue Mar 12 2013,CTOURN,N,Bethune-Cookman,MEAC,L,78,89,,8,24,L 1
