G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Western Michigan,MAC,W,63,55,,1,0,W 1
2,Wed Nov 14 2012,REG,,St. Bonaventure,A-10,L,68,72,,1,1,L 1
3,Fri Nov 16 2012,REG,,Saint Peter's,MAAC,L,64,68,,1,2,L 2
4,Sun Nov 18 2012,REG,@,Wisconsin,Big Ten,L,40,73,,1,3,L 3
5,Tue Nov 20 2012,REG,@,Arizona State,Pac-12,L,53,64,,1,4,L 4
6,Fri Nov 23 2012,REG,N,Presbyterian,Big South,W,89,55,,2,4,W 1
7,Sat Nov 24 2012,REG,N,Longwood,Big South,W,84,78,,3,4,W 2
8,Wed Nov 28 2012,REG,,Stony Brook,AEC,L,53,76,,3,5,L 1
9,Sat Dec 1 2012,REG,,Colgate,Patriot,W,70,63,,4,5,W 1
10,Mon Dec 17 2012,REG,@,Vanderbilt,SEC,L,55,66,,4,6,L 1
11,Wed Dec 19 2012,REG,@,Duke,ACC,L,47,88,,4,7,L 2
12,Sat Dec 22 2012,REG,@,Boston University,AEC,L,57,70,,4,8,L 3
13,Fri Dec 28 2012,REG,@,Saint Francis (PA),NEC,W,79,67,,5,8,W 1
14,Sun Dec 30 2012,REG,@,Binghamton,AEC,W,79,77,,6,8,W 2
15,Wed Jan 2 2013,REG,,Bucknell,Patriot,L,56,72,,6,9,L 1
16,Sun Jan 6 2013,REG,@,American,Patriot,W,68,60,,7,9,W 1
17,Sat Jan 12 2013,REG,,Old Westbury,,W,103,84,,8,9,W 2
18,Sat Jan 19 2013,REG,,Columbia,Ivy,L,58,67,,8,10,L 1
19,Sat Jan 26 2013,REG,@,Columbia,Ivy,W,66,63,,9,10,W 1
20,Fri Feb 1 2013,REG,@,Princeton,Ivy,L,59,76,,9,11,L 1
21,Sat Feb 2 2013,REG,@,Pennsylvania,Ivy,W,71,69,,10,11,W 1
22,Fri Feb 8 2013,REG,,Harvard,Ivy,L,65,67,,10,12,L 1
23,Sun Feb 10 2013,REG,,Dartmouth,Ivy,W,79,56,,11,12,W 1
24,Fri Feb 15 2013,REG,@,Yale,Ivy,W,68,61,,12,12,W 2
25,Sat Feb 16 2013,REG,@,Brown,Ivy,W,69,66,,13,12,W 3
26,Fri Feb 22 2013,REG,,Pennsylvania,Ivy,L,71,79,,13,13,L 1
27,Sat Feb 23 2013,REG,,Princeton,Ivy,L,53,72,,13,14,L 2
28,Fri Mar 1 2013,REG,,Brown,Ivy,L,65,84,,13,15,L 3
29,Sat Mar 2 2013,REG,,Yale,Ivy,L,70,79,,13,16,L 4
30,Fri Mar 8 2013,REG,@,Dartmouth,Ivy,L,62,76,,13,17,L 5
31,Sat Mar 9 2013,REG,@,Harvard,Ivy,L,56,65,,13,18,L 6
