G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,North Texas,Sun Belt,W,71,51,,1,0,W 1
2,Wed Nov 14 2012,REG,,Alabama-Birmingham,CUSA,W,77,60,,2,0,W 2
3,Sun Nov 18 2012,REG,,Presbyterian,Big South,W,87,58,,3,0,W 3
4,Tue Nov 20 2012,REG,,Longwood,Big South,W,105,57,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Wisconsin,Big Ten,W,84,74,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Arizona State,Pac-12,W,87,73,,6,0,W 6
7,Wed Nov 28 2012,REG,,Boise State,MWC,L,70,83,,6,1,L 1
8,Sat Dec 1 2012,REG,,Saint Joseph's,A-10,W,80,51,,7,1,W 1
9,Thu Dec 6 2012,REG,@,Nebraska,Big Ten,W,64,42,,8,1,W 2
10,Sun Dec 9 2012,REG,,Akron,MAC,W,77,61,,9,1,W 3
11,Sat Dec 15 2012,REG,@,California,Pac-12,W,74,64,,10,1,W 4
12,Wed Dec 19 2012,REG,,Tulsa,CUSA,W,71,54,,11,1,W 5
13,Sat Dec 29 2012,REG,,Evansville,MVC,W,87,70,,12,1,W 6
14,Wed Jan 2 2013,REG,@,Illinois State,MVC,W,79,72,,13,1,W 7
15,Sat Jan 5 2013,REG,,Indiana State,MVC,W,79,66,,14,1,W 8
16,Tue Jan 8 2013,REG,,Drake,MVC,W,91,61,,15,1,W 9
17,Fri Jan 11 2013,REG,@,Missouri State,MVC,W,74,52,,16,1,W 10
18,Tue Jan 15 2013,REG,,Northern Iowa,MVC,W,79,68,,17,1,W 11
19,Sat Jan 19 2013,REG,@,Wichita State,MVC,L,64,67,,17,2,L 1
20,Wed Jan 23 2013,REG,@,Drake,MVC,L,69,74,,17,3,L 2
21,Sun Jan 27 2013,REG,@,Southern Illinois,MVC,W,81,51,,18,3,W 1
22,Wed Jan 30 2013,REG,,Missouri State,MVC,W,91,77,,19,3,W 2
23,Sat Feb 2 2013,REG,,Bradley,MVC,W,75,58,,20,3,W 3
24,Wed Feb 6 2013,REG,@,Indiana State,MVC,L,57,76,,20,4,L 1
25,Sat Feb 9 2013,REG,,Illinois State,MVC,L,72,75,,20,5,L 2
26,Wed Feb 13 2013,REG,@,Northern Iowa,MVC,L,54,61,,20,6,L 3
27,Sat Feb 16 2013,REG,@,Evansville,MVC,W,71,68,,21,6,W 1
28,Tue Feb 19 2013,REG,,Southern Illinois,MVC,W,59,45,,22,6,W 2
29,Sat Feb 23 2013,REG,@,Saint Mary's (CA),WCC,L,66,74,,22,7,L 1
30,Wed Feb 27 2013,REG,@,Bradley,MVC,W,80,62,,23,7,W 1
31,Sat Mar 2 2013,REG,,Wichita State,MVC,W,91,79,,24,7,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Drake,MVC,W,65,53,,25,7,W 3
33,Sat Mar 9 2013,CTOURN,N,Indiana State,MVC,W,64,43,,26,7,W 4
34,Sun Mar 10 2013,CTOURN,N,Wichita State,MVC,W,68,65,,27,7,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Cincinnati,Big East,W,67,63,,28,7,W 6
36,Sun Mar 24 2013,NCAA,N,Duke,ACC,L,50,66,,28,8,L 1
