G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Maine,AEC,W,67,54,,1,0,W 1
2,Tue Nov 13 2012,REG,,New Hampshire,AEC,L,58,72,,1,1,L 1
3,Sat Nov 24 2012,REG,,IPFW,Summit,L,66,70,,1,2,L 2
4,Tue Nov 27 2012,REG,@,Bucknell,Patriot,L,49,62,,1,3,L 3
5,Sat Dec 1 2012,REG,@,Longwood,Big South,W,61,53,,2,3,W 1
6,Tue Dec 4 2012,REG,@,Elon,Southern,L,49,71,,2,4,L 1
7,Sat Dec 8 2012,REG,@,Holy Cross,Patriot,L,56,67,,2,5,L 2
8,Wed Dec 12 2012,REG,@,Vermont,AEC,L,50,52,,2,6,L 3
9,Sat Dec 15 2012,REG,@,Arizona State,Pac-12,L,42,61,,2,7,L 4
10,Sat Dec 22 2012,REG,@,Bryant,NEC,L,66,79,,2,8,L 5
11,Mon Dec 31 2012,REG,@,Boston College,ACC,L,58,79,,2,9,L 6
12,Sat Jan 5 2013,REG,,Colgate,Patriot,L,62,78,,2,10,L 7
13,Tue Jan 8 2013,REG,,Army,Patriot,W,75,58,,3,10,W 1
14,Sat Jan 12 2013,REG,,Harvard,Ivy,L,65,75,,3,11,L 1
15,Thu Jan 17 2013,REG,,Colby-Sawyer,,W,80,42,,4,11,W 1
16,Sat Jan 26 2013,REG,@,Harvard,Ivy,L,77,82,OT,4,12,L 1
17,Fri Feb 1 2013,REG,,Brown,Ivy,L,50,62,,4,13,L 2
18,Sat Feb 2 2013,REG,,Yale,Ivy,W,71,62,,5,13,W 1
19,Fri Feb 8 2013,REG,@,Columbia,Ivy,W,60,57,,6,13,W 2
20,Sun Feb 10 2013,REG,@,Cornell,Ivy,L,56,79,,6,14,L 1
21,Fri Feb 15 2013,REG,,Princeton,Ivy,L,55,73,,6,15,L 2
22,Sat Feb 16 2013,REG,,Pennsylvania,Ivy,L,57,67,,6,16,L 3
23,Fri Feb 22 2013,REG,@,Yale,Ivy,L,67,78,,6,17,L 4
24,Sat Feb 23 2013,REG,@,Brown,Ivy,L,50,59,,6,18,L 5
25,Fri Mar 1 2013,REG,@,Pennsylvania,Ivy,W,69,64,,7,18,W 1
26,Sat Mar 2 2013,REG,@,Princeton,Ivy,L,63,68,,7,19,L 1
27,Fri Mar 8 2013,REG,,Cornell,Ivy,W,76,62,,8,19,W 1
28,Sat Mar 9 2013,REG,,Columbia,Ivy,W,64,58,,9,19,W 2
