G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Arkansas State,Sun Belt,W,74,61,,1,0,W 1
2,Thu Nov 15 2012,REG,N,Colorado,Pac-12,L,57,67,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Boston College,ACC,W,87,71,,2,1,W 1
4,Sun Nov 18 2012,REG,N,Auburn,SEC,W,73,63,,3,1,W 2
5,Sat Nov 24 2012,REG,,Manhattan,MAAC,W,66,58,,4,1,W 3
6,Wed Nov 28 2012,REG,,Weber State,Big Sky,L,61,62,,4,2,L 1
7,Sat Dec 1 2012,REG,,Northern Illinois,MAC,W,60,43,,5,2,W 1
8,Wed Dec 5 2012,REG,@,Alabama,SEC,W,81,76,,6,2,W 2
9,Sat Dec 8 2012,REG,,Miami (OH),MAC,W,83,61,,7,2,W 3
10,Sat Dec 15 2012,REG,,Florida Atlantic,Sun Belt,W,81,56,,8,2,W 4
11,Wed Dec 19 2012,REG,,Illinois State,MVC,L,73,74,,8,3,L 1
12,Sat Dec 22 2012,REG,,Murray State,OVC,W,77,68,,9,3,W 1
13,Sun Dec 30 2012,REG,@,Southern California,Pac-12,L,61,63,OT,9,4,L 1
14,Sat Jan 5 2013,REG,,Alabama-Birmingham,CUSA,W,78,71,,10,4,W 1
15,Wed Jan 9 2013,REG,@,Virginia Commonwealth,A-10,L,62,74,,10,5,L 1
16,Sat Jan 12 2013,REG,,Butler,A-10,L,73,79,,10,6,L 2
17,Wed Jan 16 2013,REG,@,La Salle,A-10,L,70,72,,10,7,L 3
18,Wed Jan 23 2013,REG,,Fordham,A-10,W,96,51,,11,7,W 1
19,Sat Jan 26 2013,REG,,Duquesne,A-10,W,72,56,,12,7,W 2
20,Wed Jan 30 2013,REG,@,Xavier,A-10,L,61,66,,12,8,L 1
21,Sat Feb 2 2013,REG,@,Saint Louis,A-10,L,52,81,,12,9,L 2
22,Wed Feb 6 2013,REG,,Saint Joseph's,A-10,W,60,54,,13,9,W 1
23,Sat Feb 9 2013,REG,,Temple,A-10,L,71,72,,13,10,L 1
24,Wed Feb 13 2013,REG,@,Rhode Island,A-10,L,72,75,,13,11,L 2
25,Sat Feb 16 2013,REG,,Xavier,A-10,W,70,59,,14,11,W 1
26,Sat Feb 23 2013,REG,@,Massachusetts,A-10,L,66,76,,14,12,L 1
27,Wed Feb 27 2013,REG,@,Charlotte,A-10,W,88,67,,15,12,W 1
28,Sat Mar 2 2013,REG,,Richmond,A-10,W,78,74,,16,12,W 2
29,Wed Mar 6 2013,REG,,St. Bonaventure,A-10,W,75,63,,17,12,W 3
30,Sat Mar 9 2013,REG,@,George Washington,A-10,L,80,81,OT,17,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 14 2013,CTOURN,N,Butler,A-10,L,67,73,,17,14,L 2
