G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Gwynedd-Mercy,,W,74,56,,1,0,W 1
2,Mon Nov 12 2012,REG,,Cairn,,W,95,46,,2,0,W 2
3,Wed Nov 14 2012,REG,,Wagner,NEC,W,73,69,OT,3,0,W 3
4,Sun Nov 18 2012,REG,@,Illinois State,MVC,L,48,87,,3,1,L 1
5,Tue Nov 20 2012,REG,@,Northwestern,Big Ten,L,50,69,,3,2,L 2
6,Fri Nov 23 2012,REG,N,Fairleigh Dickinson,NEC,L,62,63,,3,3,L 3
7,Sat Nov 24 2012,REG,N,Navy,Patriot,L,53,63,,3,4,L 4
8,Wed Nov 28 2012,REG,@,Eastern Kentucky,OVC,L,51,84,,3,5,L 5
9,Sat Dec 1 2012,REG,,Maryland-Eastern Shore,MEAC,W,76,66,,4,5,W 1
10,Sat Dec 8 2012,REG,@,Delaware,CAA,W,73,67,OT,5,5,W 2
11,Sat Dec 15 2012,REG,@,Penn State,Big Ten,L,76,80,OT,5,6,L 1
12,Wed Dec 19 2012,REG,@,Pittsburgh,Big East,L,43,71,,5,7,L 2
13,Sat Dec 29 2012,REG,@,Maryland,ACC,L,50,79,,5,8,L 3
14,Wed Jan 2 2013,REG,@,Marshall,CUSA,W,53,51,,6,8,W 1
15,Sat Jan 5 2013,REG,@,Arkansas,SEC,L,51,86,,6,9,L 1
16,Sat Jan 19 2013,REG,@,Maryland-Eastern Shore,MEAC,L,53,58,,6,10,L 2
17,Wed Jan 23 2013,REG,,Howard,MEAC,W,63,46,,7,10,W 1
18,Sat Jan 26 2013,REG,@,Bethune-Cookman,MEAC,W,68,52,,8,10,W 2
19,Mon Jan 28 2013,REG,@,Florida A&M,MEAC,W,57,48,,9,10,W 3
20,Sat Feb 2 2013,REG,,North Carolina Central,MEAC,L,43,54,,9,11,L 1
21,Mon Feb 4 2013,REG,,North Carolina A&T,MEAC,W,53,44,,10,11,W 1
22,Sat Feb 9 2013,REG,@,Norfolk State,MEAC,L,56,74,,10,12,L 1
23,Mon Feb 11 2013,REG,@,Hampton,MEAC,L,84,85,2OT,10,13,L 2
24,Sat Feb 16 2013,REG,,Coppin State,MEAC,W,57,43,,11,13,W 1
25,Mon Feb 18 2013,REG,,Morgan State,MEAC,W,52,50,,12,13,W 2
26,Sat Feb 23 2013,REG,,Norfolk State,MEAC,L,56,60,,12,14,L 1
27,Mon Feb 25 2013,REG,,Hampton,MEAC,L,50,57,,12,15,L 2
28,Sat Mar 2 2013,REG,@,Howard,MEAC,W,56,53,,13,15,W 1
29,Mon Mar 4 2013,REG,@,Morgan State,MEAC,L,47,66,,13,16,L 1
30,Thu Mar 7 2013,REG,@,South Carolina State,MEAC,L,60,62,,13,17,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 12 2013,CTOURN,N,Howard,MEAC,W,73,61,,14,17,W 1
32,Thu Mar 14 2013,CTOURN,N,Hampton,MEAC,W,63,60,,15,17,W 2
33,Fri Mar 15 2013,CTOURN,N,North Carolina A&T,MEAC,L,78,84,,15,18,L 1
