G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,La Salle,A-10,L,66,73,,0,1,L 1
2,Mon Nov 12 2012,REG,N,Pennsylvania,Ivy,W,84,69,,1,1,W 1
3,Tue Nov 13 2012,REG,@,Virginia,ACC,W,59,53,,2,1,W 2
4,Wed Nov 21 2012,REG,N,Kansas State,Big 12,L,63,66,,2,2,L 1
5,Fri Nov 23 2012,REG,N,Pittsburgh,Big East,L,59,85,,2,3,L 2
6,Sun Nov 25 2012,REG,@,Temple,A-10,L,75,80,,2,4,L 3
7,Wed Nov 28 2012,REG,@,Lafayette,Patriot,L,60,63,,2,5,L 4
8,Sat Dec 1 2012,REG,@,Duke,ACC,L,50,88,,2,6,L 5
9,Tue Dec 4 2012,REG,,Radford,Big South,W,68,59,,3,6,W 1
10,Sat Dec 8 2012,REG,,Delaware State,MEAC,L,67,73,OT,3,7,L 1
11,Sun Dec 16 2012,REG,@,Villanova,Big East,L,65,75,,3,8,L 2
12,Fri Dec 21 2012,REG,,Pennsylvania,Ivy,W,83,60,,4,8,W 1
13,Mon Dec 31 2012,REG,,Rider,MAAC,W,73,66,,5,8,W 2
14,Sat Jan 5 2013,REG,@,Old Dominion,CAA,W,84,72,,6,8,W 3
15,Wed Jan 9 2013,REG,,Hofstra,CAA,W,69,54,,7,8,W 4
16,Sat Jan 12 2013,REG,@,Georgia State,CAA,W,86,83,,8,8,W 5
17,Wed Jan 16 2013,REG,,Towson,CAA,L,66,69,,8,9,L 1
18,Sat Jan 19 2013,REG,,Northeastern,CAA,L,70,74,,8,10,L 2
19,Wed Jan 23 2013,REG,@,James Madison,CAA,L,50,64,,8,11,L 3
20,Mon Jan 28 2013,REG,@,Drexel,CAA,W,66,64,,9,11,W 1
21,Wed Jan 30 2013,REG,,William & Mary,CAA,W,66,56,,10,11,W 2
22,Sat Feb 2 2013,REG,,North Carolina-Wilmington,CAA,W,71,56,,11,11,W 3
23,Wed Feb 6 2013,REG,@,Towson,CAA,L,65,85,,11,12,L 1
24,Sat Feb 9 2013,REG,@,George Mason,CAA,W,79,72,,12,12,W 1
25,Mon Feb 11 2013,REG,,Old Dominion,CAA,W,75,73,,13,12,W 2
26,Wed Feb 13 2013,REG,@,Northeastern,CAA,W,76,74,OT,14,12,W 3
27,Sun Feb 17 2013,REG,,James Madison,CAA,L,71,72,,14,13,L 1
28,Thu Feb 21 2013,REG,,Drexel,CAA,W,73,71,2OT,15,13,W 1
29,Sat Feb 23 2013,REG,@,North Carolina-Wilmington,CAA,W,79,78,,16,13,W 2
30,Wed Feb 27 2013,REG,@,Hofstra,CAA,W,57,56,,17,13,W 3
31,Sat Mar 2 2013,REG,,George Mason,CAA,W,82,77,,18,13,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,Hofstra,CAA,W,62,57,,19,13,W 5
33,Sun Mar 10 2013,CTOURN,N,James Madison,CAA,L,57,58,,19,14,L 1
