G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Iona,MAAC,L,58,65,,0,1,L 1
2,Wed Nov 14 2012,REG,,Texas A&M-Corpus Christi,Southland,W,68,51,,1,1,W 1
3,Fri Nov 16 2012,REG,,California,Pac-12,L,61,72,,1,2,L 1
4,Wed Nov 21 2012,REG,,Colorado State,MWC,L,53,60,,1,3,L 2
5,Tue Nov 27 2012,REG,@,Southern Mississippi,CUSA,L,50,61,,1,4,L 3
6,Sun Dec 2 2012,REG,@,Stanford,Pac-12,L,58,71,,1,5,L 4
7,Wed Dec 5 2012,REG,,Mercer,A-Sun,W,69,40,,2,5,W 1
8,Sat Dec 15 2012,REG,,Nebraska-Omaha,Summit,W,82,47,,3,5,W 2
9,Tue Dec 18 2012,REG,@,Wyoming,MWC,L,61,71,,3,6,L 1
10,Fri Dec 21 2012,REG,,Southern Utah,Big Sky,W,72,47,,4,6,W 1
11,Sat Dec 29 2012,REG,@,Louisiana Tech,WAC,L,60,68,,4,7,L 1
12,Mon Dec 31 2012,REG,@,Texas-Arlington,WAC,W,50,35,,5,7,W 1
13,Thu Jan 3 2013,REG,,Texas State,WAC,W,64,53,,6,7,W 2
14,Sun Jan 6 2013,REG,,Texas-San Antonio,WAC,W,75,50,,7,7,W 3
15,Thu Jan 10 2013,REG,@,Idaho,WAC,W,55,49,,8,7,W 4
16,Sat Jan 12 2013,REG,@,Seattle,WAC,W,64,51,,9,7,W 5
17,Thu Jan 17 2013,REG,,San Jose State,WAC,W,73,37,,10,7,W 6
18,Sat Jan 19 2013,REG,,Utah State,WAC,W,68,57,,11,7,W 7
19,Wed Jan 23 2013,REG,@,New Mexico State,WAC,L,42,53,,11,8,L 1
20,Thu Jan 31 2013,REG,@,Texas-San Antonio,WAC,W,71,57,,12,8,W 1
21,Sat Feb 2 2013,REG,@,Texas State,WAC,W,79,64,,13,8,W 2
22,Thu Feb 7 2013,REG,,Seattle,WAC,W,72,55,,14,8,W 3
23,Sat Feb 9 2013,REG,,Idaho,WAC,W,74,58,,15,8,W 4
24,Thu Feb 14 2013,REG,@,Utah State,WAC,W,63,60,OT,16,8,W 5
25,Sat Feb 16 2013,REG,@,San Jose State,WAC,W,62,41,,17,8,W 6
26,Sat Feb 23 2013,REG,@,Northern Iowa,MVC,W,63,57,,18,8,W 7
27,Sat Mar 2 2013,REG,,New Mexico State,WAC,W,66,60,,19,8,W 8
28,Thu Mar 7 2013,REG,,Texas-Arlington,WAC,W,84,55,,20,8,W 9
29,Sat Mar 9 2013,REG,,Louisiana Tech,WAC,W,78,54,,21,8,W 10
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,Texas State,WAC,L,68,72,,21,9,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Tue Mar 19 2013,NIT,,Ohio,MAC,W,61,57,,22,9,W 1
32,Thu Mar 21 2013,NIT,@,Maryland,ACC,L,52,62,,22,10,L 1
