G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Northern Michigan,,W,88,53,,1,0,W 1
2,Tue Nov 13 2012,REG,@,St. John's (NY),Big East,L,74,77,,1,1,L 1
3,Sat Nov 17 2012,REG,,Drake,MVC,W,85,79,,2,1,W 1
4,Sat Nov 24 2012,REG,@,Miami (FL),ACC,L,62,77,,2,2,L 1
5,Tue Nov 27 2012,REG,@,Bowling Green State,MAC,L,65,70,,2,3,L 2
6,Sat Dec 1 2012,REG,@,Pittsburgh,Big East,L,61,74,,2,4,L 3
7,Wed Dec 5 2012,REG,,Toledo,MAC,W,79,73,,3,4,W 1
8,Sat Dec 8 2012,REG,,Rochester (MI),,W,102,67,,4,4,W 2
9,Mon Dec 10 2012,REG,,Alabama State,SWAC,W,81,68,,5,4,W 3
10,Sat Dec 15 2012,REG,,Akron,MAC,W,80,73,,6,4,W 4
11,Mon Dec 17 2012,REG,@,Syracuse,Big East,L,68,72,,6,5,L 1
12,Wed Dec 19 2012,REG,@,Alcorn State,SWAC,W,74,58,,7,5,W 1
13,Sun Dec 30 2012,REG,,Canisius,MAAC,W,83,78,,8,5,W 2
14,Thu Jan 3 2013,REG,,Milwaukee,Horizon,W,74,59,,9,5,W 3
15,Sat Jan 5 2013,REG,,Green Bay,Horizon,W,84,76,,10,5,W 4
16,Thu Jan 10 2013,REG,@,Youngstown State,Horizon,W,101,60,,11,5,W 5
17,Sat Jan 12 2013,REG,@,Cleveland State,Horizon,L,62,74,,11,6,L 1
18,Thu Jan 17 2013,REG,,Valparaiso,Horizon,L,88,89,,11,7,L 2
19,Sat Jan 19 2013,REG,,Illinois-Chicago,Horizon,W,98,47,,12,7,W 1
20,Mon Jan 21 2013,REG,,Wright State,Horizon,L,62,64,,12,8,L 1
21,Sat Jan 26 2013,REG,@,Loyola (IL),Horizon,W,75,63,,13,8,W 1
22,Wed Jan 30 2013,REG,@,Wright State,Horizon,W,83,76,,14,8,W 2
23,Fri Feb 1 2013,REG,,Youngstown State,Horizon,W,88,77,,15,8,W 3
24,Thu Feb 7 2013,REG,@,Milwaukee,Horizon,W,82,74,,16,8,W 4
25,Sat Feb 9 2013,REG,@,Green Bay,Horizon,L,59,68,,16,9,L 1
26,Tue Feb 12 2013,REG,,Cleveland State,Horizon,W,92,62,,17,9,W 1
27,Sat Feb 16 2013,REG,@,Valparaiso,Horizon,W,84,74,,18,9,W 2
28,Sat Feb 23 2013,REG,@,Wichita State,MVC,L,79,94,,18,10,L 1
29,Tue Feb 26 2013,REG,,Loyola (IL),Horizon,W,76,75,,19,10,W 1
30,Thu Feb 28 2013,REG,@,Temple,A-10,L,78,83,,19,11,L 1
31,Sat Mar 2 2013,REG,@,Illinois-Chicago,Horizon,W,79,67,,20,11,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Sat Mar 9 2013,CTOURN,N,Wright State,Horizon,L,54,56,,20,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Wed Mar 20 2013,NIT,@,Arizona State,Pac-12,L,68,83,,20,13,L 2
