G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,William Jewell,,W,96,66,,1,0,W 1
2,Sat Nov 17 2012,REG,@,Detroit Mercy,Horizon,L,79,85,,1,1,L 1
3,Thu Nov 22 2012,REG,N,California,Pac-12,L,70,73,,1,2,L 2
4,Fri Nov 23 2012,REG,N,Rice,CUSA,W,77,66,,2,2,W 1
5,Sun Nov 25 2012,REG,N,Xavier,A-10,L,70,74,,2,3,L 1
6,Fri Nov 30 2012,REG,@,Nevada,MWC,W,76,66,,3,3,W 1
7,Wed Dec 5 2012,REG,,Saint Mary's (CA),WCC,L,73,88,,3,4,L 1
8,Sat Dec 8 2012,REG,,IPFW,Summit,W,74,64,,4,4,W 1
9,Sat Dec 15 2012,REG,N,Iowa State,Big 12,L,77,86,,4,5,L 1
10,Wed Dec 19 2012,REG,,North Carolina Central,MEAC,W,72,69,,5,5,W 1
11,Sat Dec 22 2012,REG,,Eastern Illinois,OVC,W,74,56,,6,5,W 2
12,Sat Dec 29 2012,REG,@,Bradley,MVC,L,57,67,,6,6,L 1
13,Wed Jan 2 2013,REG,,Wichita State,MVC,L,63,75,,6,7,L 2
14,Sat Jan 5 2013,REG,,Missouri State,MVC,L,65,77,,6,8,L 3
15,Tue Jan 8 2013,REG,@,Creighton,MVC,L,61,91,,6,9,L 4
16,Sat Jan 12 2013,REG,@,Illinois State,MVC,W,82,77,,7,9,W 1
17,Wed Jan 16 2013,REG,,Evansville,MVC,W,83,69,,8,9,W 2
18,Sun Jan 20 2013,REG,@,Northern Iowa,MVC,L,55,85,,8,10,L 1
19,Wed Jan 23 2013,REG,,Creighton,MVC,W,74,69,,9,10,W 1
20,Sun Jan 27 2013,REG,@,Missouri State,MVC,L,72,78,,9,11,L 1
21,Wed Jan 30 2013,REG,@,Southern Illinois,MVC,W,61,56,,10,11,W 1
22,Sat Feb 2 2013,REG,,Indiana State,MVC,W,74,71,OT,11,11,W 2
23,Wed Feb 6 2013,REG,,Illinois State,MVC,L,86,94,,11,12,L 1
24,Sun Feb 10 2013,REG,@,Evansville,MVC,L,78,84,OT,11,13,L 2
25,Wed Feb 13 2013,REG,@,Wichita State,MVC,L,56,71,,11,14,L 3
26,Sat Feb 16 2013,REG,,Northern Iowa,MVC,L,64,71,,11,15,L 4
27,Wed Feb 20 2013,REG,,Bradley,MVC,W,92,84,OT,12,15,W 1
28,Sat Feb 23 2013,REG,,Green Bay,Horizon,W,71,54,,13,15,W 2
29,Wed Feb 27 2013,REG,@,Indiana State,MVC,W,67,56,,14,15,W 3
30,Sat Mar 2 2013,REG,,Southern Illinois,MVC,L,63,66,,14,16,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Thu Mar 7 2013,CTOURN,N,Bradley,MVC,W,81,66,,15,16,W 1
32,Fri Mar 8 2013,CTOURN,N,Creighton,MVC,L,53,65,,15,17,L 1
