G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Kent State,MAC,L,62,66,OT,0,1,L 1
2,Thu Nov 15 2012,REG,,Illinois State,MVC,L,84,86,OT,0,2,L 2
3,Sat Nov 17 2012,REG,@,Pennsylvania,Ivy,W,61,59,,1,2,W 1
4,Thu Nov 22 2012,REG,N,Saint Mary's (CA),WCC,L,64,76,,1,3,L 1
5,Fri Nov 23 2012,REG,N,Xavier,A-10,L,65,69,,1,4,L 2
6,Sun Nov 25 2012,REG,N,Rice,CUSA,W,55,47,,2,4,W 1
7,Sat Dec 1 2012,REG,,Rider,MAAC,L,66,75,,2,5,L 1
8,Tue Dec 4 2012,REG,@,Tennessee State,OVC,L,66,76,,2,6,L 2
9,Sat Dec 8 2012,REG,@,Princeton,Ivy,W,64,57,,3,6,W 1
10,Sun Dec 16 2012,REG,@,Fairfield,MAAC,L,58,69,,3,7,L 1
11,Sat Dec 22 2012,REG,,Davidson,Southern,W,69,58,,4,7,W 1
12,Mon Dec 31 2012,REG,,Saint Joseph's,A-10,L,49,63,,4,8,L 1
13,Wed Jan 2 2013,REG,@,Georgia State,CAA,W,77,60,,5,8,W 1
14,Sat Jan 5 2013,REG,,Towson,CAA,L,66,69,,5,9,L 1
15,Tue Jan 8 2013,REG,,Northeastern,CAA,L,58,63,OT,5,10,L 2
16,Sat Jan 12 2013,REG,@,James Madison,CAA,L,43,51,,5,11,L 3
17,Sat Jan 19 2013,REG,@,William & Mary,CAA,W,59,48,,6,11,W 1
18,Wed Jan 23 2013,REG,@,Hofstra,CAA,W,55,52,,7,11,W 2
19,Sat Jan 26 2013,REG,,Georgia State,CAA,W,68,57,,8,11,W 3
20,Mon Jan 28 2013,REG,,Delaware,CAA,L,64,66,,8,12,L 1
21,Thu Jan 31 2013,REG,@,George Mason,CAA,W,58,54,,9,12,W 1
22,Sat Feb 2 2013,REG,@,Northeastern,CAA,L,52,59,,9,13,L 1
23,Thu Feb 7 2013,REG,,Old Dominion,CAA,L,66,78,,9,14,L 2
24,Sun Feb 10 2013,REG,,James Madison,CAA,W,60,48,,10,14,W 1
25,Thu Feb 14 2013,REG,,George Mason,CAA,L,62,68,,10,15,L 1
26,Mon Feb 18 2013,REG,,Hofstra,CAA,W,63,54,,11,15,W 1
27,Thu Feb 21 2013,REG,@,Delaware,CAA,L,71,73,2OT,11,16,L 1
28,Sat Feb 23 2013,REG,@,Towson,CAA,L,71,72,,11,17,L 2
29,Thu Feb 28 2013,REG,@,Old Dominion,CAA,W,81,77,,12,17,W 1
30,Sat Mar 2 2013,REG,,North Carolina-Wilmington,CAA,W,62,46,,13,17,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Sat Mar 9 2013,CTOURN,N,George Mason,CAA,L,54,60,,13,18,L 1
