G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Georgia State,CAA,W,74,55,,1,0,W 1
2,Tue Nov 13 2012,REG,N,Kentucky,SEC,W,75,68,,2,0,W 2
3,Sun Nov 18 2012,REG,,Florida Gulf Coast,A-Sun,W,88,67,,3,0,W 3
4,Thu Nov 22 2012,REG,N,Minnesota,Big Ten,W,89,71,,4,0,W 4
5,Fri Nov 23 2012,REG,N,Virginia Commonwealth,A-10,W,67,58,,5,0,W 5
6,Sat Nov 24 2012,REG,N,Louisville,Big East,W,76,71,,6,0,W 6
7,Wed Nov 28 2012,REG,,Ohio State,Big Ten,W,73,68,,7,0,W 7
8,Sat Dec 1 2012,REG,,Delaware,CAA,W,88,50,,8,0,W 8
9,Sat Dec 8 2012,REG,N,Temple,A-10,W,90,67,,9,0,W 9
10,Wed Dec 19 2012,REG,,Cornell,Ivy,W,88,47,,10,0,W 10
11,Thu Dec 20 2012,REG,,Elon,Southern,W,76,54,,11,0,W 11
12,Sat Dec 29 2012,REG,,Santa Clara,WCC,W,90,77,,12,0,W 12
13,Wed Jan 2 2013,REG,N,Davidson,Southern,W,67,50,,13,0,W 13
14,Sat Jan 5 2013,REG,,Wake Forest,ACC,W,80,62,,14,0,W 14
15,Tue Jan 8 2013,REG,,Clemson,ACC,W,68,40,,15,0,W 15
16,Sat Jan 12 2013,REG,@,North Carolina State,ACC,L,76,84,,15,1,L 1
17,Thu Jan 17 2013,REG,,Georgia Tech,ACC,W,73,57,,16,1,W 1
18,Wed Jan 23 2013,REG,@,Miami (FL),ACC,L,63,90,,16,2,L 1
19,Sat Jan 26 2013,REG,,Maryland,ACC,W,84,64,,17,2,W 1
20,Wed Jan 30 2013,REG,@,Wake Forest,ACC,W,75,70,,18,2,W 2
21,Sat Feb 2 2013,REG,@,Florida State,ACC,W,79,60,,19,2,W 3
22,Thu Feb 7 2013,REG,,North Carolina State,ACC,W,98,85,,20,2,W 4
23,Sun Feb 10 2013,REG,@,Boston College,ACC,W,62,61,,21,2,W 5
24,Wed Feb 13 2013,REG,,North Carolina,ACC,W,73,68,,22,2,W 6
25,Sat Feb 16 2013,REG,@,Maryland,ACC,L,81,83,,22,3,L 1
26,Thu Feb 21 2013,REG,@,Virginia Tech,ACC,W,88,56,,23,3,W 1
27,Sun Feb 24 2013,REG,,Boston College,ACC,W,89,68,,24,3,W 2
28,Thu Feb 28 2013,REG,@,Virginia,ACC,L,68,73,,24,4,L 1
29,Sat Mar 2 2013,REG,,Miami (FL),ACC,W,79,76,,25,4,W 1
30,Tue Mar 5 2013,REG,,Virginia Tech,ACC,W,85,57,,26,4,W 2
31,Sat Mar 9 2013,REG,@,North Carolina,ACC,W,69,53,,27,4,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 15 2013,CTOURN,N,Maryland,ACC,L,74,83,,27,5,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Fri Mar 22 2013,NCAA,N,Albany (NY),AEC,W,73,61,,28,5,W 1
34,Sun Mar 24 2013,NCAA,N,Creighton,MVC,W,66,50,,29,5,W 2
35,Fri Mar 29 2013,NCAA,N,Michigan State,Big Ten,W,71,61,,30,5,W 3
36,Sun Mar 31 2013,NCAA,N,Louisville,Big East,L,63,85,,30,6,L 1
