G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Albany (NY),AEC,L,66,69,,0,1,L 1
2,Sun Nov 11 2012,REG,@,Georgetown,Big East,L,55,61,,0,2,L 2
3,Mon Nov 19 2012,REG,,James Madison,CAA,W,90,88,OT,1,2,W 1
4,Tue Nov 20 2012,REG,,North Dakota State,Summit,L,43,57,,1,3,L 1
5,Wed Nov 21 2012,REG,,Youngstown State,Horizon,W,84,74,,2,3,W 1
6,Wed Nov 28 2012,REG,@,Appalachian State,Southern,W,73,72,,3,3,W 2
7,Sat Dec 1 2012,REG,,Maine,AEC,W,87,73,,4,3,W 3
8,Wed Dec 5 2012,REG,N,Pittsburgh,Big East,L,45,66,,4,4,L 1
9,Sat Dec 8 2012,REG,,New Orleans,Ind,W,88,70,,5,4,W 1
10,Tue Dec 11 2012,REG,,West Virginia,Big 12,W,60,56,,6,4,W 2
11,Sat Dec 15 2012,REG,@,Robert Morris,NEC,L,69,91,,6,5,L 1
12,Wed Dec 19 2012,REG,,Western Michigan,MAC,W,71,66,,7,5,W 1
13,Sat Dec 22 2012,REG,@,Louisiana-Lafayette,Sun Belt,L,79,91,,7,6,L 1
14,Sat Dec 29 2012,REG,@,Penn State,Big Ten,L,74,84,,7,7,L 2
15,Wed Jan 9 2013,REG,@,Fordham,A-10,L,75,82,,7,8,L 3
16,Sat Jan 12 2013,REG,,Saint Joseph's,A-10,L,66,74,,7,9,L 4
17,Thu Jan 17 2013,REG,@,Massachusetts,A-10,L,66,79,,7,10,L 5
18,Sat Jan 19 2013,REG,,Virginia Commonwealth,A-10,L,63,90,,7,11,L 6
19,Wed Jan 23 2013,REG,,Saint Louis,A-10,L,64,73,,7,12,L 7
20,Sat Jan 26 2013,REG,@,Dayton,A-10,L,56,72,,7,13,L 8
21,Sat Feb 2 2013,REG,@,St. Bonaventure,A-10,L,60,68,,7,14,L 9
22,Wed Feb 6 2013,REG,,George Washington,A-10,L,57,79,,7,15,L 10
23,Sat Feb 9 2013,REG,,Xavier,A-10,L,65,73,,7,16,L 11
24,Thu Feb 14 2013,REG,@,Temple,A-10,W,84,83,,8,16,W 1
25,Sat Feb 16 2013,REG,,Rhode Island,A-10,L,62,67,,8,17,L 1
26,Tue Feb 19 2013,REG,@,Butler,A-10,L,49,68,,8,18,L 2
27,Sat Feb 23 2013,REG,,St. Bonaventure,A-10,L,71,78,,8,19,L 3
28,Sat Mar 2 2013,REG,@,La Salle,A-10,L,64,97,,8,20,L 4
29,Wed Mar 6 2013,REG,,Charlotte,A-10,L,87,89,OT,8,21,L 5
30,Sat Mar 9 2013,REG,@,Richmond,A-10,L,55,79,,8,22,L 6
