G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Bradley,MVC,L,53,76,,0,1,L 1
2,Tue Nov 13 2012,REG,,Wright State,Horizon,L,44,56,,0,2,L 2
3,Fri Nov 16 2012,REG,@,Eastern Michigan,MAC,L,52,60,,0,3,L 3
4,Sat Nov 17 2012,REG,N,Texas-Pan American,GWC,W,63,50,,1,3,W 1
5,Sun Nov 18 2012,REG,N,IPFW,Summit,W,68,67,,2,3,W 2
6,Wed Nov 21 2012,REG,,Rochester (MI),,L,56,59,,2,4,L 1
7,Sat Nov 24 2012,REG,,Houston Baptist,GWC,W,64,44,,3,4,W 1
8,Wed Nov 28 2012,REG,,Central Arkansas,Southland,L,72,74,,3,5,L 1
9,Sat Dec 1 2012,REG,@,Stony Brook,AEC,L,52,66,,3,6,L 2
10,Wed Dec 5 2012,REG,,Western Illinois,Summit,L,45,57,,3,7,L 3
11,Sat Dec 8 2012,REG,,Toledo,MAC,L,59,67,,3,8,L 4
12,Wed Dec 19 2012,REG,@,Saint Louis,A-10,L,45,72,,3,9,L 5
13,Sat Dec 22 2012,REG,@,Drake,MVC,L,56,74,,3,10,L 6
14,Sat Dec 29 2012,REG,@,Tennessee State,OVC,L,59,67,,3,11,L 7
15,Thu Jan 3 2013,REG,@,Eastern Kentucky,OVC,L,54,65,,3,12,L 8
16,Sat Jan 5 2013,REG,@,Morehead State,OVC,L,50,65,,3,13,L 9
17,Thu Jan 10 2013,REG,,Tennessee Tech,OVC,L,73,77,,3,14,L 10
18,Sat Jan 12 2013,REG,,Jacksonville State,OVC,L,55,61,,3,15,L 11
19,Thu Jan 17 2013,REG,@,Murray State,OVC,L,49,70,,3,16,L 12
20,Sat Jan 19 2013,REG,@,Austin Peay,OVC,W,77,67,,4,16,W 1
21,Thu Jan 24 2013,REG,,Tennessee-Martin,OVC,W,69,56,,5,16,W 2
22,Sat Jan 26 2013,REG,,Southeast Missouri State,OVC,W,78,72,OT,6,16,W 3
23,Sat Feb 2 2013,REG,@,Southern Illinois-Edwardsville,OVC,L,45,49,,6,17,L 1
24,Thu Feb 7 2013,REG,@,Tennessee-Martin,OVC,W,93,65,,7,17,W 1
25,Sat Feb 9 2013,REG,@,Southeast Missouri State,OVC,L,64,77,,7,18,L 1
26,Thu Feb 14 2013,REG,,Austin Peay,OVC,L,64,71,,7,19,L 2
27,Sat Feb 16 2013,REG,,Murray State,OVC,W,79,70,,8,19,W 1
28,Wed Feb 20 2013,REG,,Belmont,OVC,L,49,80,,8,20,L 1
29,Sat Feb 23 2013,REG,@,Northern Illinois,MAC,W,59,47,,9,20,W 1
30,Tue Feb 26 2013,REG,@,Chicago State,GWC,W,58,50,,10,20,W 2
31,Sat Mar 2 2013,REG,,Southern Illinois-Edwardsville,OVC,W,61,46,,11,20,W 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 6 2013,CTOURN,N,Southeast Missouri State,OVC,L,68,78,,11,21,L 1
