G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Rochester (MI),,W,66,52,,1,0,W 1
2,Sun Nov 11 2012,REG,@,Jacksonville State,OVC,L,54,61,,1,1,L 1
3,Fri Nov 16 2012,REG,,Eastern Illinois,OVC,W,60,52,,2,1,W 1
4,Sat Nov 17 2012,REG,,IPFW,Summit,W,60,47,,3,1,W 2
5,Sun Nov 18 2012,REG,,Texas-Pan American,GWC,W,57,47,,4,1,W 3
6,Sat Nov 24 2012,REG,,Madonna,,W,75,57,,5,1,W 4
7,Mon Dec 3 2012,REG,@,Syracuse,Big East,L,48,84,,5,2,L 1
8,Sat Dec 8 2012,REG,,Purdue,Big Ten,W,47,44,,6,2,W 1
9,Sat Dec 15 2012,REG,@,Illinois-Chicago,Horizon,L,48,74,,6,3,L 1
10,Thu Dec 20 2012,REG,@,Michigan,Big Ten,L,54,93,,6,4,L 2
11,Sat Dec 22 2012,REG,,Oakland,Summit,L,57,59,,6,5,L 3
12,Fri Dec 28 2012,REG,,Siena Heights,,W,87,49,,7,5,W 1
13,Wed Jan 2 2013,REG,@,Kentucky,SEC,L,38,90,,7,6,L 1
14,Sat Jan 5 2013,REG,@,Massachusetts,A-10,L,61,75,,7,7,L 2
15,Wed Jan 9 2013,REG,,Ball State,MAC,L,58,60,,7,8,L 3
16,Sat Jan 12 2013,REG,@,Bowling Green State,MAC,L,44,46,,7,9,L 4
17,Tue Jan 15 2013,REG,,Central Michigan,MAC,W,58,52,,8,9,W 1
18,Sat Jan 19 2013,REG,,Miami (OH),MAC,W,65,58,,9,9,W 2
19,Wed Jan 23 2013,REG,@,Western Michigan,MAC,L,59,63,,9,10,L 1
20,Sat Jan 26 2013,REG,,Northern Illinois,MAC,W,42,25,,10,10,W 1
21,Sat Feb 2 2013,REG,@,Kent State,MAC,L,62,77,,10,11,L 1
22,Wed Feb 6 2013,REG,,Buffalo,MAC,W,65,46,,11,11,W 1
23,Sat Feb 9 2013,REG,@,Toledo,MAC,L,52,60,,11,12,L 1
24,Wed Feb 13 2013,REG,,Akron,MAC,L,62,70,,11,13,L 2
25,Sat Feb 16 2013,REG,@,Ball State,MAC,W,56,50,,12,13,W 1
26,Wed Feb 20 2013,REG,@,Ohio,MAC,L,50,73,,12,14,L 1
27,Sat Feb 23 2013,REG,,Missouri State,MVC,L,54,57,,12,15,L 2
28,Wed Feb 27 2013,REG,@,Northern Illinois,MAC,W,53,41,,13,15,W 1
29,Sat Mar 2 2013,REG,,Western Michigan,MAC,W,50,49,OT,14,15,W 2
30,Tue Mar 5 2013,REG,@,Central Michigan,MAC,L,59,61,,14,16,L 1
31,Sat Mar 9 2013,REG,,Toledo,MAC,L,67,78,,14,17,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Mon Mar 11 2013,CTOURN,,Northern Illinois,MAC,W,45,44,,15,17,W 1
33,Wed Mar 13 2013,CTOURN,N,Miami (OH),MAC,W,58,47,,16,17,W 2
34,Thu Mar 14 2013,CTOURN,N,Western Michigan,MAC,L,55,70,,16,18,L 1
