G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Washington State,Pac-12,L,69,88,,0,1,L 1
2,Mon Nov 12 2012,REG,@,Cal State Northridge,Big West,L,79,96,,0,2,L 2
3,Sun Nov 18 2012,REG,@,Saint Mary's (CA),WCC,L,66,85,,0,3,L 3
4,Tue Nov 20 2012,REG,N,Utah Valley,GWC,L,83,86,,0,4,L 4
5,Wed Nov 21 2012,REG,N,South Carolina Upstate,A-Sun,W,75,70,,1,4,W 1
6,Fri Nov 23 2012,REG,@,Santa Clara,WCC,L,74,89,,1,5,L 1
7,Fri Nov 30 2012,REG,,Cal State Fullerton,Big West,W,79,75,,2,5,W 1
8,Thu Dec 6 2012,REG,,Idaho,WAC,L,79,81,OT,2,6,L 1
9,Mon Dec 10 2012,REG,,Seattle,WAC,L,69,75,,2,7,L 2
10,Mon Dec 17 2012,REG,@,California-Davis,Big West,L,65,87,,2,8,L 3
11,Thu Dec 20 2012,REG,,Weber State,Big Sky,L,53,74,,2,9,L 4
12,Sat Dec 22 2012,REG,,Idaho State,Big Sky,W,57,54,,3,9,W 1
13,Thu Jan 3 2013,REG,@,Montana,Big Sky,L,66,81,,3,10,L 1
14,Sat Jan 5 2013,REG,@,Montana State,Big Sky,L,68,70,OT,3,11,L 2
15,Thu Jan 10 2013,REG,,Northern Arizona,Big Sky,W,82,59,,4,11,W 1
16,Sat Jan 12 2013,REG,,Sacramento State,Big Sky,L,53,60,,4,12,L 1
17,Thu Jan 17 2013,REG,@,North Dakota,Big Sky,L,47,65,,4,13,L 2
18,Sat Jan 19 2013,REG,@,Northern Colorado,Big Sky,L,56,72,,4,14,L 3
19,Sat Jan 26 2013,REG,@,Southern Utah,Big Sky,L,55,69,,4,15,L 4
20,Mon Jan 28 2013,REG,,Portland State,Big Sky,W,76,65,,5,15,W 1
21,Thu Jan 31 2013,REG,,Montana State,Big Sky,W,72,68,,6,15,W 2
22,Sat Feb 2 2013,REG,,Montana,Big Sky,L,46,65,,6,16,L 1
23,Thu Feb 7 2013,REG,@,Sacramento State,Big Sky,L,55,61,,6,17,L 2
24,Sat Feb 9 2013,REG,@,Northern Arizona,Big Sky,W,77,74,OT,7,17,W 1
25,Sat Feb 16 2013,REG,,Southern Utah,Big Sky,W,86,72,,8,17,W 2
26,Mon Feb 18 2013,REG,@,Portland State,Big Sky,L,80,89,,8,18,L 1
27,Sat Feb 23 2013,REG,,Sam Houston State,Southland,W,81,76,,9,18,W 1
28,Thu Feb 28 2013,REG,,Northern Colorado,Big Sky,L,80,88,OT,9,19,L 1
29,Sat Mar 2 2013,REG,,North Dakota,Big Sky,L,74,78,,9,20,L 2
30,Thu Mar 7 2013,REG,@,Idaho State,Big Sky,W,87,73,,10,20,W 1
31,Sat Mar 9 2013,REG,@,Weber State,Big Sky,L,57,65,,10,21,L 1
