G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,@,Notre Dame,Big East,L,49,58,,0,1,L 1
2,Thu Nov 15 2012,REG,,Buffalo,MAC,L,50,56,,0,2,L 2
3,Fri Nov 16 2012,REG,,Yale,Ivy,W,66,56,,1,2,W 1
4,Sat Nov 17 2012,REG,N,Western Illinois,Summit,W,49,44,,2,2,W 2
5,Tue Nov 20 2012,REG,@,Tennessee Tech,OVC,W,62,50,,3,2,W 3
6,Mon Nov 26 2012,REG,,Alabama A&M,SWAC,W,72,46,,4,2,W 4
7,Sat Dec 1 2012,REG,@,Colorado State,MWC,L,72,79,,4,3,L 1
8,Wed Dec 5 2012,REG,,Miami (OH),MAC,W,94,68,,5,3,W 1
9,Sat Dec 8 2012,REG,,Murray State,OVC,L,70,82,,5,4,L 1
10,Sat Dec 15 2012,REG,,Alabama State,SWAC,W,80,67,,6,4,W 1
11,Tue Dec 18 2012,REG,,Oakland City,,W,103,69,,7,4,W 2
12,Sat Dec 22 2012,REG,@,Butler,A-10,L,67,75,,7,5,L 1
13,Sat Dec 29 2012,REG,@,Creighton,MVC,L,70,87,,7,6,L 2
14,Wed Jan 2 2013,REG,,Missouri State,MVC,W,62,59,OT,8,6,W 1
15,Sat Jan 5 2013,REG,,Southern Illinois,MVC,W,85,68,,9,6,W 2
16,Wed Jan 9 2013,REG,@,Northern Iowa,MVC,W,62,59,,10,6,W 3
17,Sun Jan 13 2013,REG,,Wichita State,MVC,W,71,67,,11,6,W 4
18,Wed Jan 16 2013,REG,@,Drake,MVC,L,69,83,,11,7,L 1
19,Sat Jan 19 2013,REG,@,Indiana State,MVC,L,62,72,,11,8,L 2
20,Wed Jan 23 2013,REG,,Bradley,MVC,W,66,56,,12,8,W 1
21,Sat Jan 26 2013,REG,@,Illinois State,MVC,L,62,67,,12,9,L 1
22,Tue Jan 29 2013,REG,,Northern Iowa,MVC,W,54,51,OT,13,9,W 1
23,Sat Feb 2 2013,REG,@,Missouri State,MVC,L,61,62,,13,10,L 1
24,Tue Feb 5 2013,REG,@,Bradley,MVC,L,70,76,,13,11,L 2
25,Sun Feb 10 2013,REG,,Drake,MVC,W,84,78,OT,14,11,W 1
26,Wed Feb 13 2013,REG,@,Southern Illinois,MVC,L,56,65,,14,12,L 1
27,Sat Feb 16 2013,REG,,Creighton,MVC,L,68,71,,14,13,L 2
28,Wed Feb 20 2013,REG,,Illinois State,MVC,W,79,62,,15,13,W 1
29,Sat Feb 23 2013,REG,@,Wright State,Horizon,W,70,58,,16,13,W 2
30,Wed Feb 27 2013,REG,@,Wichita State,MVC,W,59,56,,17,13,W 3
31,Sat Mar 2 2013,REG,,Indiana State,MVC,W,84,68,,18,13,W 4
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Indiana State,MVC,L,50,51,,18,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,CIT,,Tennessee State,OVC,W,84,72,,19,14,W 1
34,Sat Mar 23 2013,CIT,,Eastern Kentucky,OVC,W,86,72,,20,14,W 2
35,Tue Mar 26 2013,CIT,@,Canisius,MAAC,W,84,83,,21,14,W 3
36,Sat Mar 30 2013,CIT,@,East Carolina,CUSA,L,58,81,,21,15,L 1
