G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,N,Central Connecticut State,NEC,W,64,63,OT,1,0,W 1
2,Mon Nov 12 2012,REG,@,Virginia,ACC,L,45,54,,1,1,L 1
3,Tue Nov 13 2012,REG,N,Pennsylvania,Ivy,W,62,53,,2,1,W 1
4,Mon Nov 19 2012,REG,@,Lehigh,Patriot,L,67,82,,2,2,L 1
5,Tue Nov 20 2012,REG,N,Fordham,A-10,W,74,71,,3,2,W 1
6,Fri Nov 23 2012,REG,@,Providence,Big East,L,47,66,,3,3,L 1
7,Tue Nov 27 2012,REG,@,DePaul,Big East,L,78,85,,3,4,L 2
8,Sat Dec 1 2012,REG,@,Austin Peay,OVC,W,74,55,,4,4,W 1
9,Fri Dec 7 2012,REG,,Canisius,MAAC,L,55,67,,4,5,L 1
10,Sun Dec 9 2012,REG,@,Rider,MAAC,W,65,52,,5,5,W 1
11,Wed Dec 12 2012,REG,,Milwaukee,Horizon,W,62,46,,6,5,W 2
12,Sun Dec 16 2012,REG,,Drexel,CAA,W,69,58,,7,5,W 3
13,Sat Dec 22 2012,REG,@,Saint Joseph's,A-10,W,60,57,,8,5,W 4
14,Sat Dec 29 2012,REG,@,Old Dominion,CAA,W,55,54,,9,5,W 5
15,Thu Jan 3 2013,REG,@,Canisius,MAAC,W,66,45,,10,5,W 6
16,Sat Jan 5 2013,REG,@,Niagara,MAAC,L,67,71,,10,6,L 1
17,Fri Jan 11 2013,REG,@,Loyola (MD),MAAC,L,58,63,OT,10,7,L 2
18,Sun Jan 13 2013,REG,,Niagara,MAAC,L,64,67,,10,8,L 3
19,Fri Jan 18 2013,REG,@,Iona,MAAC,L,73,84,,10,9,L 4
20,Mon Jan 21 2013,REG,,Loyola (MD),MAAC,L,60,65,,10,10,L 5
21,Thu Jan 24 2013,REG,,Marist,MAAC,W,71,37,,11,10,W 1
22,Sun Jan 27 2013,REG,@,Saint Peter's,MAAC,W,61,54,,12,10,W 2
23,Fri Feb 1 2013,REG,,Rider,MAAC,W,69,59,,13,10,W 3
24,Mon Feb 4 2013,REG,@,Siena,MAAC,W,64,54,,14,10,W 4
25,Thu Feb 7 2013,REG,,Saint Peter's,MAAC,W,61,44,,15,10,W 5
26,Tue Feb 12 2013,REG,,Manhattan,MAAC,L,40,62,,15,11,L 1
27,Thu Feb 14 2013,REG,,Siena,MAAC,W,74,52,,16,11,W 1
28,Mon Feb 18 2013,REG,,Iona,MAAC,W,66,64,,17,11,W 2
29,Sat Feb 23 2013,REG,,Albany (NY),AEC,L,50,58,,17,12,L 1
30,Fri Mar 1 2013,REG,@,Manhattan,MAAC,L,31,34,,17,13,L 2
31,Sun Mar 3 2013,REG,@,Marist,MAAC,L,60,73,,17,14,L 3
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Saint Peter's,MAAC,W,54,47,,18,14,W 1
33,Sat Mar 9 2013,CTOURN,N,Rider,MAAC,W,43,42,,19,14,W 2
34,Sun Mar 10 2013,CTOURN,N,Manhattan,MAAC,L,42,60,,19,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Wed Mar 20 2013,CIT,@,Kent State,MAC,L,71,73,,19,16,L 2
