G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Xavier,A-10,L,75,117,,0,1,L 1
2,Sun Nov 18 2012,REG,@,Northwestern,Big Ten,L,53,80,,0,2,L 2
3,Tue Nov 20 2012,REG,@,Illinois State,MVC,L,58,91,,0,3,L 3
4,Fri Nov 23 2012,REG,N,Delaware State,MEAC,W,63,62,,1,3,W 1
5,Sat Nov 24 2012,REG,N,Prairie View,SWAC,W,84,70,,2,3,W 2
6,Wed Nov 28 2012,REG,@,Saint Peter's,MAAC,W,66,61,,3,3,W 3
7,Sat Dec 1 2012,REG,@,Lehigh,Patriot,L,62,102,,3,4,L 1
8,Fri Dec 7 2012,REG,,Lafayette,Patriot,W,82,80,,4,4,W 1
9,Sun Dec 9 2012,REG,,Hartford,AEC,L,59,69,,4,5,L 1
10,Sat Dec 22 2012,REG,@,Vermont,AEC,L,62,76,,4,6,L 2
11,Sat Dec 29 2012,REG,@,Virginia Commonwealth,A-10,L,67,96,,4,7,L 3
12,Mon Dec 31 2012,REG,@,Longwood,Big South,W,79,71,,5,7,W 1
13,Thu Jan 3 2013,REG,@,Mount St. Mary's,NEC,W,72,65,,6,7,W 2
14,Sat Jan 5 2013,REG,@,Wagner,NEC,L,55,68,,6,8,L 1
15,Thu Jan 10 2013,REG,,Robert Morris,NEC,L,54,88,,6,9,L 2
16,Sat Jan 12 2013,REG,,Saint Francis (PA),NEC,W,79,69,OT,7,9,W 1
17,Mon Jan 14 2013,REG,,NJIT,GWC,L,63,66,,7,10,L 1
18,Thu Jan 17 2013,REG,,Long Island University,NEC,L,75,79,OT,7,11,L 2
19,Sat Jan 19 2013,REG,@,St. Francis (NY),NEC,L,51,70,,7,12,L 3
20,Thu Jan 24 2013,REG,@,Monmouth,NEC,L,54,73,,7,13,L 4
21,Sat Jan 26 2013,REG,@,Quinnipiac,NEC,L,56,58,,7,14,L 5
22,Thu Jan 31 2013,REG,,Bryant,NEC,L,63,78,,7,15,L 6
23,Sat Feb 2 2013,REG,,Central Connecticut State,NEC,L,71,80,,7,16,L 7
24,Thu Feb 7 2013,REG,@,Sacred Heart,NEC,L,70,77,,7,17,L 8
25,Sun Feb 10 2013,REG,,Monmouth,NEC,L,76,80,,7,18,L 9
26,Thu Feb 14 2013,REG,,St. Francis (NY),NEC,L,61,85,,7,19,L 10
27,Sat Feb 16 2013,REG,@,Long Island University,NEC,L,67,92,,7,20,L 11
28,Thu Feb 21 2013,REG,@,Saint Francis (PA),NEC,L,63,69,,7,21,L 12
29,Sat Feb 23 2013,REG,@,Robert Morris,NEC,L,46,89,,7,22,L 13
30,Thu Feb 28 2013,REG,,Wagner,NEC,L,66,84,,7,23,L 14
31,Sat Mar 2 2013,REG,,Mount St. Mary's,NEC,L,82,103,,7,24,L 15
