G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,@,North Carolina,ACC,L,56,80,,0,1,L 1
2,Tue Nov 13 2012,REG,@,Mississippi State,SEC,L,58,78,,0,2,L 2
3,Sat Nov 17 2012,REG,,Coppin State,MEAC,W,64,61,,1,2,W 1
4,Sun Nov 18 2012,REG,@,Elon,Southern,L,59,62,OT,1,3,L 1
5,Sat Nov 24 2012,REG,,American,Patriot,W,58,55,,2,3,W 1
6,Thu Nov 29 2012,REG,,South Alabama,Sun Belt,L,66,77,,2,4,L 1
7,Sat Dec 1 2012,REG,,Arkansas State,Sun Belt,W,72,65,,3,4,W 1
8,Thu Dec 6 2012,REG,@,Stetson,A-Sun,W,88,78,,4,4,W 2
9,Sun Dec 9 2012,REG,,Warner Southern,,W,83,50,,5,4,W 3
10,Sat Dec 15 2012,REG,@,Dayton,A-10,L,56,81,,5,5,L 1
11,Tue Dec 18 2012,REG,,Stetson,A-Sun,L,68,69,,5,6,L 2
12,Fri Dec 21 2012,REG,@,Indiana,Big Ten,L,52,88,,5,7,L 3
13,Thu Dec 27 2012,REG,@,Troy,Sun Belt,W,61,54,,6,7,W 1
14,Sat Dec 29 2012,REG,@,Louisiana-Monroe,Sun Belt,L,64,65,,6,8,L 1
15,Tue Jan 1 2013,REG,,Hofstra,CAA,W,61,57,,7,8,W 1
16,Thu Jan 3 2013,REG,,Louisiana-Lafayette,Sun Belt,W,75,70,,8,8,W 2
17,Thu Jan 10 2013,REG,@,Middle Tennessee,Sun Belt,L,52,62,,8,9,L 1
18,Sat Jan 12 2013,REG,@,Western Kentucky,Sun Belt,W,65,62,,9,9,W 1
19,Thu Jan 17 2013,REG,,Troy,Sun Belt,W,80,59,,10,9,W 2
20,Sat Jan 19 2013,REG,,North Texas,Sun Belt,L,59,61,OT,10,10,L 1
21,Thu Jan 24 2013,REG,@,Arkansas-Little Rock,Sun Belt,L,62,65,,10,11,L 2
22,Sat Jan 26 2013,REG,@,Arkansas State,Sun Belt,L,38,63,,10,12,L 3
23,Thu Jan 31 2013,REG,,Louisiana-Monroe,Sun Belt,W,76,71,,11,12,W 1
24,Sat Feb 2 2013,REG,,Middle Tennessee,Sun Belt,L,56,73,,11,13,L 1
25,Thu Feb 7 2013,REG,@,Florida International,Sun Belt,L,65,84,,11,14,L 2
26,Sat Feb 9 2013,REG,@,South Alabama,Sun Belt,L,71,72,,11,15,L 3
27,Thu Feb 14 2013,REG,,Western Kentucky,Sun Belt,W,84,78,,12,15,W 1
28,Sat Feb 16 2013,REG,@,Louisiana-Lafayette,Sun Belt,L,57,58,,12,16,L 1
29,Thu Feb 21 2013,REG,@,North Texas,Sun Belt,L,57,66,OT,12,17,L 2
30,Sat Feb 23 2013,REG,,Arkansas-Little Rock,Sun Belt,W,73,59,,13,17,W 1
31,Sat Mar 2 2013,REG,,Florida International,Sun Belt,W,77,60,,14,17,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 8 2013,CTOURN,N,Troy,Sun Belt,L,79,81,OT,14,18,L 1
