G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Virginia Commonwealth,A-10,L,57,80,,0,1,L 1
2,Tue Nov 13 2012,REG,,Miami (FL),ACC,W,63,51,,1,1,W 1
3,Thu Nov 15 2012,REG,,Ave Maria,,W,86,54,,2,1,W 2
4,Sun Nov 18 2012,REG,@,Duke,ACC,L,67,88,,2,2,L 1
5,Wed Nov 21 2012,REG,,Alcorn State,SWAC,W,50,48,,3,2,W 1
6,Thu Nov 22 2012,REG,,Toledo,MAC,W,72,66,,4,2,W 2
7,Sat Nov 24 2012,REG,@,St. John's (NY),Big East,L,68,79,,4,3,L 1
8,Wed Nov 28 2012,REG,@,Samford,Southern,W,86,62,,5,3,W 1
9,Sat Dec 1 2012,REG,,Loyola (MD),MAAC,W,65,50,,6,3,W 2
10,Tue Dec 4 2012,REG,@,Iowa State,Big 12,L,72,83,,6,4,L 1
11,Thu Dec 13 2012,REG,,Florida International,Sun Belt,W,76,73,,7,4,W 1
12,Tue Dec 18 2012,REG,,Southeastern,,W,86,60,,8,4,W 2
13,Sat Dec 22 2012,REG,@,Maine,AEC,L,78,84,,8,5,L 1
14,Mon Dec 31 2012,REG,@,Kennesaw State,A-Sun,W,68,59,,9,5,W 1
15,Wed Jan 2 2013,REG,@,Mercer,A-Sun,L,70,77,,9,6,L 1
16,Sat Jan 5 2013,REG,,Jacksonville,A-Sun,W,78,55,,10,6,W 1
17,Mon Jan 7 2013,REG,,North Florida,A-Sun,W,75,73,,11,6,W 2
18,Thu Jan 10 2013,REG,@,South Carolina Upstate,A-Sun,W,72,71,OT,12,6,W 3
19,Sat Jan 12 2013,REG,@,East Tennessee State,A-Sun,L,75,85,,12,7,L 1
20,Thu Jan 17 2013,REG,,Lipscomb,A-Sun,L,78,87,OT,12,8,L 2
21,Sat Jan 19 2013,REG,,Northern Kentucky,A-Sun,W,73,54,,13,8,W 1
22,Fri Jan 25 2013,REG,,Stetson,A-Sun,W,96,65,,14,8,W 2
23,Thu Jan 31 2013,REG,@,North Florida,A-Sun,W,89,75,,15,8,W 3
24,Sat Feb 2 2013,REG,@,Jacksonville,A-Sun,W,81,78,,16,8,W 4
25,Thu Feb 7 2013,REG,,East Tennessee State,A-Sun,W,67,43,,17,8,W 5
26,Sat Feb 9 2013,REG,,South Carolina Upstate,A-Sun,W,74,49,,18,8,W 6
27,Thu Feb 14 2013,REG,@,Northern Kentucky,A-Sun,W,60,53,,19,8,W 7
28,Sat Feb 16 2013,REG,@,Lipscomb,A-Sun,L,74,84,,19,9,L 1
29,Fri Feb 22 2013,REG,@,Stetson,A-Sun,L,71,80,,19,10,L 2
30,Thu Feb 28 2013,REG,,Mercer,A-Sun,W,60,57,,20,10,W 1
31,Sat Mar 2 2013,REG,,Kennesaw State,A-Sun,W,67,49,,21,10,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Wed Mar 6 2013,CTOURN,N,North Florida,A-Sun,W,73,63,,22,10,W 3
33,Fri Mar 8 2013,CTOURN,N,Stetson,A-Sun,W,72,58,,23,10,W 4
34,Sat Mar 9 2013,CTOURN,N,Mercer,A-Sun,W,88,75,,24,10,W 5
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
35,Fri Mar 22 2013,NCAA,N,Georgetown,Big East,W,78,68,,25,10,W 6
36,Sun Mar 24 2013,NCAA,N,San Diego State,MWC,W,81,71,,26,10,W 7
37,Fri Mar 29 2013,NCAA,N,Florida,SEC,L,50,62,,26,11,L 1
