G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,@,Boston College,ACC,L,70,84,,0,1,L 1
2,Sat Nov 17 2012,REG,,Stephen F. Austin,Southland,L,60,69,,0,2,L 2
3,Sat Nov 24 2012,REG,@,Coastal Carolina,Big South,W,87,77,,1,2,W 1
4,Thu Nov 29 2012,REG,,Arkansas State,Sun Belt,W,80,61,,2,2,W 2
5,Sat Dec 1 2012,REG,,South Alabama,Sun Belt,L,68,79,,2,3,L 1
6,Sun Dec 9 2012,REG,@,Stetson,A-Sun,W,82,79,,3,3,W 1
7,Thu Dec 13 2012,REG,@,Florida Gulf Coast,A-Sun,L,73,76,,3,4,L 1
8,Wed Dec 19 2012,REG,@,Louisville,Big East,L,55,79,,3,5,L 2
9,Sat Dec 22 2012,REG,@,Texas Southern,SWAC,W,48,45,,4,5,W 1
10,Thu Dec 27 2012,REG,@,Western Kentucky,Sun Belt,L,63,76,,4,6,L 1
11,Sat Dec 29 2012,REG,@,Middle Tennessee,Sun Belt,L,52,69,,4,7,L 2
12,Wed Jan 2 2013,REG,,Florida A&M,MEAC,W,88,72,,5,7,W 1
13,Sat Jan 5 2013,REG,,Louisiana-Lafayette,Sun Belt,W,75,70,,6,7,W 2
14,Mon Jan 7 2013,REG,,Bethune-Cookman,MEAC,W,74,72,,7,7,W 3
15,Thu Jan 10 2013,REG,@,Arkansas State,Sun Belt,W,66,64,,8,7,W 4
16,Sat Jan 12 2013,REG,@,Arkansas-Little Rock,Sun Belt,L,76,88,,8,8,L 1
17,Thu Jan 17 2013,REG,,North Texas,Sun Belt,W,70,64,,9,8,W 1
18,Sat Jan 19 2013,REG,,Troy,Sun Belt,W,61,55,,10,8,W 2
19,Thu Jan 24 2013,REG,@,Louisiana-Lafayette,Sun Belt,W,80,75,,11,8,W 3
20,Sun Jan 27 2013,REG,@,South Alabama,Sun Belt,L,58,60,,11,9,L 1
21,Thu Jan 31 2013,REG,,Middle Tennessee,Sun Belt,L,64,66,,11,10,L 2
22,Sat Feb 2 2013,REG,,Louisiana-Monroe,Sun Belt,W,76,73,,12,10,W 1
23,Thu Feb 7 2013,REG,,Florida Atlantic,Sun Belt,W,84,65,,13,10,W 2
24,Sat Feb 9 2013,REG,@,North Texas,Sun Belt,L,67,77,,13,11,L 1
25,Thu Feb 14 2013,REG,@,Troy,Sun Belt,L,61,69,,13,12,L 2
26,Sat Feb 16 2013,REG,,Western Kentucky,Sun Belt,W,87,82,,14,12,W 1
27,Thu Feb 21 2013,REG,,Arkansas-Little Rock,Sun Belt,W,65,52,,15,12,W 2
28,Thu Feb 28 2013,REG,@,Louisiana-Monroe,Sun Belt,W,67,58,,16,12,W 3
29,Sat Mar 2 2013,REG,@,Florida Atlantic,Sun Belt,L,60,77,,16,13,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Sat Mar 9 2013,CTOURN,N,Arkansas-Little Rock,Sun Belt,W,69,54,,17,13,W 1
31,Sun Mar 10 2013,CTOURN,N,Middle Tennessee,Sun Belt,W,61,57,,18,13,W 2
32,Mon Mar 11 2013,CTOURN,N,Western Kentucky,Sun Belt,L,63,65,,18,14,L 1
