G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,South Alabama,Sun Belt,L,71,76,,0,1,L 1
2,Mon Nov 12 2012,REG,,Buffalo,MAC,W,95,68,,1,1,W 1
3,Fri Nov 16 2012,REG,N,Brigham Young,WCC,W,88,70,,2,1,W 2
4,Sat Nov 17 2012,REG,N,Saint Joseph's,A-10,W,73,66,,3,1,W 3
5,Wed Nov 21 2012,REG,,North Florida,A-Sun,W,75,67,,4,1,W 4
6,Tue Nov 27 2012,REG,,Minnesota,Big Ten,L,68,77,,4,2,L 1
7,Sun Dec 2 2012,REG,,Mercer,A-Sun,L,56,61,,4,3,L 2
8,Wed Dec 5 2012,REG,,Florida,SEC,L,47,72,,4,4,L 3
9,Sun Dec 9 2012,REG,,Maine,AEC,W,91,59,,5,4,W 1
10,Mon Dec 17 2012,REG,,Louisiana-Monroe,Sun Belt,W,63,48,,6,4,W 2
11,Sat Dec 22 2012,REG,N,Charlotte,A-10,W,79,76,,7,4,W 3
12,Sat Dec 29 2012,REG,N,Tulsa,CUSA,W,82,63,,8,4,W 4
13,Wed Jan 2 2013,REG,@,Auburn,SEC,L,72,78,,8,5,L 1
14,Sat Jan 5 2013,REG,@,Clemson,ACC,W,71,66,,9,5,W 1
15,Wed Jan 9 2013,REG,@,Maryland,ACC,W,65,62,,10,5,W 2
16,Sat Jan 12 2013,REG,,North Carolina,ACC,L,72,77,,10,6,L 1
17,Sat Jan 19 2013,REG,@,Virginia,ACC,L,36,56,,10,7,L 2
18,Thu Jan 24 2013,REG,,Clemson,ACC,W,60,57,,11,7,W 1
19,Sun Jan 27 2013,REG,@,Miami (FL),ACC,L,47,71,,11,8,L 1
20,Wed Jan 30 2013,REG,,Maryland,ACC,W,73,71,,12,8,W 1
21,Sat Feb 2 2013,REG,,Duke,ACC,L,60,79,,12,9,L 1
22,Tue Feb 5 2013,REG,@,Georgia Tech,ACC,W,56,54,,13,9,W 1
23,Sat Feb 9 2013,REG,@,Wake Forest,ACC,L,46,71,,13,10,L 1
24,Wed Feb 13 2013,REG,,Miami (FL),ACC,L,68,74,,13,11,L 2
25,Sat Feb 16 2013,REG,,Boston College,ACC,W,69,66,,14,11,W 1
26,Tue Feb 19 2013,REG,@,North Carolina State,ACC,L,66,84,,14,12,L 1
27,Sun Feb 24 2013,REG,@,Virginia Tech,ACC,L,70,80,,14,13,L 2
28,Tue Feb 26 2013,REG,,Wake Forest,ACC,W,76,62,,15,13,W 1
29,Sun Mar 3 2013,REG,@,North Carolina,ACC,L,58,79,,15,14,L 1
30,Thu Mar 7 2013,REG,,Virginia,ACC,W,53,51,,16,14,W 1
31,Sat Mar 9 2013,REG,,North Carolina State,ACC,W,71,67,,17,14,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 14 2013,CTOURN,N,Clemson,ACC,W,73,69,,18,14,W 3
33,Fri Mar 15 2013,CTOURN,N,North Carolina,ACC,L,62,83,,18,15,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,NIT,,Louisiana Tech,WAC,L,66,71,,18,16,L 2
