G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,Texas,Big 12,L,53,55,,0,1,L 1
2,Wed Nov 14 2012,REG,@,California-Riverside,Big West,W,39,30,,1,1,W 1
3,Fri Nov 16 2012,REG,,Pacific,Big West,W,66,61,,2,1,W 2
4,Mon Nov 19 2012,REG,@,Cal Poly,Big West,W,76,67,,3,1,W 3
5,Sun Nov 25 2012,REG,,Long Beach State,Big West,L,61,69,,3,2,L 1
6,Wed Nov 28 2012,REG,@,Southern Illinois,MVC,L,54,57,,3,3,L 2
7,Mon Dec 3 2012,REG,@,Long Beach State,Big West,W,64,59,,4,3,W 1
8,Thu Dec 6 2012,REG,,San Diego Christian,,W,84,49,,5,3,W 2
9,Sun Dec 9 2012,REG,@,Washington State,Pac-12,L,50,59,,5,4,L 1
10,Wed Dec 12 2012,REG,,Colorado,Pac-12,L,43,50,,5,5,L 2
11,Sat Dec 15 2012,REG,,California-Irvine,Big West,L,51,58,,5,6,L 3
12,Sat Dec 22 2012,REG,@,UCLA,Pac-12,L,78,91,,5,7,L 4
13,Sun Dec 30 2012,REG,,Sonoma State,,W,89,64,,6,7,W 1
14,Wed Jan 9 2013,REG,,San Diego State,MWC,L,62,65,,6,8,L 1
15,Sat Jan 12 2013,REG,@,New Mexico,MWC,L,45,72,,6,9,L 2
16,Wed Jan 16 2013,REG,,Wyoming,MWC,W,49,36,,7,9,W 1
17,Sat Jan 19 2013,REG,,Nevada,MWC,L,61,68,,7,10,L 1
18,Wed Jan 23 2013,REG,@,Boise State,MWC,L,67,74,,7,11,L 2
19,Sat Jan 26 2013,REG,,Colorado State,MWC,L,63,74,,7,12,L 3
20,Wed Jan 30 2013,REG,@,Air Force,MWC,L,50,62,,7,13,L 4
21,Wed Feb 6 2013,REG,,Nevada-Las Vegas,MWC,W,64,55,,8,13,W 1
22,Sat Feb 9 2013,REG,@,San Diego State,MWC,L,53,75,,8,14,L 1
23,Wed Feb 13 2013,REG,,New Mexico,MWC,L,48,54,,8,15,L 2
24,Sat Feb 16 2013,REG,@,Wyoming,MWC,L,51,55,OT,8,16,L 3
25,Tue Feb 19 2013,REG,@,Nevada,MWC,W,69,64,OT,9,16,W 1
26,Sat Feb 23 2013,REG,,Boise State,MWC,L,63,72,,9,17,L 1
27,Wed Feb 27 2013,REG,@,Colorado State,MWC,L,67,74,,9,18,L 2
28,Sat Mar 2 2013,REG,,Air Force,MWC,W,56,41,,10,18,W 1
29,Sat Mar 9 2013,REG,@,Nevada-Las Vegas,MWC,W,61,52,,11,18,W 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Wed Mar 13 2013,CTOURN,N,Colorado State,MWC,L,61,67,,11,19,L 1
