G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sat Nov 10 2012,REG,,Columbia,Ivy,L,47,68,,0,1,L 1
2,Tue Nov 13 2012,REG,,Southern Wesleyan,,W,90,71,,1,1,W 1
3,Fri Nov 16 2012,REG,,Clemson,ACC,L,55,72,,1,2,L 1
4,Mon Nov 19 2012,REG,,Brevard,,W,76,53,,2,2,W 1
5,Sun Nov 25 2012,REG,@,Mercer,A-Sun,L,46,73,,2,3,L 1
6,Wed Nov 28 2012,REG,,Western Carolina,Southern,L,65,79,,2,4,L 2
7,Sat Dec 1 2012,REG,@,Loyola (IL),Horizon,L,50,77,,2,5,L 3
8,Sun Dec 9 2012,REG,,Presbyterian,Big South,W,81,57,,3,5,W 1
9,Sat Dec 15 2012,REG,@,Auburn,SEC,L,50,64,,3,6,L 1
10,Tue Dec 18 2012,REG,@,Wake Forest,ACC,L,55,79,,3,7,L 2
11,Sat Dec 22 2012,REG,@,Jacksonville,A-Sun,L,53,65,,3,8,L 3
12,Sun Dec 30 2012,REG,@,Southern Methodist,CUSA,L,53,72,,3,9,L 4
13,Sat Jan 5 2013,REG,@,College of Charleston,Southern,L,56,60,,3,10,L 5
14,Sat Jan 12 2013,REG,,Davidson,Southern,L,73,81,,3,11,L 6
15,Mon Jan 14 2013,REG,,Wofford,Southern,W,69,65,,4,11,W 1
16,Thu Jan 17 2013,REG,@,Elon,Southern,L,59,73,,4,12,L 1
17,Sun Jan 20 2013,REG,@,North Carolina-Greensboro,Southern,W,69,61,,5,12,W 1
18,Thu Jan 24 2013,REG,@,Wofford,Southern,L,50,63,,5,13,L 1
19,Thu Jan 31 2013,REG,,Georgia Southern,Southern,W,81,74,,6,13,W 1
20,Sat Feb 2 2013,REG,,Citadel,Southern,L,79,84,,6,14,L 1
21,Thu Feb 7 2013,REG,,North Carolina-Greensboro,Southern,L,65,88,,6,15,L 2
22,Sat Feb 9 2013,REG,,Elon,Southern,L,60,64,,6,16,L 3
23,Mon Feb 11 2013,REG,@,Appalachian State,Southern,L,66,72,,6,17,L 4
24,Thu Feb 14 2013,REG,@,Chattanooga,Southern,L,49,83,,6,18,L 5
25,Sat Feb 16 2013,REG,,Samford,Southern,L,53,64,,6,19,L 6
26,Wed Feb 20 2013,REG,@,Davidson,Southern,L,36,73,,6,20,L 7
27,Sat Feb 23 2013,REG,@,Georgia Southern,Southern,L,61,78,,6,21,L 8
28,Thu Feb 28 2013,REG,@,Citadel,Southern,L,57,68,,6,22,L 9
29,Sat Mar 2 2013,REG,,College of Charleston,Southern,L,50,74,,6,23,L 10
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Fri Mar 8 2013,CTOURN,N,Samford,Southern,W,55,51,,7,23,W 1
31,Sat Mar 9 2013,CTOURN,N,Appalachian State,Southern,L,60,74,,7,24,L 1
