G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,@,North Carolina,ACC,L,59,76,,0,1,L 1
2,Sat Nov 10 2012,REG,,Covenant,,W,77,39,,1,1,W 1
3,Wed Nov 14 2012,REG,,Lipscomb,A-Sun,L,62,66,,1,2,L 1
4,Thu Nov 15 2012,REG,@,DePaul,Big East,W,71,59,,2,2,W 1
5,Sat Nov 17 2012,REG,@,Iowa,Big Ten,L,56,65,,2,3,L 1
6,Tue Nov 20 2012,REG,N,Howard,MEAC,W,55,43,,3,3,W 1
7,Wed Nov 21 2012,REG,N,Austin Peay,OVC,W,72,62,,4,3,W 2
8,Sun Nov 25 2012,REG,@,Illinois,Big Ten,L,62,63,,4,4,L 1
9,Mon Dec 3 2012,REG,,Virginia Wise,,W,77,58,,5,4,W 1
10,Wed Dec 5 2012,REG,@,Wofford,Southern,L,42,54,,5,5,L 1
11,Sat Dec 8 2012,REG,,Tennessee Tech,OVC,W,61,41,,6,5,W 1
12,Sat Dec 15 2012,REG,,Citadel,Southern,W,71,58,,7,5,W 2
13,Tue Dec 18 2012,REG,@,East Carolina,CUSA,L,60,62,,7,6,L 1
14,Sat Dec 22 2012,REG,,Spalding,,W,83,54,,8,6,W 1
15,Sat Jan 5 2013,REG,@,Campbell,Big South,L,81,93,3OT,8,7,L 1
16,Wed Jan 9 2013,REG,,North Carolina-Asheville,Big South,W,78,71,,9,7,W 1
17,Sat Jan 12 2013,REG,@,High Point,Big South,L,64,70,,9,8,L 1
18,Wed Jan 16 2013,REG,,Coastal Carolina,Big South,W,66,65,,10,8,W 1
19,Sat Jan 19 2013,REG,,Radford,Big South,L,51,52,,10,9,L 1
20,Wed Jan 23 2013,REG,@,Winthrop,Big South,L,55,61,,10,10,L 2
21,Sat Jan 26 2013,REG,@,Virginia Military Institute,Big South,W,63,49,,11,10,W 1
22,Wed Jan 30 2013,REG,@,Charleston Southern,Big South,W,74,73,OT,12,10,W 2
23,Sat Feb 2 2013,REG,,Longwood,Big South,W,76,65,,13,10,W 3
24,Wed Feb 6 2013,REG,@,Presbyterian,Big South,L,54,57,,13,11,L 1
25,Sat Feb 9 2013,REG,,Liberty,Big South,W,71,68,,14,11,W 1
26,Wed Feb 13 2013,REG,@,North Carolina-Asheville,Big South,W,67,65,,15,11,W 2
27,Sat Feb 16 2013,REG,@,Coastal Carolina,Big South,W,70,63,,16,11,W 3
28,Tue Feb 19 2013,REG,,Winthrop,Big South,W,65,52,,17,11,W 4
29,Sat Feb 23 2013,REG,@,College of Charleston,Southern,W,55,52,,18,11,W 5
30,Wed Feb 27 2013,REG,,Charleston Southern,Big South,W,67,62,OT,19,11,W 6
31,Sat Mar 2 2013,REG,,Presbyterian,Big South,W,76,57,,20,11,W 7
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Thu Mar 7 2013,CTOURN,N,Campbell,Big South,W,71,57,,21,11,W 8
33,Sat Mar 9 2013,CTOURN,N,Liberty,Big South,L,62,65,,21,12,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
34,Tue Mar 19 2013,CIT,,Eastern Kentucky,OVC,L,62,69,,21,13,L 2
