G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Fri Nov 9 2012,REG,,Virginia,ACC,W,63,59,,1,0,W 1
2,Tue Nov 13 2012,REG,@,Bucknell,Patriot,L,56,61,,1,1,L 1
3,Fri Nov 16 2012,REG,N,Mercer,A-Sun,W,52,49,,2,1,W 1
4,Sun Nov 18 2012,REG,N,New Mexico,MWC,L,69,70,,2,2,L 1
5,Mon Nov 19 2012,REG,N,Quinnipiac,NEC,W,74,58,,3,2,W 1
6,Sat Nov 24 2012,REG,,Boston University,AEC,W,48,45,,4,2,W 2
7,Wed Nov 28 2012,REG,@,Rhode Island,A-10,W,55,52,,5,2,W 3
8,Sun Dec 2 2012,REG,N,Maryland,ACC,L,62,69,,5,3,L 1
9,Tue Dec 4 2012,REG,,Maryland-Baltimore County,AEC,W,74,63,,6,3,W 1
10,Sat Dec 8 2012,REG,,Northern Iowa,MVC,L,77,82,OT,6,4,L 1
11,Sat Dec 22 2012,REG,N,Richmond,A-10,W,67,64,,7,4,W 1
12,Sat Dec 29 2012,REG,@,South Florida,Big East,L,57,61,,7,5,L 1
13,Thu Jan 3 2013,REG,,Northeastern,CAA,L,74,84,,7,6,L 2
14,Sat Jan 5 2013,REG,@,William & Mary,CAA,W,73,66,,8,6,W 1
15,Thu Jan 10 2013,REG,,Old Dominion,CAA,W,71,46,,9,6,W 2
16,Sat Jan 12 2013,REG,@,North Carolina-Wilmington,CAA,L,74,82,,9,7,L 1
17,Tue Jan 15 2013,REG,,James Madison,CAA,W,68,57,,10,7,W 1
18,Sat Jan 19 2013,REG,,Hofstra,CAA,W,57,46,,11,7,W 2
19,Wed Jan 23 2013,REG,@,Towson,CAA,W,77,67,,12,7,W 3
20,Sun Jan 27 2013,REG,@,Northeastern,CAA,L,51,71,,12,8,L 1
21,Thu Jan 31 2013,REG,,Drexel,CAA,L,54,58,,12,9,L 2
22,Sat Feb 2 2013,REG,@,James Madison,CAA,W,74,63,,13,9,W 1
23,Mon Feb 4 2013,REG,@,Old Dominion,CAA,W,85,74,,14,9,W 2
24,Sat Feb 9 2013,REG,,Delaware,CAA,L,72,79,,14,10,L 1
25,Thu Feb 14 2013,REG,@,Drexel,CAA,W,68,62,,15,10,W 1
26,Sat Feb 16 2013,REG,,Georgia State,CAA,L,60,78,,15,11,L 1
27,Wed Feb 20 2013,REG,@,Hofstra,CAA,W,79,50,,16,11,W 1
28,Sat Feb 23 2013,REG,,William & Mary,CAA,W,60,58,,17,11,W 2
29,Tue Feb 26 2013,REG,,Towson,CAA,L,81,85,OT,17,12,L 1
30,Sat Mar 2 2013,REG,@,Delaware,CAA,L,77,82,,17,13,L 2
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
31,Sat Mar 9 2013,CTOURN,N,Drexel,CAA,W,60,54,,18,13,W 1
32,Sun Mar 10 2013,CTOURN,N,Northeastern,CAA,L,67,69,,18,14,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
33,Tue Mar 19 2013,CBI,@,College of Charleston,Southern,W,78,77,,19,14,W 1
34,Mon Mar 25 2013,CBI,,Houston,CUSA,W,88,84,OT,20,14,W 2
35,Wed Mar 27 2013,CBI,,Western Michigan,MAC,W,62,52,,21,14,W 3
36,Mon Apr 1 2013,CBI,@,Santa Clara,WCC,L,73,81,,21,15,L 1
37,Wed Apr 3 2013,CBI,,Santa Clara,WCC,W,73,66,,22,15,W 1
38,Fri Apr 5 2013,CBI,,Santa Clara,WCC,L,77,80,,22,16,L 1
