G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
1,Sun Nov 11 2012,REG,,Duquesne,A-10,W,61,55,,1,0,W 1
2,Wed Nov 14 2012,REG,,Liberty,Big South,W,68,59,,2,0,W 2
3,Mon Nov 19 2012,REG,N,UCLA,Pac-12,W,78,70,,3,0,W 3
4,Tue Nov 20 2012,REG,N,Indiana,Big Ten,L,72,82,OT,3,1,L 1
5,Sat Nov 24 2012,REG,,Mount St. Mary's,NEC,W,72,50,,4,1,W 1
6,Fri Nov 30 2012,REG,,Tennessee,SEC,W,37,36,,5,1,W 2
7,Tue Dec 4 2012,REG,N,Texas,Big 12,W,64,41,,6,1,W 3
8,Sat Dec 8 2012,REG,,Towson,CAA,W,46,40,,7,1,W 4
9,Mon Dec 10 2012,REG,,Longwood,Big South,W,89,53,,8,1,W 5
10,Sat Dec 15 2012,REG,,Western Carolina,Southern,W,81,68,,9,1,W 6
11,Sat Dec 22 2012,REG,,American,Patriot,W,65,48,,10,1,W 7
12,Sat Jan 5 2013,REG,@,Marquette,Big East,L,48,49,,10,2,L 1
13,Tue Jan 8 2013,REG,,Pittsburgh,Big East,L,45,73,,10,3,L 2
14,Sat Jan 12 2013,REG,@,St. John's (NY),Big East,W,67,51,,11,3,W 1
15,Wed Jan 16 2013,REG,,Providence,Big East,W,74,65,,12,3,W 2
16,Sat Jan 19 2013,REG,@,South Florida,Big East,L,58,61,,12,4,L 1
17,Mon Jan 21 2013,REG,@,Notre Dame,Big East,W,63,47,,13,4,W 1
18,Sat Jan 26 2013,REG,,Louisville,Big East,W,53,51,,14,4,W 2
19,Wed Jan 30 2013,REG,,Seton Hall,Big East,W,74,52,,15,4,W 3
20,Sat Feb 2 2013,REG,,St. John's (NY),Big East,W,68,56,,16,4,W 4
21,Sat Feb 9 2013,REG,@,Rutgers,Big East,W,69,63,,17,4,W 5
22,Mon Feb 11 2013,REG,,Marquette,Big East,W,63,55,,18,4,W 6
23,Fri Feb 15 2013,REG,@,Cincinnati,Big East,W,62,55,,19,4,W 7
24,Wed Feb 20 2013,REG,,DePaul,Big East,W,90,66,,20,4,W 8
25,Sat Feb 23 2013,REG,@,Syracuse,Big East,W,57,46,,21,4,W 9
26,Wed Feb 27 2013,REG,@,Connecticut,Big East,W,79,78,2OT,22,4,W 10
27,Sat Mar 2 2013,REG,,Rutgers,Big East,W,64,51,,23,4,W 11
28,Wed Mar 6 2013,REG,@,Villanova,Big East,L,57,67,,23,5,L 1
29,Sat Mar 9 2013,REG,,Syracuse,Big East,W,61,39,,24,5,W 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
30,Thu Mar 14 2013,CTOURN,N,Cincinnati,Big East,W,62,43,,25,5,W 2
31,Fri Mar 15 2013,CTOURN,N,Syracuse,Big East,L,55,58,OT,25,6,L 1
G,Date,Type,,Opponent,Conf,,Tm,Opp,OT,W,L,Streak
32,Fri Mar 22 2013,NCAA,N,Florida Gulf Coast,A-Sun,L,68,78,,25,7,L 2
